league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2023,,1,True,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,1,63,18,atlantic,1,63,18,,36,27,63,0.778,6,4,14,18,0.222,4
standard,2023,14,4,True,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,2,49,32,atlantic,2,49,32,14,26,23,49,0.605,6,14,18,32,0.395,4
standard,2023,17,7,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,5,46,35,atlantic,3,46,35,17,24,22,46,0.568,7,16,19,35,0.432,3
standard,2023,31,1,False,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,11,32,49,atlantic,4,32,49,31,20,12,32,0.395,6,21,28,49,0.605,4
standard,2023,38,3,False,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,12,25,56,atlantic,5,25,56,38,14,11,25,0.309,2,27,29,56,0.691,8
standard,2023,,1,False,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,east,3,49,32,central,1,49,32,,31,18,49,0.605,3,11,21,32,0.395,7
standard,2023,1,2,True,,7,Cleveland Cavaliers,Cavaliers,CLE,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,east,4,48,33,central,2,48,33,1,26,22,48,0.593,5,14,19,33,0.407,5
standard,2023,3,1,False,,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,east,6,46,35,central,3,46,35,3,25,21,46,0.568,6,15,20,35,0.432,4
standard,2023,10,2,True,,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,east,9,39,42,central,4,39,42,10,20,19,39,0.481,5,21,21,42,0.519,5
standard,2023,35,1,True,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,east,15,14,67,central,5,14,67,35,7,7,14,0.173,2,33,34,67,0.827,8
standard,2023,,3,False,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,7,46,35,southeast,1,46,35,,28,18,46,0.568,4,12,23,35,0.432,6
standard,2023,1,1,True,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,8,45,36,southeast,2,45,36,1,21,24,45,0.556,6,19,17,36,0.444,4
standard,2023,10,5,False,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,10,36,45,southeast,3,36,45,10,21,15,36,0.444,4,20,25,45,0.556,6
standard,2023,26,1,False,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,13,20,61,southeast,4,20,61,26,11,9,20,0.247,3,30,31,61,0.753,7
standard,2023,31,5,False,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,14,15,66,southeast,5,15,66,31,7,8,15,0.185,2,34,32,66,0.815,8
standard,2023,,4,True,,25,Oklahoma City Thunder,Thunder,OKC,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,west,1,56,25,northwest,1,56,25,,32,24,56,0.691,6,8,17,25,0.309,4
standard,2023,,1,True,,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,west,2,56,25,northwest,2,56,25,,30,26,56,0.691,7,10,15,25,0.309,3
standard,2023,,1,False,,9,Denver Nuggets,Nuggets,DEN,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/Nuggets_de_Denver_2018.png/180px-Nuggets_de_Denver_2018.png,west,3,56,25,northwest,3,56,25,,33,23,56,0.691,6,8,17,25,0.309,4
standard,2023,25,2,True,,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,west,12,31,50,northwest,4,31,50,25,21,10,31,0.383,2,20,30,50,0.617,8
standard,2023,35,4,False,,29,Portland Trail Blazers,Trail Blazers,POR,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,west,15,21,60,northwest,5,21,60,35,11,10,21,0.259,2,30,30,60,0.741,8
standard,2023,,2,False,,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,west,4,51,30,pacific,1,51,30,,25,26,51,0.630,7,15,15,30,0.370,3
standard,2023,3,2,True,,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,west,7,48,33,pacific,2,48,33,3,25,23,48,0.593,6,16,17,33,0.407,4
standard,2023,5,1,True,,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,west,8,46,35,pacific,3,46,35,5,28,18,46,0.568,7,14,21,35,0.432,3
standard,2023,6,3,False,,30,Sacramento Kings,Kings,SAC,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,west,10,45,36,pacific,5,45,36,6,23,22,45,0.556,3,17,19,36,0.444,7
standard,2023,6,1,False,,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,west,9,45,36,pacific,4,45,36,6,20,25,45,0.556,8,20,16,36,0.444,2
standard,2023,,1,False,,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,west,5,50,31,southwest,1,50,31,,25,25,50,0.617,8,16,15,31,0.383,2
standard,2023,1,4,True,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,west,6,49,32,southwest,2,49,32,1,21,28,49,0.605,5,18,14,32,0.395,5
standard,2023,10,1,True,,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,west,11,40,41,southwest,3,40,41,10,27,13,40,0.494,4,14,27,41,0.506,6
standard,2023,23,4,False,,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,west,13,27,54,southwest,4,27,54,23,9,18,27,0.333,3,31,23,54,0.667,7
standard,2023,29,1,True,,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,west,14,21,60,southwest,5,21,60,29,11,10,21,0.259,6,29,31,60,0.741,4
