id,firstname,lastname,birth,nba,height,weight,college,affiliation,leagues
415,Chris,Paul,"{'date': '1985-05-06', 'country': 'USA'}","{'start': 2005, 'pro': 16}","{'feets': '6', 'inches': '0', 'meters': '1.83'}","{'pounds': '175', 'kilograms': '79.4'}",Wake Forest,Wake Forest/USA,"{'standard': {'jersey': 3, 'active': True, 'pos': 'G'}}"
129,Branden,Dawson,"{'date': '1993-02-01', 'country': 'United States'}","{'start': 2015, 'pro': 0}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '225', 'kilograms': '102.1'}",Michigan State,,"{'standard': {'jersey': 22, 'active': False, 'pos': 'F'}}"
423,Paul,Pierce,"{'date': '1977-10-13', 'country': 'USA'}","{'start': 1998, 'pro': 18}","{'feets': '6', 'inches': '7', 'meters': '2.01'}","{'pounds': '235', 'kilograms': '106.6'}",Kansas,Kansas/USA,"{'standard': {'jersey': 34, 'active': False, 'pos': 'F'}}"
444,JJ,Redick,"{'date': '1984-06-24', 'country': 'USA'}","{'start': 2006, 'pro': 15}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '200', 'kilograms': '90.7'}",Duke,Duke/USA,"{'standard': {'jersey': 17, 'active': True, 'pos': 'G'}}"
207,Jeff,Green,"{'date': '1986-08-28', 'country': 'USA'}","{'start': 2007, 'pro': 13}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '235', 'kilograms': '106.6'}",Georgetown,Georgetown/USA,"{'standard': {'jersey': 32, 'active': True, 'pos': 'F'}}"
286,DeAndre,Jordan,"{'date': '1988-07-21', 'country': 'USA'}","{'start': 2008, 'pro': 13}","{'feets': '6', 'inches': '11', 'meters': '2.11'}","{'pounds': '265', 'kilograms': '120.2'}",Texas A&M,Texas A&M/USA,"{'standard': {'jersey': 6, 'active': True, 'pos': 'C'}}"
343,Luc,Mbah a Moute,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 12, 'active': True, 'pos': 'F'}}"
208,Blake,Griffin,"{'date': '1989-03-16', 'country': 'USA'}","{'start': 2010, 'pro': 11}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '250', 'kilograms': '113.4'}",Oklahoma,Oklahoma/USA,"{'standard': {'jersey': 91, 'active': True, 'pos': 'F'}}"
29,Jeff,Ayres,"{'date': '1987-04-29', 'country': 'USA'}","{'start': 2009, 'pro': 5}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '250', 'kilograms': '113.4'}",Arizona State,,"{'standard': {'jersey': 19, 'active': False, 'pos': 'F-C'}, 'vegas': {'jersey': 12, 'active': True, 'pos': 'F'}}"
278,Wesley,Johnson,"{'date': '1987-07-11', 'country': 'USA'}","{'start': 2010, 'pro': 9}","{'feets': '6', 'inches': '7', 'meters': '2.01'}","{'pounds': '215', 'kilograms': '97.5'}",Syracuse,Syracuse/USA,"{'standard': {'jersey': 4, 'active': True, 'pos': 'F-G'}}"
7,Cole,Aldrich,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 45, 'active': False, 'pos': None}}"
497,Lance,Stephenson,"{'date': '1990-09-05', 'country': 'USA'}","{'start': 2010, 'pro': 9}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '210', 'kilograms': '95.3'}",Cincinnati,Cincinnati/USA,"{'standard': {'jersey': 6, 'active': True, 'pos': 'F'}}"
448,Austin,Rivers,"{'date': '1992-08-01', 'country': 'USA'}","{'start': 2012, 'pro': 9}","{'feets': '6', 'inches': '4', 'meters': '1.93'}","{'pounds': '200', 'kilograms': '90.7'}",Duke,Duke/USA,"{'standard': {'jersey': 25, 'active': True, 'pos': 'G'}}"
436,Pablo,Prigioni,"{'date': '1977-05-17', 'country': 'Argentina'}","{'start': 2012, 'pro': 3}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '185', 'kilograms': '83.9'}",Argentina,,"{'standard': {'jersey': 9, 'active': False, 'pos': 'G'}}"
120,Jamal,Crawford,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 1, 'active': True, 'pos': 'G'}}"
549,CJ,Wilcox,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 16, 'active': False, 'pos': None}, 'vegas': {'jersey': 23, 'active': True, 'pos': 'G'}}"
491,Josh,Smith,"{'date': '1985-12-05', 'country': 'USA'}","{'start': 2004, 'pro': 11}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '225', 'kilograms': '102.1'}",Oak Hill Academy (VA),,"{'standard': {'jersey': 5, 'active': False, 'pos': 'F'}}"
415,Chris,Paul,"{'date': '1985-05-06', 'country': 'USA'}","{'start': 2005, 'pro': 16}","{'feets': '6', 'inches': '0', 'meters': '1.83'}","{'pounds': '175', 'kilograms': '79.4'}",Wake Forest,Wake Forest/USA,"{'standard': {'jersey': 3, 'active': True, 'pos': 'G'}}"
172,Raymond,Felton,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 2, 'active': True, 'pos': 'G'}}"
39,Brandon,Bass,"{'date': '1985-04-30', 'country': 'USA'}","{'start': 2005, 'pro': 11}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '250', 'kilograms': '113.4'}",Louisiana State,Louisiana State/USA,"{'standard': {'jersey': 30, 'active': False, 'pos': 'F'}}"
15,Alan,Anderson,"{'date': '1982-10-16', 'country': 'USA'}","{'start': 2005, 'pro': 7}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '220', 'kilograms': '99.8'}",Michigan State,Michigan State/USA,"{'standard': {'jersey': 9, 'active': False, 'pos': 'F-G'}}"
272,Brice,Johnson,"{'date': '1994-06-27', 'country': 'USA'}","{'start': 2016, 'pro': 0}","{'feets': '6', 'inches': '10', 'meters': '2.08'}","{'pounds': '230', 'kilograms': '104.3'}",North Carolina,North Carolina/USA,"{'standard': {'jersey': 10, 'active': False, 'pos': 'F'}, 'vegas': {'jersey': 11, 'active': True, 'pos': 'F'}}"
