id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.sacramento.jersey,leagues.sacramento.active,leagues.sacramento.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos,leagues.utah.jersey,leagues.utah.active,leagues.utah.pos,leagues.africa.jersey,leagues.africa.active,leagues.africa.pos
362,CJ,Miles,No College,No College/USA,1987-03-18,USA,2005,0,,,,,,50.0,False,,,,,,,,,,,,,
446,Josh,Richardson,Tennessee,Tennessee/USA,1993-09-15,USA,2015,6,6,5,1.96,200,90.7,7.0,True,G,,,,,,,,,,,,
75,Jaylen,Brown,California,California/USA,1996-10-24,USA,2016,5,6,6,1.98,223,101.2,7.0,True,G-F,,,,,,,,,,,,
597,Zach,Auguste,,,,,0,0,,,,,,29.0,False,,50.0,True,F,41.0,True,C,,,,,,
230,Juancho,Hernangomez,Estudiantes,Estudiantes/Spain,1995-09-28,Spain,2016,5,6,9,2.06,214,97.1,41.0,True,F,,,,,,,,,,,,
609,Ryan,Arcidiacono,Villanova,Villanova/USA,1994-03-26,USA,2017,4,6,3,1.9,195,88.5,51.0,True,G,,,,51.0,True,G,,,,,,
882,Jayson,Tatum,Duke,Duke/USA,1998-03-03,USA,2017,4,6,8,2.03,210,95.3,,True,F-G,,,,,,,,,,,,
806,Justin,Jackson,North Carolina,North Carolina/USA,1995-03-28,USA,2017,0,,,,,,44.0,True,F,25.0,True,F,52.0,True,F,,,,,,
897,Derrick,White,Colorado,Colorado/USA,1994-07-02,USA,2017,4,6,4,1.93,190,86.2,9.0,True,G,,,,4.0,True,G,4.0,True,G,,,
819,Luke,Kornet,Vanderbilt,Vanderbilt/USA,1995-07-15,USA,2017,4,7,2,2.18,250,113.4,40.0,True,C-F,,,,2.0,True,F-C,,,,,,
886,Daniel,Theis,Brose Bamberg,Brose Bamberg/Germany,1992-04-04,Germany,2017,4,6,9,2.06,245,111.1,27.0,True,F-C,,,,,,,,,,,,
1858,Bruno,Fernando,Maryland,Maryland/Angola,1998-08-15,Angola,2019,2,6,9,2.06,240,108.9,20.0,True,F-C,,,,55.0,True,F-C,,,,,,
1013,Theo,Pinson,North Carolina,North Carolina/USA,1995-11-05,USA,2018,3,6,5,1.96,212,96.2,1.0,True,G-F,,,,6.0,True,G,,,,,,
1857,Carsen,Edwards,Purdue,Purdue/USA,1998-03-12,USA,2019,2,5,11,1.8,200,90.7,4.0,True,G,,,,4.0,True,G,,,,,,
1045,Robert,Williams III,Texas A&M,Texas A&M/USA,1997-10-17,USA,2018,3,6,9,2.06,237,107.5,44.0,True,C-F,,,,44.0,True,C,,,,,,
1514,Kelan,Martin,,,,,0,0,,,,,,4.0,True,F,,,,30.0,True,F,42.0,True,F,,,
1874,Romeo,Langford,Indiana,Indiana/USA,1999-10-25,USA,2019,2,6,5,1.96,216,98.0,35.0,True,G-F,,,,9.0,True,G,,,,,,
1920,Dedric,Lawson,,,,,0,0,,,,,,17.0,False,,18.0,True,C-F,30.0,True,F,,,,,,
