id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos,leagues.sacramento.jersey,leagues.sacramento.active,leagues.sacramento.pos,leagues.utah.jersey,leagues.utah.active,leagues.utah.pos,leagues.africa.jersey,leagues.africa.active,leagues.africa.pos
609,Ryan,Arcidiacono,Villanova,Villanova/USA,1994-03-26,USA,2017,4,6,3,1.9,195,88.5,51.0,True,G,51.0,True,G,,,,,,,,,
732,O.G.,Anunoby,Indiana,Indiana/United Kingdom,1997-07-17,United Kingdom,2017,4,6,7,2.01,232,105.2,3.0,True,F,3.0,True,F,,,,,,,,,
978,Isaiah,Hartenstein,Zalgiris,Zalgiris/Germany,1998-05-05,Germany,2018,3,7,0,2.13,250,113.4,55.0,True,C-F,55.0,True,C,,,,,,,,,
791,Josh,Hart,Villanova,Villanova/USA,1995-03-06,USA,2017,4,6,5,1.96,215,97.5,11.0,True,G,5.0,True,G,5.0,True,G,,,,,,
946,Jalen,Brunson,Villanova,Villanova/USA,1996-08-31,USA,2018,3,6,1,1.85,190,86.2,11.0,True,G,13.0,True,G,,,,,,,,,
962,Donte,DiVincenzo,Villanova,Villanova/USA,1997-01-31,USA,2018,3,6,4,1.93,203,92.1,,True,G,9.0,True,G,,,,,,,,,
1001,Shake,Milton,Southern Methodist,Southern Methodist/USA,1996-09-26,USA,2018,3,6,5,1.96,205,93.0,18.0,True,G-F,18.0,True,G,,,,,,,,,
1020,Mitchell,Robinson,Western Kentucky,Western Kentucky/USA,1998-04-01,USA,2018,3,7,0,2.13,240,108.9,23.0,True,C-F,23.0,True,C,,,,,,,,,
2580,Mamadi,Diakite,Virginia,Virginia/Guinea,1997-01-21,Guinea,2020,0,,,,,,12.0,True,F,25.0,True,F,,,,,,,,,
1948,DaQuan,Jeffries,Tulsa,Tulsa/USA,1997-08-30,USA,2019,3,6,5,1.96,225,102.1,8.0,True,G-F,16.0,True,F,,,,55.0,True,G-F,,,
1846,RJ,Barrett,Duke,Duke/Canada,2000-06-14,Canada,2019,2,6,6,1.98,214,97.1,9.0,True,F-G,9.0,True,G-F,,,,,,,,,
2811,Quentin,Grimes,Houston,Houston/USA,2000-05-08,USA,2021,0,6,4,1.93,210,95.3,6.0,True,G,6.0,True,G,,,,,,,,,
1890,Isaiah,Roby,Nebraska,Nebraska/USA,1998-02-03,USA,2019,2,6,8,2.03,230,104.3,22.0,True,F,9.0,True,F,,,,,,,,,
1903,Dylan,Windler,Belmont,Belmont/USA,1996-09-22,USA,2020,1,6,6,1.98,196,88.9,9.0,True,G-F,9.0,True,G-F,,,,9.0,True,F,,,
2111,Charlie,Brown Jr.,St. Joseph's (PA),St. Joseph's (PA)/USA,1997-02-02,USA,2019,2,6,6,1.98,199,90.3,16.0,True,G,16.0,True,G,,,,16.0,True,G,,,
2561,Precious,Achiuwa,Memphis,Memphis/Nigeria,1999-09-19,Nigeria,2020,1,6,8,2.03,225,102.1,5.0,True,F,5.0,True,F,5.0,True,F,,,,,,
2636,Immanuel,Quickley,Kentucky,Kentucky/USA,1999-06-17,USA,2020,1,6,3,1.9,190,86.2,5.0,True,G,5.0,True,G,,,,,,,,,
2587,Malachi,Flynn,San Diego State,San Diego State/USA,1998-05-09,USA,2020,1,6,1,1.85,175,79.4,22.0,True,G,22.0,True,G,,,,,,,,,
2607,Nathan,Knight,William & Mary,William & Mary/USA,1997-09-20,USA,2020,1,6,10,2.08,253,114.8,13.0,True,F-C,30.0,True,F,,,,,,,,,
2832,Miles,McBride,West Virginia,West Virginia/USA,2000-09-08,USA,2021,0,6,1,1.85,195,88.5,2.0,True,G,2.0,True,G,,,,,,,,,
2849,Jericho,Sims,Texas,Texas/USA,1998-10-20,USA,2021,0,6,9,2.06,250,113.4,45.0,True,C,45.0,True,C,,,,,,,,,
2860,Duane,Washington Jr.,Ohio State,Ohio State/Germany,2000-03-24,Germany,2021,0,6,3,1.9,197,89.4,4.0,True,G,4.0,True,G,,,,,,,,,
4006,Jaylen,Martin,,,,,0,0,6,,,196,,,True,G,,,,,,,,,,,,
4007,Jacob,Toppin,Kentucky,,,,0,0,6,,,205,,,True,F,,,,,,,,,,,,
4083,D.,Skapintsev,,,,,0,0,,,,,,,True,C,,,,,,,,,,,,
190,Taj,Gibson,Southern California,Southern California/USA,1985-06-24,USA,2009,12,6,9,2.06,232,105.2,67.0,True,F,,,,,,,,,,,,
84,Alec,Burks,Colorado,Colorado/USA,1991-07-20,USA,2011,10,6,6,1.98,214,97.1,5.0,True,G,,,,,,,,,,,,
60,Bojan,Bogdanovic,Fenerbahce,Fenerbahce/Croatia,1989-04-18,Croatia,2014,7,6,7,2.01,226,102.5,44.0,True,F,,,,,,,,,,,,
177,Evan,Fournier,Poitiers Basket 86,Poitiers Basket 86/France,1992-10-29,France,2012,9,6,6,1.98,205,93.0,13.0,True,G-F,,,,,,,,,,10.0,True,G-F
441,Julius,Randle,Kentucky,Kentucky/USA,1994-11-29,USA,2014,7,6,8,2.03,250,113.4,30.0,True,F-C,,,,,,,,,,,,
