player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Darius,Garland,PG,2,16,1,10,10.0,0,0,0,5,0,0,1,1,2,1,1,0,0,-4
Darius,Garland,PG,19,17,7,12,58.3,2,2,3,6,50.0,0,1,1,2,1,0,3,1,-14
Darius,Garland,PG,15,32,6,12,50.0,2,2,1,5,20.0,1,1,2,5,2,2,6,0,+6
Darius,Garland,PG,14,32,5,11,45.5,4,4,0,2,0,0,0,0,6,1,2,4,1,-10
Darius,Garland,PG,24,30,6,17,35.3,12,13,0,5,0,0,3,3,7,3,0,6,0,+15
Darius,Garland,PG,15,36,7,11,63.6,0,1,1,3,33.3,1,2,3,9,4,2,8,1,-1
Darius,Garland,PG,19,36,6,13,46.2,4,6,3,5,60.0,2,4,6,4,2,5,4,0,+5
Darius,Garland,PG,16,34,5,14,35.7,3,4,3,8,37.5,0,3,3,6,1,0,1,0,-14
Darius,Garland,PG,28,34,10,19,52.6,6,8,2,5,40.0,1,2,3,3,1,0,5,0,-6
Darius,Garland,PG,26,33,10,16,62.5,4,5,2,4,50.0,0,3,3,6,0,1,4,1,+18
Darius,Garland,PG,32,43,10,25,40.0,10,11,2,6,33.3,1,4,5,8,1,3,4,0,+4
Darius,Garland,PG,14,27,6,11,54.5,1,2,1,2,50.0,0,1,1,3,3,1,3,0,-24
Darius,Garland,PG,6,14,2,6,33.3,2,2,0,1,0,0,1,1,3,1,1,2,0,-3
Darius,Garland,PG,24,41,10,16,62.5,1,1,3,6,50.0,0,2,2,8,2,0,5,0,+12
Darius,Garland,PG,19,38,7,15,46.7,3,4,2,5,40.0,1,1,2,8,1,2,2,0,+22
Darius,Garland,PG,15,37,6,18,33.3,1,1,2,8,25.0,1,3,4,7,0,1,8,0,+2
Darius,Garland,PG,22,34,9,23,39.1,2,3,2,7,28.6,0,2,2,5,1,3,2,1,+13
Darius,Garland,PG,26,40,10,18,55.6,5,5,1,4,25.0,2,1,3,9,1,0,0,0,+8
Darius,Garland,PG,18,26,6,11,54.5,5,7,1,4,25.0,0,2,2,6,4,4,2,0,+20
Darius,Garland,PG,36,39,11,23,47.8,11,12,3,9,33.3,1,5,6,5,0,2,3,0,+6
Darius,Garland,PG,26,38,11,23,47.8,0,0,4,8,50.0,0,2,2,7,1,1,2,0,-3
Darius,Garland,PG,19,36,8,19,42.1,0,0,3,7,42.9,1,1,2,3,2,2,5,0,-11
Darius,Garland,PG,19,20,7,12,58.3,3,3,2,6,33.3,0,0,0,3,1,2,1,0,-16
Darius,Garland,PG,9,24,4,10,40.0,0,0,1,3,33.3,0,2,2,7,0,1,3,0,+2
Darius,Garland,PG,4,23,1,3,33.3,2,2,0,2,0,0,3,3,4,2,1,3,0,-1
Darius,Garland,PG,11,28,4,7,57.1,1,1,2,4,50.0,1,1,2,5,1,0,2,0,+4
Darius,Garland,PG,13,28,4,12,33.3,4,4,1,5,20.0,0,0,0,4,0,0,3,0,+9
Darius,Garland,PG,14,29,6,10,60.0,2,2,0,3,0,0,0,0,7,2,1,2,0,+23
Darius,Garland,PG,11,29,4,11,36.4,2,2,1,5,20.0,1,2,3,8,0,1,2,0,+14
Darius,Garland,PG,21,31,9,16,56.3,0,0,3,8,37.5,0,0,0,9,0,1,0,0,-8
Darius,Garland,PG,12,31,4,10,40.0,2,2,2,5,40.0,0,1,1,7,1,1,2,0,0
Darius,Garland,PG,18,37,6,12,50.0,3,5,3,5,60.0,0,2,2,10,2,2,4,0,+2
Darius,Garland,PG,20,38,6,13,46.2,6,6,2,6,33.3,0,5,5,9,1,2,3,0,-1
Darius,Garland,PG,17,33,6,15,40.0,2,2,3,9,33.3,0,2,2,7,2,1,3,0,+22
Darius,Garland,PG,8,32,2,10,20.0,3,5,1,5,20.0,1,0,1,7,1,0,2,0,+12
Darius,Garland,PG,23,44,8,22,36.4,0,0,7,14,50.0,0,2,2,5,4,1,1,0,+4
Darius,Garland,PG,29,36,9,21,42.9,3,3,8,12,66.7,1,4,5,4,4,1,5,0,+5
Darius,Garland,PG,19,40,7,14,50.0,0,0,5,8,62.5,1,3,4,5,1,2,2,0,-6
Darius,Garland,PG,16,36,6,20,30.0,1,2,3,8,37.5,0,1,1,11,2,2,3,0,0
Darius,Garland,PG,15,32,5,14,35.7,2,3,3,11,27.3,0,1,1,7,4,0,2,0,-11
Darius,Garland,PG,34,44,13,26,50.0,6,7,2,10,20.0,2,2,4,8,5,0,6,0,+19
Darius,Garland,PG,14,27,4,9,44.4,3,3,3,6,50.0,0,1,1,5,3,1,4,0,-16
Darius,Garland,PG,30,36,10,17,58.8,3,4,7,10,70.0,0,2,2,5,2,1,5,0,-16
Darius,Garland,PG,27,34,10,16,62.5,1,1,6,10,60.0,0,6,6,11,2,2,1,1,+23
Darius,Garland,PG,12,33,5,13,38.5,1,2,1,6,16.7,0,5,5,4,0,1,0,0,-16
Darius,Garland,PG,13,36,5,18,27.8,2,4,1,9,11.1,4,2,6,7,4,2,5,0,+10
Darius,Garland,PG,20,41,7,18,38.9,1,1,5,12,41.7,1,0,1,9,2,0,1,0,+3
