player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Caris,LeVert,SG,7,15,3,6,50.0,0,0,1,4,25.0,0,0,0,4,1,0,3,1,-10
Caris,LeVert,SG,13,21,4,9,44.4,2,2,3,6,50.0,0,6,6,5,0,2,4,0,+31
Caris,LeVert,SG,12,28,5,15,33.3,1,1,1,7,14.3,0,0,0,2,3,4,1,1,+9
Caris,LeVert,SG,11,31,4,17,23.5,0,0,3,8,37.5,0,3,3,5,1,1,0,1,-6
Caris,LeVert,SG,17,31,7,16,43.8,0,0,3,9,33.3,0,2,2,2,1,1,1,1,-3
Caris,LeVert,SG,31,44,12,28,42.9,3,9,4,10,40.0,2,3,5,8,2,1,2,0,-2
Caris,LeVert,SG,19,31,6,14,42.9,4,4,3,4,75.0,0,6,6,5,3,1,3,0,+10
Caris,LeVert,SG,13,30,5,12,41.7,3,4,0,4,0,0,5,5,4,2,0,1,1,-1
Caris,LeVert,SG,8,32,3,6,50.0,2,2,0,3,0,0,5,5,2,0,2,1,0,+6
Caris,LeVert,SG,29,34,7,14,50.0,13,16,2,6,33.3,0,5,5,5,5,0,3,0,-14
Caris,LeVert,SG,22,36,8,18,44.4,4,5,2,7,28.6,2,3,5,3,1,4,0,1,+23
Caris,LeVert,SG,21,28,7,13,53.8,5,6,2,3,66.7,1,2,3,1,3,0,2,0,-7
Caris,LeVert,SG,17,33,8,17,47.1,0,0,1,7,14.3,1,7,8,6,2,2,1,1,+7
Caris,LeVert,SG,10,33,4,14,28.6,1,2,1,6,16.7,0,1,1,1,0,2,0,0,+11
Caris,LeVert,SG,12,18,4,8,50.0,2,2,2,3,66.7,0,2,2,3,0,0,2,1,-17
Caris,LeVert,SG,6,26,3,9,33.3,0,0,0,4,0,0,1,1,8,2,1,0,0,-2
Caris,LeVert,SG,7,22,3,10,30.0,0,0,1,4,25.0,0,3,3,1,1,0,0,0,+6
Caris,LeVert,SG,10,30,4,8,50.0,0,0,2,5,40.0,0,3,3,1,3,1,4,0,+14
Caris,LeVert,SG,5,26,2,9,22.2,0,0,1,4,25.0,1,1,2,2,3,0,2,0,-17
Caris,LeVert,SG,11,23,5,11,45.5,0,0,1,4,25.0,0,2,2,3,1,0,2,1,-5
Caris,LeVert,SG,26,35,9,16,56.3,5,6,3,6,50.0,1,2,3,5,2,3,1,1,-1
Caris,LeVert,SG,14,25,6,15,40.0,1,2,1,4,25.0,2,3,5,1,1,1,3,1,-1
Caris,LeVert,SG,12,27,5,13,38.5,1,2,1,6,16.7,1,6,7,5,0,2,3,0,-3
Caris,LeVert,SG,23,27,6,15,40.0,7,8,4,7,57.1,0,3,3,7,3,1,0,0,+11
Caris,LeVert,SG,9,23,3,9,33.3,2,2,1,4,25.0,0,0,0,4,1,1,1,0,-24
Caris,LeVert,SG,29,28,9,19,47.4,5,8,6,11,54.5,0,2,2,7,3,0,2,0,-16
Caris,LeVert,SG,6,28,3,14,21.4,0,0,0,6,0,0,1,1,4,2,1,2,0,-3
Caris,LeVert,SG,31,29,12,20,60.0,5,5,2,7,28.6,0,4,4,4,0,0,0,0,+1
Caris,LeVert,SG,21,23,9,18,50.0,0,0,3,6,50.0,2,3,5,5,1,1,0,1,+22
Caris,LeVert,SG,11,27,3,7,42.9,4,4,1,2,50.0,0,4,4,11,0,2,2,0,+13
Caris,LeVert,SG,23,26,9,13,69.2,1,3,4,5,80.0,0,2,2,3,2,2,4,0,+3
Caris,LeVert,SG,21,35,5,14,35.7,8,12,3,9,33.3,0,3,3,1,2,1,1,2,0
Caris,LeVert,SG,16,30,6,17,35.3,0,0,4,10,40.0,1,6,7,7,2,0,3,0,+8
Caris,LeVert,SG,4,22,1,7,14.3,2,3,0,2,0,1,2,3,4,1,0,2,0,+2
Caris,LeVert,SG,9,28,4,10,40.0,0,0,1,4,25.0,0,4,4,4,2,2,2,1,-10
Caris,LeVert,SG,12,24,3,10,30.0,5,6,1,4,25.0,1,3,4,5,5,1,1,0,+4
Caris,LeVert,SG,13,23,6,12,50.0,0,0,1,4,25.0,1,1,2,3,1,1,1,0,+8
Caris,LeVert,SG,11,25,3,8,37.5,4,4,1,4,25.0,0,1,1,4,0,1,2,2,+7
Caris,LeVert,SG,16,29,6,10,60.0,3,4,1,4,25.0,0,1,1,3,1,2,2,0,-11
Caris,LeVert,SG,10,25,4,10,40.0,0,0,2,5,40.0,1,4,5,6,2,1,1,0,+20
Caris,LeVert,SG,17,24,6,12,50.0,2,4,3,4,75.0,1,5,6,7,3,1,1,0,+18
Caris,LeVert,SG,4,13,2,7,28.6,0,0,0,2,0,0,5,5,5,1,0,0,0,+12
Caris,LeVert,SG,4,23,2,6,33.3,0,0,0,2,0,0,3,3,5,1,1,2,0,+8
Caris,LeVert,SG,13,22,6,8,75.0,0,0,1,2,50.0,1,4,5,5,2,0,2,1,+24
Caris,LeVert,SG,11,27,5,14,35.7,0,0,1,6,16.7,2,2,4,6,4,0,1,1,-5
Caris,LeVert,SG,5,23,2,7,28.6,0,0,1,3,33.3,1,3,4,9,2,0,1,0,+9
Caris,LeVert,SG,6,27,2,10,20.0,2,2,0,2,0,0,2,2,2,2,1,2,1,-10
Caris,LeVert,SG,6,25,1,11,9.1,4,4,0,4,0,1,4,5,4,2,0,1,2,+3
Caris,LeVert,SG,18,28,6,10,60.0,5,6,1,3,33.3,2,10,12,8,2,0,0,0,-1
Caris,LeVert,SG,11,28,5,10,50.0,0,0,1,3,33.3,0,4,4,6,2,0,2,0,+16
Caris,LeVert,SG,14,39,5,12,41.7,1,2,3,7,42.9,0,7,7,15,4,2,2,2,-10
Caris,LeVert,SG,10,30,4,10,40.0,0,0,2,5,40.0,0,4,4,5,1,3,2,0,+2
Caris,LeVert,SG,13,36,5,17,29.4,1,2,2,8,25.0,1,3,4,7,1,0,4,1,-2
Caris,LeVert,SG,15,34,5,15,33.3,3,5,2,6,33.3,0,5,5,8,1,3,2,1,+18
Caris,LeVert,SG,6,29,2,6,33.3,1,2,1,3,33.3,0,3,3,7,0,3,3,0,-3
Caris,LeVert,SG,17,33,7,16,43.8,0,0,3,10,30.0,1,5,6,11,2,1,1,0,+2
Caris,LeVert,SG,2,30,1,6,16.7,0,0,0,3,0,1,4,5,9,1,1,1,0,+27
Caris,LeVert,SG,21,32,8,14,57.1,4,5,1,4,25.0,1,2,3,7,3,3,1,1,-3
Caris,LeVert,SG,23,38,7,15,46.7,8,11,1,5,20.0,1,7,8,11,2,1,1,1,+12
Caris,LeVert,SG,16,37,4,9,44.4,7,8,1,4,25.0,1,4,5,12,3,2,5,1,-9
Caris,LeVert,SG,16,38,6,16,37.5,2,2,2,5,40.0,1,4,5,6,3,1,3,1,-13
Caris,LeVert,SG,2,20,1,5,20.0,0,2,0,3,0,1,2,3,1,2,1,0,0,-26
Caris,LeVert,SG,7,33,3,13,23.1,0,0,1,5,20.0,1,6,7,7,3,1,4,2,+11
Caris,LeVert,SG,4,30,2,9,22.2,0,0,0,5,0,0,3,3,8,2,0,4,1,+2
Caris,LeVert,SG,15,33,5,9,55.6,3,3,2,3,66.7,0,6,6,5,0,4,3,1,-4
Caris,LeVert,SG,26,34,9,13,69.2,6,7,2,3,66.7,0,6,6,5,2,1,4,1,+17
Caris,LeVert,SG,11,24,3,5,60.0,3,4,2,4,50.0,0,3,3,1,2,3,5,0,-20
Caris,LeVert,SG,21,28,8,14,57.1,4,4,1,3,33.3,1,6,7,2,0,0,1,0,-11
Caris,LeVert,SG,18,37,7,15,46.7,1,1,3,8,37.5,1,4,5,2,3,1,0,1,0
Caris,LeVert,SG,18,28,6,13,46.2,4,4,2,4,50.0,0,2,2,2,3,2,1,0,+12
Caris,LeVert,SG,16,27,6,12,50.0,3,4,1,2,50.0,2,4,6,5,1,1,1,0,+11
Caris,LeVert,SG,5,20,2,8,25.0,1,2,0,1,0,2,2,4,2,2,0,1,0,+7
Caris,LeVert,SG,8,25,3,7,42.9,0,0,2,4,50.0,0,1,1,1,1,1,1,0,+2
Caris,LeVert,SG,15,29,5,13,38.5,4,5,1,5,20.0,0,2,2,3,0,0,2,1,-29
Caris,LeVert,SG,5,26,2,8,25.0,1,2,0,3,0,0,1,1,3,1,1,0,0,-7
Caris,LeVert,SG,3,19,1,3,33.3,0,0,1,2,50.0,0,1,1,1,1,2,1,1,+3
Caris,LeVert,SG,1,7,0,1,0,1,2,0,0,0,0,2,2,1,1,2,2,1,-1
Caris,LeVert,SG,15,30,5,9,55.6,5,7,0,2,0,0,5,5,4,1,1,2,1,+9
Caris,LeVert,SG,4,26,2,6,33.3,0,2,0,2,0,1,6,7,3,3,0,0,1,-19
Caris,LeVert,SG,21,27,9,17,52.9,3,4,0,3,0,2,4,6,3,2,0,3,0,+14
Caris,LeVert,SG,15,30,6,12,50.0,2,2,1,3,33.3,2,4,6,1,0,0,1,0,-1
Caris,LeVert,SG,19,39,9,18,50.0,0,0,1,8,12.5,1,4,5,3,2,2,1,1,-14
