player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Sam,Merrill,SG,6,10,2,9,22.2,0,0,2,8,25.0,0,1,1,3,1,0,0,0,+17
Sam,Merrill,SG,0,2,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,0,-1
Sam,Merrill,SG,3,14,1,5,20.0,0,0,1,5,20.0,0,3,3,1,3,1,1,0,+6
Sam,Merrill,SG,4,5,1,3,33.3,1,1,1,3,33.3,0,1,1,0,0,0,2,0,+1
Sam,Merrill,SG,0,6,0,2,0,0,0,0,1,0,1,1,2,1,0,1,0,0,+2
Sam,Merrill,SG,6,14,2,4,50.0,0,0,2,4,50.0,0,1,1,2,0,1,1,0,-2
Sam,Merrill,SG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Sam,Merrill,SG,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+1
Sam,Merrill,SG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Merrill,SG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Sam,Merrill,SG,9,24,3,10,30.0,0,0,3,9,33.3,1,1,2,1,2,0,0,0,-15
Sam,Merrill,SG,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sam,Merrill,SG,9,17,3,6,50.0,0,0,3,5,60.0,0,1,1,1,3,0,1,0,-10
Sam,Merrill,SG,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Sam,Merrill,SG,9,10,3,5,60.0,0,0,3,5,60.0,1,2,3,1,2,0,0,0,-8
Sam,Merrill,SG,6,17,2,6,33.3,0,0,2,4,50.0,1,2,3,1,2,0,1,0,-4
Sam,Merrill,SG,9,8,3,6,50.0,0,0,3,6,50.0,0,1,1,1,1,0,0,0,+4
Sam,Merrill,SG,19,24,6,11,54.5,2,2,5,10,50.0,1,3,4,3,1,1,0,1,+13
Sam,Merrill,SG,27,30,9,16,56.3,1,2,8,14,57.1,0,3,3,2,4,1,2,0,+17
Sam,Merrill,SG,0,12,0,4,0,0,0,0,3,0,0,0,0,1,0,0,1,0,+1
Sam,Merrill,SG,3,15,1,4,25.0,0,0,1,4,25.0,0,0,0,1,1,0,0,0,-1
Sam,Merrill,SG,16,17,6,11,54.5,0,0,4,8,50.0,0,3,3,1,2,0,1,0,-2
Sam,Merrill,SG,11,29,4,11,36.4,0,0,3,9,33.3,1,4,5,6,2,0,0,0,+27
Sam,Merrill,SG,11,26,4,12,33.3,0,0,3,9,33.3,0,2,2,2,2,1,0,0,+8
Sam,Merrill,SG,18,23,5,11,45.5,3,3,5,9,55.6,0,3,3,3,0,0,0,0,+23
Sam,Merrill,SG,6,32,2,12,16.7,0,0,2,11,18.2,2,7,9,1,1,1,0,0,+2
Sam,Merrill,SG,15,20,5,7,71.4,1,1,4,6,66.7,1,2,3,2,4,2,0,0,0
Sam,Merrill,SG,10,22,4,8,50.0,0,0,2,6,33.3,3,2,5,5,1,0,0,0,+3
Sam,Merrill,SG,18,30,6,16,37.5,1,1,5,14,35.7,0,4,4,6,2,0,1,0,+8
Sam,Merrill,SG,26,31,8,13,61.5,2,2,8,13,61.5,2,1,3,1,2,1,1,0,+12
Sam,Merrill,SG,12,27,4,9,44.4,0,0,4,9,44.4,0,2,2,3,1,0,1,0,+1
Sam,Merrill,SG,7,17,3,6,50.0,0,0,1,4,25.0,0,0,0,0,3,0,0,0,+5
Sam,Merrill,SG,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9
Sam,Merrill,SG,11,16,4,6,66.7,0,0,3,5,60.0,0,2,2,1,1,1,0,0,-9
Sam,Merrill,SG,9,18,3,6,50.0,0,0,3,5,60.0,0,2,2,1,1,0,0,0,-5
Sam,Merrill,SG,3,14,1,3,33.3,0,0,1,3,33.3,0,1,1,3,2,1,1,0,-8
Sam,Merrill,SG,9,11,3,4,75.0,0,0,3,4,75.0,0,0,0,2,0,1,0,0,+8
Sam,Merrill,SG,3,14,1,4,25.0,0,0,1,3,33.3,0,1,1,2,0,0,0,0,-3
Sam,Merrill,SG,9,12,3,7,42.9,0,0,3,7,42.9,0,0,0,0,1,1,0,0,-6
Sam,Merrill,SG,6,10,2,3,66.7,0,0,2,3,66.7,0,0,0,0,0,0,0,0,+3
Sam,Merrill,SG,0,9,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-4
