player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Evan,Mobley,PF,10,16,3,6,50.0,4,5,0,0,0,2,7,9,0,2,0,1,1,-5
Evan,Mobley,PF,11,22,5,9,55.6,1,2,0,1,0,1,3,4,1,1,0,0,1,-8
Evan,Mobley,PF,18,29,8,14,57.1,2,4,0,0,0,1,7,8,2,3,2,2,1,-4
Evan,Mobley,PF,10,34,5,11,45.5,0,0,0,0,0,1,5,6,1,3,0,0,2,+3
Evan,Mobley,PF,14,34,5,12,41.7,4,6,0,0,0,2,13,15,3,4,0,2,2,-9
Evan,Mobley,PF,33,33,12,22,54.5,8,10,1,1,100.0,5,9,14,3,4,0,2,3,-15
Evan,Mobley,PF,6,29,3,9,33.3,0,0,0,0,0,4,8,12,5,0,0,2,2,-19
Evan,Mobley,PF,14,35,6,12,50.0,2,3,0,0,0,2,6,8,5,2,2,2,2,+8
Evan,Mobley,PF,14,36,7,13,53.8,0,0,0,2,0,2,8,10,5,2,3,2,4,+11
Evan,Mobley,PF,13,29,6,10,60.0,1,4,0,1,0,5,11,16,2,4,0,5,1,+8
Evan,Mobley,PF,22,33,9,16,56.3,4,4,0,1,0,2,3,5,1,2,1,1,1,+3
Evan,Mobley,PF,19,31,6,10,60.0,7,7,0,1,0,1,4,5,2,4,1,2,1,-4
Evan,Mobley,PF,16,30,8,14,57.1,0,0,0,0,0,7,5,12,2,4,1,3,0,-3
Evan,Mobley,PF,21,35,8,11,72.7,5,8,0,1,0,3,9,12,3,1,1,1,3,+26
Evan,Mobley,PF,18,35,8,12,66.7,2,4,0,0,0,4,6,10,5,4,1,3,0,-6
Evan,Mobley,PF,16,32,8,11,72.7,0,0,0,0,0,3,7,10,5,3,0,2,2,+12
Evan,Mobley,PF,18,38,6,10,60.0,6,6,0,0,0,0,12,12,3,4,0,4,1,-4
Evan,Mobley,PF,13,25,5,7,71.4,3,3,0,0,0,2,8,10,2,0,0,2,0,-12
Evan,Mobley,PF,18,36,8,12,66.7,2,3,0,0,0,1,5,6,6,3,4,2,1,-5
Evan,Mobley,PF,12,38,5,14,35.7,2,2,0,1,0,3,11,14,1,3,0,3,2,-4
Evan,Mobley,PF,17,34,8,11,72.7,0,0,1,1,100.0,5,14,19,1,4,0,1,7,+25
Evan,Mobley,PF,20,34,9,14,64.3,2,2,0,1,0,2,6,8,3,1,2,3,0,+3
Evan,Mobley,PF,6,36,2,5,40.0,2,3,0,0,0,1,10,11,1,3,0,2,0,+1
Evan,Mobley,PF,16,37,8,12,66.7,0,0,0,0,0,1,4,5,2,5,1,4,1,+13
Evan,Mobley,PF,10,21,5,7,71.4,0,0,0,0,0,1,8,9,0,3,1,3,0,-5
Evan,Mobley,PF,8,22,3,7,42.9,2,2,0,1,0,1,2,3,4,2,1,0,0,-4
Evan,Mobley,PF,28,24,11,15,73.3,3,4,3,3,100.0,2,8,10,3,5,0,0,0,-7
