player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Isaac,Okoro,SF,19,21,6,8,75.0,5,5,2,4,50.0,0,2,2,3,1,1,2,0,+14
Isaac,Okoro,SF,2,23,1,5,20.0,0,0,0,2,0,1,2,3,4,2,1,1,0,-3
Isaac,Okoro,SF,7,23,3,4,75.0,0,0,1,1,100.0,0,6,6,3,1,0,1,0,+20
Isaac,Okoro,SF,7,21,3,8,37.5,0,0,1,3,33.3,1,2,3,3,0,0,0,1,-2
Isaac,Okoro,SF,18,32,6,10,60.0,4,5,2,4,50.0,3,3,6,4,5,2,2,1,+5
Isaac,Okoro,SF,10,28,3,8,37.5,3,4,1,3,33.3,4,3,7,2,3,2,1,1,-7
Isaac,Okoro,SF,11,35,5,8,62.5,1,2,0,0,0,2,3,5,3,3,0,0,1,-2
Isaac,Okoro,SF,11,25,4,11,36.4,1,2,2,5,40.0,3,4,7,0,2,0,1,0,-9
Isaac,Okoro,SF,2,31,1,3,33.3,0,0,0,2,0,0,3,3,2,6,1,1,0,-1
Isaac,Okoro,SF,5,23,2,3,66.7,0,0,1,1,100.0,0,1,1,2,4,2,1,0,-19
Isaac,Okoro,SF,5,19,2,3,66.7,1,1,0,0,0,1,2,3,0,1,0,2,1,+7
Isaac,Okoro,SF,2,10,1,3,33.3,0,0,0,1,0,0,0,0,0,0,0,1,0,-3
Isaac,Okoro,SF,6,16,3,6,50.0,0,1,0,1,0,1,1,2,2,0,0,0,2,-3
Isaac,Okoro,SF,3,17,1,2,50.0,0,0,1,1,100.0,0,0,0,0,1,1,0,0,-12
Isaac,Okoro,SF,9,33,4,7,57.1,0,0,1,3,33.3,0,6,6,4,3,4,0,0,+15
Isaac,Okoro,SF,0,29,0,4,0,0,0,0,2,0,0,1,1,1,1,1,0,0,+16
Isaac,Okoro,SF,9,22,3,4,75.0,2,2,1,2,50.0,0,1,1,0,2,1,1,1,-12
Isaac,Okoro,SF,1,26,0,4,0,1,4,0,4,0,3,1,4,0,2,0,1,0,-21
Isaac,Okoro,SF,3,16,1,4,25.0,0,0,1,2,50.0,0,2,2,1,1,1,1,0,-15
Isaac,Okoro,SF,7,18,2,2,100.0,2,2,1,1,100.0,1,3,4,2,3,1,1,0,+4
