player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Max,Strus,SG,3,15,1,4,25.0,0,0,1,4,25.0,0,1,1,1,1,0,1,0,-11
Max,Strus,SG,13,24,4,8,50.0,2,2,3,7,42.9,1,5,6,5,4,1,5,0,-8
Max,Strus,SG,7,27,2,8,25.0,2,2,1,5,20.0,1,2,3,2,4,3,2,0,-14
Max,Strus,SG,27,39,9,17,52.9,2,2,7,13,53.8,0,12,12,2,4,1,0,1,+13
Max,Strus,SG,8,38,3,14,21.4,0,0,2,11,18.2,0,5,5,4,1,2,2,1,+8
Max,Strus,SG,21,42,7,20,35.0,3,3,4,9,44.4,1,10,11,6,2,0,1,0,-5
Max,Strus,SG,6,33,2,9,22.2,1,2,1,7,14.3,0,3,3,3,2,0,0,0,-12
Max,Strus,SG,9,35,3,9,33.3,3,3,0,5,0,0,4,4,4,3,0,5,2,+3
Max,Strus,SG,10,28,4,9,44.4,1,2,1,6,16.7,0,1,1,0,2,1,1,1,+3
Max,Strus,SG,15,36,6,13,46.2,0,0,3,10,30.0,0,4,4,4,3,1,0,0,+4
Max,Strus,SG,12,32,4,7,57.1,0,0,4,6,66.7,2,5,7,3,2,0,0,1,-5
Max,Strus,SG,16,33,6,9,66.7,2,2,2,3,66.7,1,7,8,4,2,1,0,0,+6
Max,Strus,SG,19,34,7,12,58.3,0,0,5,9,55.6,2,3,5,4,3,1,1,0,+10
Max,Strus,SG,14,37,5,12,41.7,3,3,1,7,14.3,1,2,3,7,3,1,5,0,+25
Max,Strus,SG,18,39,7,15,46.7,0,0,4,8,50.0,1,6,7,3,1,4,2,1,+9
Max,Strus,SG,11,32,3,7,42.9,3,4,2,6,33.3,1,5,6,5,3,0,3,1,+14
Max,Strus,SG,20,44,7,15,46.7,1,2,5,10,50.0,2,3,5,6,5,2,2,1,-4
Max,Strus,SG,6,25,2,6,33.3,0,0,2,4,50.0,0,3,3,3,0,0,2,1,-11
Max,Strus,SG,13,34,5,11,45.5,0,0,3,7,42.9,0,4,4,2,2,1,3,0,-19
Max,Strus,SG,20,37,8,16,50.0,0,0,4,9,44.4,1,10,11,5,4,0,2,1,-4
Max,Strus,SG,11,35,4,11,36.4,0,0,3,7,42.9,2,1,3,7,2,2,0,2,+30
Max,Strus,SG,9,36,4,11,36.4,0,0,1,6,16.7,0,3,3,3,6,2,2,0,-10
Max,Strus,SG,22,38,9,16,56.3,0,0,4,10,40.0,0,5,5,5,4,1,1,0,+10
Max,Strus,SG,17,31,5,10,50.0,3,4,4,8,50.0,1,4,5,6,5,1,1,0,+4
Max,Strus,SG,11,34,4,17,23.5,1,1,2,11,18.2,2,5,7,1,3,1,0,0,+18
Max,Strus,SG,6,26,1,9,11.1,4,6,0,5,0,1,1,2,3,4,1,3,0,0
Max,Strus,SG,17,37,6,15,40.0,0,0,5,11,45.5,0,9,9,3,4,0,1,0,+1
Max,Strus,SG,5,31,2,5,40.0,0,0,1,4,25.0,2,2,4,2,5,0,1,0,-4
Max,Strus,SG,11,34,4,13,30.8,2,2,1,8,12.5,1,5,6,5,2,1,1,1,+12
Max,Strus,SG,17,34,5,13,38.5,4,5,3,9,33.3,0,3,3,2,3,0,0,0,+2
Max,Strus,SG,18,33,6,15,40.0,0,0,6,12,50.0,1,3,4,4,3,0,5,0,-5
Max,Strus,SG,13,33,4,16,25.0,3,5,2,12,16.7,0,3,3,5,2,0,3,0,-15
Max,Strus,SG,26,41,9,22,40.9,3,3,5,17,29.4,0,1,1,7,2,2,3,1,+15
Max,Strus,SG,8,34,3,10,30.0,0,0,2,8,25.0,1,4,5,6,3,1,2,1,+4
Max,Strus,SG,12,36,5,18,27.8,0,0,2,11,18.2,1,3,4,2,3,4,1,2,-5
Max,Strus,SG,6,37,2,7,28.6,0,0,2,5,40.0,0,6,6,3,4,1,3,1,+9
