player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Dean,Wade,PF,8,17,3,6,50.0,0,0,2,5,40.0,0,2,2,1,0,1,1,0,-3
Dean,Wade,PF,14,20,5,8,62.5,0,0,4,6,66.7,2,4,6,0,2,0,0,0,-2
Dean,Wade,PF,13,21,4,5,80.0,2,2,3,4,75.0,0,8,8,2,0,1,2,0,+27
Dean,Wade,PF,0,20,0,1,0,0,0,0,1,0,0,3,3,1,2,0,1,0,-4
Dean,Wade,PF,8,27,3,6,50.0,0,0,2,5,40.0,0,5,5,0,3,2,1,0,-9
Dean,Wade,PF,6,37,2,5,40.0,0,0,2,5,40.0,0,3,3,3,2,0,0,1,+3
Dean,Wade,PF,0,16,0,5,0,0,0,0,4,0,2,1,3,1,3,0,1,0,-5
Dean,Wade,PF,6,20,2,3,66.7,0,0,2,3,66.7,1,2,3,0,0,0,0,0,-1
Dean,Wade,PF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9
Dean,Wade,PF,3,13,1,3,33.3,0,0,1,3,33.3,1,3,4,0,1,3,0,0,+8
Dean,Wade,PF,0,11,0,1,0,0,2,0,1,0,2,4,6,0,4,1,2,1,-8
Dean,Wade,PF,8,17,2,4,50.0,2,2,2,4,50.0,0,7,7,0,6,0,0,0,+20
Dean,Wade,PF,0,13,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-18
Dean,Wade,PF,0,33,0,3,0,0,0,0,3,0,1,2,3,2,1,0,0,1,+6
Dean,Wade,PF,3,22,1,1,100.0,0,0,1,1,100.0,0,1,1,0,1,0,0,0,0
Dean,Wade,PF,6,24,2,4,50.0,0,0,2,4,50.0,1,9,10,2,1,2,0,0,+25
Dean,Wade,PF,0,31,0,4,0,0,0,0,4,0,4,4,8,2,5,3,1,0,-12
Dean,Wade,PF,8,14,3,6,50.0,0,0,2,5,40.0,1,4,5,0,2,0,0,0,-4
Dean,Wade,PF,5,25,2,5,40.0,0,0,1,4,25.0,3,3,6,0,1,3,1,0,+23
Dean,Wade,PF,9,29,3,5,60.0,1,2,2,3,66.7,4,2,6,0,2,3,2,0,-14
Dean,Wade,PF,8,20,2,6,33.3,2,2,2,6,33.3,1,2,3,3,3,0,0,1,+2
Dean,Wade,PF,5,16,1,5,20.0,2,2,1,5,20.0,1,3,4,0,0,0,0,0,-11
Dean,Wade,PF,16,22,5,8,62.5,2,2,4,7,57.1,1,4,5,3,5,1,0,0,+6
Dean,Wade,PF,12,22,4,5,80.0,2,2,2,3,66.7,2,1,3,1,3,1,2,2,-1
Dean,Wade,PF,3,30,1,3,33.3,0,0,1,3,33.3,2,5,7,2,4,0,0,0,-3
Dean,Wade,PF,20,26,7,11,63.6,0,0,6,8,75.0,0,9,9,0,3,0,0,2,-4
Dean,Wade,PF,11,36,4,12,33.3,0,0,3,10,30.0,1,6,7,1,1,2,1,0,+12
Dean,Wade,PF,3,32,1,5,20.0,0,0,1,5,20.0,1,7,8,0,2,0,0,0,+15
Dean,Wade,PF,0,17,0,3,0,0,0,0,2,0,0,5,5,1,1,1,2,0,-8
Dean,Wade,PF,2,21,1,2,50.0,0,0,0,1,0,0,3,3,0,2,1,0,0,+5
Dean,Wade,PF,2,20,1,3,33.3,0,0,0,1,0,0,3,3,1,1,0,0,0,+15
Dean,Wade,PF,6,22,2,4,50.0,0,0,2,3,66.7,0,5,5,1,0,1,0,0,+20
Dean,Wade,PF,0,11,0,3,0,0,0,0,2,0,0,2,2,1,2,0,1,0,-21
Dean,Wade,PF,4,27,0,1,0,4,4,0,1,0,0,1,1,2,5,2,0,0,+8
Dean,Wade,PF,12,26,4,10,40.0,0,0,4,10,40.0,1,6,7,3,2,3,0,0,+15
Dean,Wade,PF,5,21,2,5,40.0,0,1,1,4,25.0,0,3,3,0,0,1,2,0,+40
Dean,Wade,PF,17,26,6,7,85.7,0,0,5,6,83.3,1,4,5,0,1,1,0,0,+11
Dean,Wade,PF,9,24,3,4,75.0,0,0,3,3,100.0,0,3,3,0,2,2,0,0,+24
Dean,Wade,PF,6,23,2,4,50.0,0,0,2,4,50.0,0,5,5,0,1,0,1,1,-10
Dean,Wade,PF,9,21,3,5,60.0,0,0,3,4,75.0,0,5,5,0,1,0,0,1,+2
Dean,Wade,PF,6,26,2,8,25.0,0,0,2,8,25.0,2,2,4,2,1,0,1,0,+20
Dean,Wade,PF,0,12,0,3,0,0,0,0,2,0,0,1,1,0,2,0,1,1,-7
Dean,Wade,PF,6,28,2,5,40.0,0,0,2,5,40.0,0,5,5,1,1,2,0,2,+19
Dean,Wade,PF,0,14,0,2,0,0,0,0,2,0,0,2,2,1,2,0,0,1,+6
Dean,Wade,PF,6,15,2,2,100.0,0,0,2,2,100.0,0,5,5,2,0,0,0,0,+9
Dean,Wade,PF,6,12,2,6,33.3,0,0,2,6,33.3,0,2,2,0,2,1,0,0,+8
Dean,Wade,PF,9,16,3,4,75.0,0,0,3,4,75.0,0,1,1,0,2,0,0,2,-4
Dean,Wade,PF,0,14,0,5,0,0,0,0,4,0,0,4,4,0,2,1,0,0,+26
Dean,Wade,PF,3,13,1,2,50.0,0,0,1,2,50.0,0,2,2,0,0,0,0,1,-9
Dean,Wade,PF,0,11,0,1,0,0,0,0,1,0,0,3,3,0,0,0,0,1,+6
Dean,Wade,PF,0,8,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-9
Dean,Wade,PF,0,9,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-9
Dean,Wade,PF,5,14,1,2,50.0,2,2,1,2,50.0,0,2,2,1,1,0,0,2,+12
Dean,Wade,PF,6,19,2,4,50.0,0,0,2,4,50.0,0,2,2,0,4,1,0,2,-1
Dean,Wade,PF,0,20,0,4,0,0,0,0,4,0,0,3,3,2,0,0,1,2,-5
Dean,Wade,PF,23,21,8,11,72.7,1,2,6,9,66.7,2,6,8,1,0,2,0,0,+16
Dean,Wade,PF,9,30,3,8,37.5,2,3,1,6,16.7,0,4,4,0,1,0,0,0,+1
Dean,Wade,PF,0,33,0,2,0,0,0,0,2,0,1,3,4,2,2,0,0,1,-25
Dean,Wade,PF,5,17,2,6,33.3,0,0,1,4,25.0,1,2,3,3,2,0,0,1,+12
Dean,Wade,PF,3,25,1,4,25.0,0,0,1,4,25.0,0,1,1,0,0,1,0,1,+2
