player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jaylen,Brown,SG,19,26,7,10,70.0,4,5,1,2,50.0,2,1,3,1,4,1,2,1,-3
Jaylen,Brown,SG,17,30,6,15,40.0,2,3,3,7,42.9,0,3,3,6,1,0,4,0,-1
Jaylen,Brown,SG,20,23,8,12,66.7,0,0,4,5,80.0,0,4,4,1,1,1,3,0,+18
Jaylen,Brown,SG,11,38,4,11,36.4,3,4,0,4,0,0,6,6,5,5,1,2,0,+8
Jaylen,Brown,SG,27,34,11,22,50.0,2,4,3,7,42.9,2,4,6,1,1,2,4,0,+3
Jaylen,Brown,SG,36,32,13,24,54.2,2,4,8,13,61.5,0,6,6,2,3,3,0,1,+32
Jaylen,Brown,SG,16,25,7,15,46.7,2,2,0,1,0,1,6,7,1,3,0,2,0,+22
Jaylen,Brown,SG,23,35,7,22,31.8,7,8,2,11,18.2,0,5,5,4,4,0,2,1,+6
Jaylen,Brown,SG,26,39,10,21,47.6,3,4,3,8,37.5,0,7,7,4,5,1,3,0,-16
Jaylen,Brown,SG,11,36,4,13,30.8,1,2,2,7,28.6,0,2,2,2,2,1,4,1,-3
Jaylen,Brown,SG,28,29,10,19,52.6,3,5,5,9,55.6,0,3,3,5,0,1,3,0,+6
Jaylen,Brown,SG,29,32,12,20,60.0,2,3,3,8,37.5,1,4,5,2,1,0,2,0,+9
Jaylen,Brown,SG,22,36,7,18,38.9,6,6,2,9,22.2,1,4,5,6,3,1,3,1,+17
Jaylen,Brown,SG,23,36,9,14,64.3,2,3,3,5,60.0,0,3,3,4,2,1,3,1,+4
Jaylen,Brown,SG,12,34,5,16,31.3,1,2,1,7,14.3,0,6,6,3,4,2,2,2,+1
Jaylen,Brown,SG,13,34,5,17,29.4,3,4,0,5,0,1,3,4,3,5,0,2,0,-23
Jaylen,Brown,SG,26,35,10,16,62.5,3,3,3,5,60.0,0,2,2,8,1,1,1,0,-3
Jaylen,Brown,SG,18,39,6,22,27.3,4,7,2,8,25.0,0,3,3,2,3,3,3,1,+1
Jaylen,Brown,SG,21,36,9,19,47.4,1,2,2,7,28.6,1,6,7,3,4,1,2,0,+5
Jaylen,Brown,SG,30,35,12,23,52.2,3,5,3,8,37.5,2,6,8,6,1,0,3,1,+22
Jaylen,Brown,SG,20,35,8,20,40.0,3,4,1,4,25.0,1,3,4,0,3,4,3,2,+10
Jaylen,Brown,SG,30,31,14,23,60.9,0,1,2,7,28.6,2,7,9,0,6,1,3,2,-10
Jaylen,Brown,SG,17,27,7,13,53.8,1,1,2,5,40.0,0,0,0,4,5,1,2,1,+18
Jaylen,Brown,SG,25,35,10,17,58.8,4,4,1,5,20.0,1,1,2,4,1,1,3,1,-6
Jaylen,Brown,SG,22,36,10,20,50.0,0,0,2,5,40.0,2,3,5,5,3,2,2,0,+4
Jaylen,Brown,SG,18,30,8,15,53.3,2,3,0,5,0,0,3,3,4,0,0,2,1,+20
Jaylen,Brown,SG,31,34,12,20,60.0,2,2,5,8,62.5,1,4,5,6,4,1,2,1,+11
Jaylen,Brown,SG,28,41,10,22,45.5,7,8,1,4,25.0,3,5,8,7,2,0,4,1,-3
Jaylen,Brown,SG,28,29,11,21,52.4,6,7,0,3,0,1,4,5,6,2,0,0,0,+22
