player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Sam,Hauser,SF,0,23,0,6,0,0,0,0,6,0,1,2,3,1,2,2,0,0,+7
Sam,Hauser,SF,6,25,2,9,22.2,0,0,2,9,22.2,2,6,8,1,2,1,2,0,-1
Sam,Hauser,SF,15,22,4,9,44.4,3,3,4,9,44.4,0,4,4,3,2,1,0,1,+16
Sam,Hauser,SF,15,22,4,9,44.4,4,4,3,7,42.9,2,0,2,2,1,1,0,0,+10
Sam,Hauser,SF,6,15,2,6,33.3,0,0,2,5,40.0,0,2,2,1,0,2,0,0,+12
Sam,Hauser,SF,0,14,0,4,0,0,0,0,4,0,0,2,2,0,1,1,0,1,+5
Sam,Hauser,SF,3,10,1,2,50.0,0,0,1,2,50.0,0,1,1,0,1,0,0,0,+6
Sam,Hauser,SF,8,25,3,10,30.0,0,0,2,9,22.2,3,5,8,1,3,0,1,1,-10
Sam,Hauser,SF,17,19,5,7,71.4,2,2,5,6,83.3,0,3,3,0,3,1,1,0,+23
Sam,Hauser,SF,5,19,2,3,66.7,0,0,1,2,50.0,0,1,1,0,3,2,1,0,-5
Sam,Hauser,SF,11,25,3,8,37.5,2,2,3,8,37.5,1,3,4,0,3,1,1,1,-3
Sam,Hauser,SF,13,19,5,8,62.5,0,0,3,6,50.0,0,4,4,0,0,1,0,1,-6
Sam,Hauser,SF,15,25,5,10,50.0,0,0,5,10,50.0,1,1,2,1,1,0,0,0,-1
Sam,Hauser,SF,12,18,4,6,66.7,0,0,4,6,66.7,0,4,4,0,2,0,0,0,-2
Sam,Hauser,SF,12,21,4,6,66.7,0,0,4,6,66.7,0,4,4,2,0,0,0,0,+6
Sam,Hauser,SF,8,35,3,9,33.3,0,0,2,8,25.0,1,1,2,2,2,0,0,1,+4
Sam,Hauser,SF,11,23,4,7,57.1,0,0,3,6,50.0,1,2,3,3,0,1,0,0,+8
Sam,Hauser,SF,15,22,5,8,62.5,0,0,5,7,71.4,0,4,4,0,0,2,0,0,+17
Sam,Hauser,SF,3,37,1,9,11.1,0,0,1,9,11.1,0,1,1,1,3,0,1,0,-22
Sam,Hauser,SF,10,20,4,5,80.0,0,0,2,3,66.7,1,1,2,1,2,0,1,1,+10
Sam,Hauser,SF,10,25,4,6,66.7,0,0,2,4,50.0,1,1,2,0,0,0,1,0,-16
Sam,Hauser,SF,12,32,4,9,44.4,0,0,4,9,44.4,2,2,4,2,2,0,0,0,+11
Sam,Hauser,SF,9,21,3,12,25.0,1,2,2,10,20.0,4,6,10,2,1,0,2,0,+13
Sam,Hauser,SF,11,26,3,5,60.0,2,2,3,4,75.0,1,4,5,1,2,1,3,1,-3
Sam,Hauser,SF,15,23,5,9,55.6,0,0,5,7,71.4,2,4,6,1,2,0,0,0,+9
Sam,Hauser,SF,1,21,0,5,0,1,2,0,5,0,1,2,3,1,1,0,0,1,-10
Sam,Hauser,SF,9,20,3,5,60.0,0,0,3,4,75.0,1,2,3,1,1,0,0,0,+14
Sam,Hauser,SF,9,18,3,3,100.0,0,0,3,3,100.0,0,0,0,1,2,0,0,0,+9
Sam,Hauser,SF,11,32,4,8,50.0,0,0,3,6,50.0,2,5,7,4,1,4,1,0,+19
Sam,Hauser,SF,4,17,2,5,40.0,0,0,0,3,0,1,1,2,0,0,1,1,0,+12
Sam,Hauser,SF,0,21,0,7,0,0,0,0,6,0,1,2,3,1,2,0,0,0,+1
