player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jrue,Holiday,PG,6,22,2,10,20.0,0,0,2,4,50.0,1,4,5,1,1,2,1,0,+6
Jrue,Holiday,PG,11,17,5,7,71.4,0,0,1,3,33.3,0,2,2,2,1,0,2,0,+8
Jrue,Holiday,PG,10,29,4,7,57.1,1,1,1,2,50.0,1,6,7,4,1,2,3,0,+4
Jrue,Holiday,PG,11,23,5,9,55.6,0,0,1,4,25.0,3,2,5,7,1,3,0,0,+18
Jrue,Holiday,PG,9,35,4,10,40.0,0,0,1,5,20.0,2,2,4,2,3,0,2,3,+3
Jrue,Holiday,PG,17,36,7,13,53.8,2,2,1,4,25.0,2,8,10,7,2,0,1,1,+4
Jrue,Holiday,PG,11,27,4,7,57.1,2,2,1,3,33.3,1,4,5,3,1,1,1,2,+28
Jrue,Holiday,PG,15,25,6,9,66.7,0,0,3,4,75.0,0,7,7,4,0,0,1,1,+20
Jrue,Holiday,PG,18,40,6,15,40.0,2,2,4,9,44.4,4,5,9,10,1,0,3,1,+14
Jrue,Holiday,PG,12,42,4,16,25.0,4,6,0,4,0,3,8,11,6,3,1,3,0,-19
Jrue,Holiday,PG,12,35,4,9,44.4,2,2,2,3,66.7,1,4,5,5,1,1,2,0,+13
Jrue,Holiday,PG,13,33,6,14,42.9,0,0,1,5,20.0,3,9,12,9,2,2,0,0,+26
Jrue,Holiday,PG,8,30,4,9,44.4,0,0,0,2,0,0,3,3,7,2,1,4,2,+22
Jrue,Holiday,PG,14,37,5,9,55.6,1,1,3,5,60.0,4,3,7,2,2,0,2,0,+5
Jrue,Holiday,PG,18,35,8,18,44.4,0,1,2,9,22.2,2,8,10,3,0,1,1,2,+16
Jrue,Holiday,PG,14,35,5,14,35.7,2,2,2,4,50.0,2,6,8,5,2,0,1,0,-2
Jrue,Holiday,PG,7,37,2,7,28.6,2,2,1,3,33.3,2,4,6,4,1,0,2,0,-9
Jrue,Holiday,PG,11,37,5,11,45.5,0,2,1,3,33.3,3,3,6,5,1,1,7,2,-4
Jrue,Holiday,PG,5,35,1,8,12.5,2,2,1,5,20.0,1,7,8,1,3,1,2,1,-1
Jrue,Holiday,PG,14,33,5,8,62.5,0,0,4,5,80.0,1,6,7,9,3,1,3,0,+19
Jrue,Holiday,PG,13,35,4,11,36.4,2,2,3,5,60.0,0,5,5,6,2,1,3,0,+7
Jrue,Holiday,PG,9,38,3,9,33.3,2,2,1,5,20.0,1,5,6,3,1,1,1,1,-15
Jrue,Holiday,PG,16,35,7,11,63.6,1,1,1,3,33.3,0,6,6,5,1,2,1,1,+6
Jrue,Holiday,PG,11,34,4,7,57.1,0,0,3,5,60.0,2,2,4,2,3,3,1,1,+2
Jrue,Holiday,PG,15,37,7,11,63.6,0,0,1,3,33.3,2,1,3,4,2,0,2,0,+11
Jrue,Holiday,PG,6,28,2,7,28.6,0,0,2,3,66.7,1,3,4,4,2,2,0,1,+12
Jrue,Holiday,PG,14,34,6,12,50.0,0,0,2,5,40.0,1,5,6,0,2,0,3,2,+17
Jrue,Holiday,PG,13,36,5,12,41.7,2,2,1,5,20.0,1,6,7,1,5,2,1,0,-14
Jrue,Holiday,PG,21,34,7,13,53.8,3,3,4,6,66.7,2,6,8,10,1,2,3,1,+17
Jrue,Holiday,PG,20,28,8,12,66.7,0,0,4,6,66.7,3,3,6,7,1,1,1,0,+22
Jrue,Holiday,PG,18,38,7,10,70.0,1,1,3,5,60.0,2,5,7,7,1,1,2,1,+15
Jrue,Holiday,PG,12,44,4,9,44.4,4,5,0,2,0,2,7,9,3,1,1,3,1,+1
Jrue,Holiday,PG,15,32,5,15,33.3,2,4,3,5,60.0,0,2,2,3,1,0,1,0,+8
Jrue,Holiday,PG,7,31,2,8,25.0,1,2,2,5,40.0,1,4,5,7,1,1,3,0,-15
Jrue,Holiday,PG,14,24,6,8,75.0,0,0,2,3,66.7,1,5,6,1,1,0,2,2,+22
