player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Al,Horford,C,5,21,1,3,33.3,2,2,1,2,50.0,0,4,4,2,1,0,0,2,0
Al,Horford,C,9,17,3,4,75.0,2,2,1,2,50.0,0,4,4,1,1,0,1,0,+8
Al,Horford,C,8,23,3,7,42.9,0,0,2,4,50.0,2,1,3,3,2,1,0,1,+17
Al,Horford,C,8,26,3,4,75.0,0,0,2,3,66.7,3,4,7,2,2,0,3,0,-7
Al,Horford,C,0,25,0,6,0,0,0,0,2,0,3,7,10,2,1,0,3,1,+7
Al,Horford,C,8,16,4,9,44.4,0,0,0,3,0,4,1,5,1,1,2,0,0,+4
Al,Horford,C,5,11,1,3,33.3,2,2,1,1,100.0,2,2,4,0,0,1,1,1,+7
Al,Horford,C,8,30,4,7,57.1,0,0,0,3,0,2,5,7,3,1,1,0,1,+29
Al,Horford,C,3,36,1,5,20.0,0,0,1,4,25.0,2,3,5,4,4,1,2,0,+7
Al,Horford,C,3,26,1,6,16.7,0,0,1,6,16.7,0,5,5,3,1,0,1,2,-23
Al,Horford,C,7,24,3,5,60.0,0,0,1,3,33.3,1,6,7,4,2,0,0,0,+11
Al,Horford,C,2,22,1,2,50.0,0,0,0,1,0,0,4,4,0,2,0,1,0,+2
Al,Horford,C,14,29,5,9,55.6,0,0,4,8,50.0,1,7,8,3,2,0,0,5,+14
Al,Horford,C,11,23,4,5,80.0,0,0,3,4,75.0,1,3,4,2,1,0,0,0,-3
Al,Horford,C,5,22,2,5,40.0,0,0,1,3,33.3,2,1,3,2,2,0,0,0,+2
Al,Horford,C,11,31,4,7,57.1,1,1,2,3,66.7,1,7,8,6,1,0,0,1,+5
Al,Horford,C,3,33,1,5,20.0,0,0,1,5,20.0,0,5,5,3,4,0,1,0,-26
Al,Horford,C,6,32,3,8,37.5,0,0,0,5,0,3,12,15,3,1,1,0,2,+17
Al,Horford,C,16,28,6,8,75.0,0,0,4,6,66.7,0,9,9,6,3,2,3,3,+18
Al,Horford,C,20,33,7,9,77.8,4,4,2,4,50.0,2,4,6,3,4,1,1,2,+10
Al,Horford,C,2,31,1,3,33.3,0,0,0,1,0,2,5,7,4,1,0,2,1,-2
Al,Horford,C,14,27,5,8,62.5,1,1,3,6,50.0,2,8,10,2,1,0,2,0,+9
Al,Horford,C,2,22,1,3,33.3,0,0,0,2,0,2,3,5,1,0,1,0,0,+13
Al,Horford,C,7,24,3,4,75.0,0,0,1,2,50.0,3,7,10,3,1,0,0,1,+9
Al,Horford,C,8,24,3,7,42.9,0,0,2,3,66.7,1,7,8,2,2,0,0,1,+19
Al,Horford,C,13,38,4,14,28.6,2,2,3,10,30.0,2,10,12,6,1,0,2,1,-8
Al,Horford,C,6,27,2,6,33.3,0,0,2,5,40.0,0,8,8,5,2,1,0,2,+24
Al,Horford,C,6,23,2,4,50.0,0,0,2,4,50.0,0,6,6,1,3,0,0,1,+1
Al,Horford,C,8,37,3,4,75.0,0,0,2,3,66.7,2,3,5,3,1,1,1,1,+10
Al,Horford,C,7,20,3,5,60.0,0,0,1,3,33.3,1,6,7,4,0,0,0,0,+17
Al,Horford,C,7,20,3,5,60.0,0,0,1,3,33.3,0,2,2,3,0,1,0,5,-13
Al,Horford,C,10,30,4,8,50.0,0,2,2,5,40.0,1,6,7,8,1,1,2,2,+10
Al,Horford,C,11,32,4,5,80.0,0,0,3,4,75.0,0,6,6,0,1,0,1,1,-9
Al,Horford,C,9,38,3,8,37.5,0,0,3,6,50.0,1,7,8,5,3,0,1,0,+2
Al,Horford,C,7,20,2,3,66.7,2,2,1,2,50.0,0,4,4,1,0,0,0,1,+30
Al,Horford,C,10,35,4,10,40.0,0,0,2,4,50.0,2,9,11,2,3,1,1,0,+1
