player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Luke,Kornet,C,4,13,1,2,50.0,2,2,0,0,0,0,3,3,1,1,0,3,0,-12
Luke,Kornet,C,4,20,2,2,100.0,0,0,0,0,0,1,1,2,3,3,0,1,2,-10
Luke,Kornet,C,3,15,1,1,100.0,1,1,0,0,0,0,1,1,3,2,0,0,0,-5
Luke,Kornet,C,2,12,1,2,50.0,0,0,0,0,0,2,2,4,0,1,0,0,0,+1
Luke,Kornet,C,0,8,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,-1
Luke,Kornet,C,0,11,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,-11
Luke,Kornet,C,2,6,1,1,100.0,0,0,0,0,0,1,1,2,0,0,0,0,0,+7
Luke,Kornet,C,11,15,5,5,100.0,1,1,0,0,0,0,7,7,0,3,1,0,0,+7
Luke,Kornet,C,5,16,1,2,50.0,3,4,0,0,0,1,0,1,0,2,2,0,0,+4
Luke,Kornet,C,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Luke,Kornet,C,7,18,3,5,60.0,1,1,0,0,0,6,3,9,1,1,0,0,1,-2
Luke,Kornet,C,2,9,1,1,100.0,0,0,0,0,0,0,5,5,1,1,0,0,0,+3
Luke,Kornet,C,9,19,4,4,100.0,1,2,0,0,0,3,3,6,1,2,1,2,0,-4
Luke,Kornet,C,4,19,2,2,100.0,0,0,0,0,0,0,3,3,0,0,0,0,1,+25
Luke,Kornet,C,12,25,5,6,83.3,2,2,0,0,0,2,4,6,1,2,2,1,2,-2
Luke,Kornet,C,4,9,2,2,100.0,0,0,0,0,0,1,1,2,0,1,1,0,1,-6
Luke,Kornet,C,4,19,2,3,66.7,0,0,0,0,0,2,1,3,0,3,0,1,3,+9
Luke,Kornet,C,0,8,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-9
Luke,Kornet,C,6,17,3,5,60.0,0,0,0,0,0,4,0,4,2,2,1,1,4,-8
Luke,Kornet,C,4,11,2,3,66.7,0,0,0,0,0,1,0,1,1,0,0,0,0,-8
Luke,Kornet,C,4,8,1,3,33.3,2,2,0,0,0,3,1,4,0,0,0,0,0,+2
Luke,Kornet,C,20,33,9,11,81.8,2,2,0,0,0,5,3,8,3,3,0,1,3,-2
Luke,Kornet,C,12,16,5,7,71.4,2,2,0,0,0,3,1,4,2,1,0,0,2,+6
Luke,Kornet,C,0,15,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,1,-1
Luke,Kornet,C,2,11,1,3,33.3,0,0,0,0,0,4,3,7,0,1,1,1,1,+13
Luke,Kornet,C,4,16,1,2,50.0,2,2,0,0,0,3,1,4,3,1,1,1,0,+3
Luke,Kornet,C,5,10,1,4,25.0,3,4,0,0,0,2,0,2,2,2,0,1,2,-3
Luke,Kornet,C,8,18,3,4,75.0,2,2,0,0,0,2,3,5,0,1,0,0,1,+6
Luke,Kornet,C,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-16
Luke,Kornet,C,2,14,1,2,50.0,0,0,0,0,0,1,1,2,0,5,0,0,1,0
Luke,Kornet,C,4,18,2,2,100.0,0,0,0,0,0,0,3,3,0,1,0,0,1,+12
Luke,Kornet,C,6,30,3,5,60.0,0,0,0,0,0,3,6,9,4,2,1,2,3,+11
Luke,Kornet,C,4,8,2,2,100.0,0,0,0,0,0,0,2,2,1,0,0,0,0,-1
Luke,Kornet,C,8,23,4,4,100.0,0,0,0,0,0,5,4,9,1,3,1,1,3,-2
Luke,Kornet,C,2,19,1,3,33.3,0,0,0,0,0,1,4,5,1,2,0,2,1,-4
Luke,Kornet,C,12,19,4,4,100.0,4,4,0,0,0,1,4,5,1,1,0,0,0,+10
Luke,Kornet,C,11,18,5,10,50.0,1,1,0,0,0,4,1,5,0,2,0,0,1,-15
