player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Payton,Pritchard,PG,26,23,9,14,64.3,2,2,6,11,54.5,0,2,2,4,2,1,2,0,+7
Payton,Pritchard,PG,21,29,7,15,46.7,3,3,4,11,36.4,0,3,3,5,1,3,3,0,-12
Payton,Pritchard,PG,17,24,7,15,46.7,0,0,3,9,33.3,0,1,1,3,1,1,2,0,+3
Payton,Pritchard,PG,11,22,4,13,30.8,0,0,3,10,30.0,0,1,1,4,1,0,0,0,+14
Payton,Pritchard,PG,3,16,1,6,16.7,0,0,1,6,16.7,1,1,2,8,2,2,0,0,+18
Payton,Pritchard,PG,4,11,1,4,25.0,2,2,0,3,0,0,1,1,1,1,0,0,0,-8
Payton,Pritchard,PG,3,13,1,1,100.0,0,0,1,1,100.0,0,0,0,1,2,0,0,0,+8
Payton,Pritchard,PG,0,25,0,8,0,0,0,0,6,0,1,6,7,6,3,1,4,0,-2
Payton,Pritchard,PG,15,26,6,10,60.0,1,1,2,3,66.7,1,3,4,9,2,0,0,0,+32
Payton,Pritchard,PG,0,19,0,4,0,0,0,0,4,0,0,0,0,2,2,0,1,0,-10
Payton,Pritchard,PG,0,20,0,3,0,0,0,0,1,0,3,3,6,3,2,0,0,0,+13
Payton,Pritchard,PG,0,16,0,4,0,0,0,0,2,0,2,0,2,4,0,0,1,0,-2
Payton,Pritchard,PG,13,30,5,10,50.0,1,2,2,7,28.6,4,1,5,3,1,1,0,0,+9
Payton,Pritchard,PG,7,25,2,5,40.0,2,2,1,3,33.3,3,3,6,4,1,0,1,0,+14
Payton,Pritchard,PG,5,19,2,3,66.7,0,0,1,1,100.0,0,3,3,3,3,0,0,0,+5
Payton,Pritchard,PG,5,23,2,5,40.0,0,0,1,3,33.3,1,1,2,3,0,0,0,0,+7
Payton,Pritchard,PG,5,17,2,7,28.6,0,0,1,5,20.0,1,2,3,3,1,1,0,0,+11
Payton,Pritchard,PG,7,15,2,5,40.0,2,4,1,2,50.0,0,3,3,1,0,0,1,0,0
Payton,Pritchard,PG,21,33,8,14,57.1,0,0,5,8,62.5,2,4,6,3,1,2,0,0,+16
Payton,Pritchard,PG,10,21,4,7,57.1,0,0,2,4,50.0,0,2,2,1,0,0,2,0,+6
Payton,Pritchard,PG,2,13,1,2,50.0,0,0,0,0,0,0,1,1,2,0,0,1,0,-6
Payton,Pritchard,PG,6,20,2,6,33.3,0,0,2,6,33.3,0,2,2,0,0,0,0,0,-10
Payton,Pritchard,PG,11,23,4,10,40.0,0,0,3,7,42.9,1,4,5,2,0,1,0,0,+11
Payton,Pritchard,PG,10,23,3,7,42.9,2,2,2,6,33.3,0,2,2,5,1,1,0,0,-2
Payton,Pritchard,PG,0,15,0,5,0,0,0,0,4,0,0,4,4,2,0,0,0,0,-4
Payton,Pritchard,PG,5,19,2,4,50.0,0,0,1,3,33.3,1,1,2,2,2,0,0,0,-12
Payton,Pritchard,PG,6,12,2,5,40.0,0,0,2,5,40.0,0,3,3,3,1,2,1,1,+10
Payton,Pritchard,PG,0,14,0,1,0,0,0,0,1,0,0,3,3,2,1,0,0,1,+1
Payton,Pritchard,PG,21,28,7,10,70.0,1,2,6,7,85.7,1,2,3,5,4,1,0,0,+8
Payton,Pritchard,PG,5,21,2,5,40.0,0,0,1,1,100.0,2,4,6,3,3,0,1,1,+10
Payton,Pritchard,PG,11,19,4,6,66.7,0,0,3,5,60.0,0,0,0,2,1,0,1,0,-10
Payton,Pritchard,PG,20,29,6,12,50.0,2,3,6,11,54.5,0,4,4,4,1,1,1,0,+10
Payton,Pritchard,PG,9,23,3,8,37.5,0,0,3,5,60.0,1,3,4,3,3,0,0,0,+13
Payton,Pritchard,PG,10,13,4,8,50.0,0,0,2,6,33.3,2,0,2,0,1,0,0,0,-5
Payton,Pritchard,PG,9,24,4,11,36.4,0,0,1,6,16.7,2,2,4,2,0,1,1,0,-9
Payton,Pritchard,PG,9,25,3,10,30.0,0,0,3,8,37.5,3,2,5,6,3,0,2,0,-3
Payton,Pritchard,PG,9,19,4,8,50.0,0,2,1,5,20.0,1,2,3,7,0,0,0,0,+10
Payton,Pritchard,PG,5,25,2,5,40.0,0,0,1,4,25.0,1,2,3,4,1,2,0,0,+9
Payton,Pritchard,PG,7,23,3,10,30.0,0,0,1,7,14.3,1,1,2,4,3,1,3,0,+14
Payton,Pritchard,PG,5,15,2,5,40.0,0,0,1,3,33.3,0,2,2,0,0,1,0,0,+10
Payton,Pritchard,PG,14,23,5,6,83.3,0,0,4,5,80.0,4,3,7,3,2,0,1,0,-2
Payton,Pritchard,PG,3,16,1,4,25.0,0,0,1,3,33.3,0,1,1,1,0,0,0,0,+3
Payton,Pritchard,PG,21,31,6,13,46.2,7,7,2,9,22.2,0,4,4,4,1,0,1,1,-13
Payton,Pritchard,PG,19,23,7,10,70.0,2,2,3,6,50.0,2,2,4,3,1,0,2,0,+12
Payton,Pritchard,PG,3,24,1,7,14.3,0,0,1,6,16.7,0,3,3,2,2,0,0,0,+16
