player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jayson,Tatum,SF,13,27,3,13,23.1,7,9,0,4,0,2,8,10,5,2,1,1,0,+2
Jayson,Tatum,SF,28,30,9,15,60.0,5,5,5,8,62.5,1,7,8,4,3,3,2,1,+9
Jayson,Tatum,SF,11,23,4,12,33.3,2,2,1,5,20.0,0,6,6,7,1,3,2,0,+22
Jayson,Tatum,SF,34,39,13,22,59.1,5,6,3,8,37.5,0,11,11,4,3,2,4,1,0
Jayson,Tatum,SF,22,41,9,22,40.9,1,3,3,10,30.0,0,8,8,5,4,1,2,0,+13
Jayson,Tatum,SF,33,28,14,21,66.7,1,1,4,9,44.4,0,6,6,3,2,0,2,0,+27
Jayson,Tatum,SF,30,27,9,15,60.0,9,10,3,5,60.0,2,10,12,4,1,0,2,0,+36
Jayson,Tatum,SF,32,41,10,20,50.0,6,6,6,10,60.0,1,10,11,1,1,0,3,0,+18
Jayson,Tatum,SF,32,43,12,22,54.5,6,8,2,8,25.0,0,5,5,2,2,5,6,0,+3
Jayson,Tatum,SF,16,37,6,14,42.9,2,3,2,6,33.3,1,14,15,6,2,3,2,0,-1
Jayson,Tatum,SF,23,33,6,17,35.3,7,9,4,11,36.4,1,9,10,3,1,0,2,0,+28
Jayson,Tatum,SF,27,34,10,18,55.6,4,6,3,9,33.3,0,5,5,4,2,0,1,1,+42
Jayson,Tatum,SF,35,39,13,23,56.5,4,5,5,12,41.7,1,5,6,7,5,1,3,0,+12
Jayson,Tatum,SF,29,39,10,23,43.5,5,6,4,10,40.0,2,6,8,6,1,2,3,0,+2
Jayson,Tatum,SF,17,37,8,22,36.4,0,0,1,11,9.1,1,6,7,2,3,1,3,0,-4
Jayson,Tatum,SF,20,35,7,13,53.8,5,6,1,1,100.0,2,7,9,5,4,1,8,1,-1
Jayson,Tatum,SF,45,44,15,28,53.6,8,10,7,15,46.7,0,13,13,6,1,0,3,2,-5
Jayson,Tatum,SF,23,36,7,17,41.2,7,9,2,9,22.2,0,11,11,4,2,0,2,1,-2
Jayson,Tatum,SF,26,39,7,16,43.8,12,13,0,3,0,0,5,5,3,3,2,2,0,-21
Jayson,Tatum,SF,34,39,11,25,44.0,7,10,5,13,38.5,1,8,9,4,2,2,6,0,+3
Jayson,Tatum,SF,21,36,8,16,50.0,3,3,2,8,25.0,1,6,7,4,2,0,4,0,+18
Jayson,Tatum,SF,21,27,6,9,66.7,7,9,2,5,40.0,0,7,7,4,1,1,7,1,-7
