player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Derrick,White,PG,7,25,2,6,33.3,3,4,0,1,0,1,3,4,2,2,1,3,1,+1
Derrick,White,PG,11,17,4,8,50.0,1,1,2,5,40.0,0,3,3,4,1,2,1,3,+8
Derrick,White,PG,9,24,3,6,50.0,1,1,2,5,40.0,1,4,5,1,3,0,2,0,-1
Derrick,White,PG,15,23,6,11,54.5,1,1,2,6,33.3,0,4,4,2,0,2,3,3,+23
Derrick,White,PG,12,32,4,6,66.7,3,4,1,3,33.3,0,6,6,2,3,2,1,1,+7
Derrick,White,PG,28,36,9,15,60.0,5,6,5,7,71.4,3,3,6,3,1,1,2,3,+4
Derrick,White,PG,5,24,2,3,66.7,0,0,1,2,50.0,1,0,1,8,1,2,2,1,+27
Derrick,White,PG,18,27,7,10,70.0,0,0,4,7,57.1,1,2,3,4,3,0,2,0,+34
Derrick,White,PG,19,38,6,18,33.3,4,4,3,11,27.3,1,3,4,5,3,2,2,1,+2
Derrick,White,PG,11,27,4,10,40.0,1,2,2,5,40.0,0,4,4,5,2,0,0,1,+1
Derrick,White,PG,4,26,2,5,40.0,0,1,0,3,0,0,4,4,5,2,0,0,1,+20
Derrick,White,PG,3,31,1,7,14.3,0,0,1,3,33.3,1,1,2,4,2,1,1,1,+14
Derrick,White,PG,27,36,7,12,58.3,9,10,4,8,50.0,0,3,3,5,3,1,2,0,+3
Derrick,White,PG,13,34,4,10,40.0,2,2,3,8,37.5,0,4,4,5,1,0,1,0,-1
Derrick,White,PG,10,34,3,9,33.3,2,2,2,5,40.0,1,2,3,4,2,0,2,1,+1
Derrick,White,PG,13,35,5,9,55.6,0,0,3,6,50.0,0,4,4,5,1,1,6,1,-3
Derrick,White,PG,16,37,3,9,33.3,9,12,1,5,20.0,0,5,5,4,1,1,3,1,-6
Derrick,White,PG,15,37,5,13,38.5,5,5,0,6,0,2,2,4,11,5,3,3,0,+29
Derrick,White,PG,14,29,5,7,71.4,2,2,2,3,66.7,0,3,3,7,4,2,0,0,+15
Derrick,White,PG,21,32,5,11,45.5,8,8,3,4,75.0,1,5,6,5,2,1,1,1,+20
Derrick,White,PG,18,36,7,16,43.8,2,2,2,9,22.2,0,4,4,8,4,1,5,1,-4
Derrick,White,PG,30,32,10,16,62.5,4,4,6,10,60.0,2,1,3,3,4,2,0,2,+21
Derrick,White,PG,17,37,5,9,55.6,2,2,5,8,62.5,0,4,4,4,3,1,1,2,-6
Derrick,White,PG,14,35,5,10,50.0,2,2,2,4,50.0,2,3,5,3,0,3,3,0,+9
Derrick,White,PG,19,30,7,15,46.7,2,2,3,7,42.9,1,3,4,8,0,4,1,1,+13
Derrick,White,PG,10,27,4,9,44.4,1,1,1,5,20.0,0,5,5,4,1,1,2,3,+7
Derrick,White,PG,30,40,11,24,45.8,1,2,7,18,38.9,2,5,7,3,2,0,0,3,-1
Derrick,White,PG,28,29,10,13,76.9,2,3,6,9,66.7,1,1,2,7,1,1,1,3,+16
Derrick,White,PG,18,29,5,12,41.7,5,5,3,10,30.0,0,3,3,3,2,0,2,3,+27
Derrick,White,PG,18,35,8,13,61.5,0,0,2,4,50.0,0,2,2,11,3,2,2,2,+16
Derrick,White,PG,23,38,9,15,60.0,3,3,2,4,50.0,1,3,4,5,1,0,2,2,+8
Derrick,White,PG,21,36,5,19,26.3,9,9,2,10,20.0,1,4,5,7,2,3,3,2,+7
Derrick,White,PG,17,26,7,11,63.6,0,0,3,6,50.0,1,2,3,5,1,0,0,0,+24
Derrick,White,PG,19,29,7,12,58.3,0,0,5,9,55.6,0,5,5,6,4,1,2,1,+5
Derrick,White,PG,10,26,3,9,33.3,2,2,2,7,28.6,0,7,7,3,2,1,0,1,+19
Derrick,White,PG,7,24,3,6,50.0,0,0,1,2,50.0,0,5,5,2,5,0,4,1,+20
Derrick,White,PG,13,36,4,16,25.0,3,3,2,8,25.0,0,4,4,6,3,0,1,2,-2
Derrick,White,PG,9,43,3,11,27.3,2,2,1,5,20.0,2,4,6,6,5,0,2,0,+11
Derrick,White,PG,2,18,1,4,25.0,0,0,0,1,0,0,1,1,0,0,0,0,0,-14
Derrick,White,PG,13,25,5,9,55.6,0,0,3,5,60.0,1,2,3,5,1,2,0,0,+29
Derrick,White,PG,22,37,7,18,38.9,3,3,5,11,45.5,0,2,2,1,1,0,3,0,-8
Derrick,White,PG,24,36,9,18,50.0,1,1,5,12,41.7,1,2,3,5,3,2,1,1,-2
Derrick,White,PG,21,36,9,19,47.4,0,0,3,8,37.5,2,9,11,3,2,0,3,2,+13
Derrick,White,PG,6,34,2,12,16.7,1,2,1,7,14.3,0,4,4,1,3,2,1,1,-11
Derrick,White,PG,15,29,6,12,50.0,0,0,3,9,33.3,2,4,6,6,0,0,1,2,+24
Derrick,White,PG,2,24,0,8,0,2,2,0,4,0,0,2,2,2,2,0,1,3,-22
Derrick,White,PG,17,35,6,14,42.9,1,2,4,10,40.0,0,1,1,4,2,1,1,1,+7
Derrick,White,PG,24,35,8,16,50.0,4,4,4,7,57.1,0,2,2,5,2,1,0,1,-4
Derrick,White,PG,9,33,4,11,36.4,0,0,1,5,20.0,1,3,4,6,3,0,2,2,-19
Derrick,White,PG,15,28,5,10,50.0,1,2,4,8,50.0,1,2,3,3,1,1,1,1,+27
Derrick,White,PG,21,35,8,14,57.1,0,0,5,10,50.0,1,5,6,7,2,1,2,1,0
Derrick,White,PG,4,33,2,6,33.3,0,0,0,4,0,0,2,2,6,4,3,3,1,-3
Derrick,White,PG,6,38,3,9,33.3,0,0,0,5,0,0,2,2,4,2,0,1,1,+6
Derrick,White,PG,16,38,6,11,54.5,1,1,3,6,50.0,0,2,2,3,1,0,2,0,+6
Derrick,White,PG,27,28,10,16,62.5,2,2,5,10,50.0,0,5,5,4,2,1,2,0,+44
Derrick,White,PG,28,33,9,14,64.3,5,5,5,10,50.0,0,3,3,5,1,2,2,3,+15
Derrick,White,PG,13,32,5,8,62.5,0,0,3,5,60.0,1,2,3,6,1,2,0,0,+7
Derrick,White,PG,6,30,2,6,33.3,2,2,0,2,0,0,6,6,6,0,2,2,3,+31
Derrick,White,PG,13,32,5,10,50.0,0,0,3,6,50.0,1,6,7,8,2,1,2,2,+21
Derrick,White,PG,14,20,5,6,83.3,0,0,4,5,80.0,0,3,3,8,1,1,0,0,+36
Derrick,White,PG,3,35,1,5,20.0,1,1,0,2,0,2,4,6,7,0,0,2,4,+4
Derrick,White,PG,7,37,3,8,37.5,1,1,0,4,0,1,4,5,6,4,1,1,1,-2
Derrick,White,PG,10,35,5,8,62.5,0,0,0,3,0,2,3,5,9,3,0,2,1,+1
Derrick,White,PG,11,34,5,14,35.7,0,0,1,5,20.0,2,4,6,5,3,2,1,3,+12
Derrick,White,PG,24,35,8,17,47.1,1,1,7,11,63.6,0,6,6,3,3,1,3,3,+15
Derrick,White,PG,13,33,5,13,38.5,0,0,3,9,33.3,1,7,8,5,1,2,0,1,+8
Derrick,White,PG,22,37,8,20,40.0,0,0,6,12,50.0,0,10,10,10,0,2,3,1,+17
Derrick,White,PG,23,37,8,17,47.1,3,3,4,11,36.4,0,5,5,8,5,0,0,2,-7
Derrick,White,PG,19,36,5,14,35.7,8,9,1,7,14.3,2,6,8,11,1,0,1,1,+23
Derrick,White,PG,17,38,6,14,42.9,2,3,3,11,27.3,0,3,3,6,1,1,1,0,+8
Derrick,White,PG,22,41,8,11,72.7,1,1,5,6,83.3,2,5,7,5,3,1,3,0,+3
Derrick,White,PG,15,32,5,9,55.6,2,2,3,7,42.9,1,2,3,3,1,0,0,0,+9
Derrick,White,PG,19,36,7,15,46.7,1,1,4,10,40.0,2,7,9,5,3,0,2,1,+13
Derrick,White,PG,8,31,2,5,40.0,2,2,2,4,50.0,0,1,1,6,4,1,0,1,+13
Derrick,White,PG,15,31,5,13,38.5,2,2,3,10,30.0,0,1,1,9,1,1,2,0,+2
Derrick,White,PG,9,31,3,10,30.0,0,0,3,9,33.3,1,3,4,3,1,2,1,0,-11
Derrick,White,PG,2,29,1,5,20.0,0,0,0,3,0,0,2,2,2,3,1,1,1,-29
Derrick,White,PG,20,33,6,10,60.0,4,4,4,8,50.0,0,3,3,4,1,0,3,1,+24
Derrick,White,PG,13,36,5,8,62.5,1,1,2,4,50.0,0,1,1,4,2,1,1,1,-23
Derrick,White,PG,16,31,7,14,50.0,0,0,2,7,28.6,3,2,5,3,0,0,0,0,+7
Derrick,White,PG,38,41,15,26,57.7,0,0,8,15,53.3,1,3,4,3,3,0,1,3,+10
Derrick,White,PG,25,29,8,13,61.5,4,5,5,10,50.0,0,5,5,2,2,1,1,0,+17
Derrick,White,PG,25,33,9,16,56.3,0,0,7,12,58.3,0,1,1,5,1,0,0,0,+6
Derrick,White,PG,10,30,3,11,27.3,3,4,1,8,12.5,0,4,4,5,3,0,1,1,-27
Derrick,White,PG,12,37,4,13,30.8,1,1,3,8,37.5,0,3,3,3,1,1,1,1,+13
Derrick,White,PG,5,30,1,6,16.7,2,2,1,4,25.0,1,6,7,3,2,1,0,0,+5
