player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
O.G.,Anunoby,SF,14,20,6,7,85.7,0,0,2,2,100.0,0,0,0,3,0,2,0,0,+14
O.G.,Anunoby,SF,7,29,2,5,40.0,3,5,0,2,0,2,0,2,3,3,1,0,0,+9
O.G.,Anunoby,SF,15,23,6,10,60.0,1,1,2,5,40.0,1,3,4,4,2,1,3,1,+11
O.G.,Anunoby,SF,20,34,7,13,53.8,2,2,4,9,44.4,0,6,6,1,2,2,2,3,+6
O.G.,Anunoby,SF,11,28,5,8,62.5,0,1,1,4,25.0,0,3,3,0,2,2,1,0,+28
O.G.,Anunoby,SF,10,30,4,12,33.3,0,0,2,9,22.2,0,3,3,1,0,2,2,1,0
O.G.,Anunoby,SF,16,25,7,7,100.0,1,2,1,1,100.0,0,2,2,3,5,1,2,0,+16
O.G.,Anunoby,SF,16,33,7,12,58.3,0,0,2,4,50.0,1,3,4,1,2,0,3,1,+5
O.G.,Anunoby,SF,24,38,8,16,50.0,1,4,7,13,53.8,2,5,7,4,3,1,1,0,+8
O.G.,Anunoby,SF,26,36,9,17,52.9,5,6,3,8,37.5,1,4,5,2,4,0,2,0,+9
O.G.,Anunoby,SF,8,28,3,13,23.1,0,0,2,8,25.0,1,2,3,2,0,1,0,0,-26
O.G.,Anunoby,SF,9,27,2,11,18.2,4,6,1,6,16.7,1,4,5,3,3,2,1,0,+15
O.G.,Anunoby,SF,11,30,4,8,50.0,0,0,3,5,60.0,0,1,1,4,0,0,4,3,-15
O.G.,Anunoby,SF,13,36,5,12,41.7,2,2,1,4,25.0,2,2,4,4,3,1,2,0,-6
O.G.,Anunoby,SF,26,34,10,14,71.4,1,2,5,7,71.4,1,5,6,3,2,1,2,0,+9
O.G.,Anunoby,SF,11,34,4,12,33.3,1,3,2,5,40.0,5,2,7,1,1,0,1,1,+11
O.G.,Anunoby,SF,10,37,4,12,33.3,0,0,2,6,33.3,2,1,3,2,3,0,2,0,-14
O.G.,Anunoby,SF,13,34,5,10,50.0,0,1,3,5,60.0,0,3,3,1,3,3,0,1,+1
O.G.,Anunoby,SF,9,27,4,13,30.8,0,0,1,6,16.7,1,4,5,3,5,1,3,2,-4
O.G.,Anunoby,SF,23,39,8,13,61.5,2,2,5,10,50.0,1,7,8,6,2,1,2,1,-9
O.G.,Anunoby,SF,11,36,3,12,25.0,5,5,0,6,0,0,3,3,4,3,1,0,0,0
O.G.,Anunoby,SF,29,37,11,20,55.0,2,2,5,11,45.5,1,4,5,2,3,1,2,0,-6
O.G.,Anunoby,SF,22,37,10,13,76.9,0,0,2,5,40.0,2,3,5,3,4,1,2,0,+17
O.G.,Anunoby,SF,7,33,3,8,37.5,0,0,1,4,25.0,0,2,2,4,0,0,2,0,-19
O.G.,Anunoby,SF,5,32,2,10,20.0,1,1,0,5,0,0,2,2,2,3,1,2,0,+3
O.G.,Anunoby,SF,9,40,4,9,44.4,0,0,1,4,25.0,0,1,1,3,2,0,1,0,-5
O.G.,Anunoby,SF,12,35,4,9,44.4,4,4,0,4,0,0,4,4,5,4,1,2,0,-11
O.G.,Anunoby,SF,19,36,8,13,61.5,1,1,2,3,66.7,1,1,2,4,1,2,0,0,-4
O.G.,Anunoby,SF,26,29,11,16,68.8,1,2,3,7,42.9,2,4,6,2,1,0,1,0,+24
O.G.,Anunoby,SF,12,37,5,8,62.5,0,0,2,4,50.0,0,2,2,2,1,2,1,0,+4
O.G.,Anunoby,SF,17,35,7,12,58.3,0,0,3,6,50.0,3,3,6,1,6,2,1,0,+19
O.G.,Anunoby,SF,11,34,5,9,55.6,0,0,1,4,25.0,2,6,8,2,2,2,1,0,+35
O.G.,Anunoby,SF,11,37,3,11,27.3,4,4,1,3,33.3,1,1,2,0,3,1,0,0,+20
O.G.,Anunoby,SF,9,31,4,7,57.1,0,0,1,3,33.3,2,3,5,2,3,1,1,0,+11
O.G.,Anunoby,SF,23,29,9,12,75.0,1,2,4,6,66.7,2,2,4,0,3,1,1,1,+26
O.G.,Anunoby,SF,10,39,4,10,40.0,1,1,1,6,16.7,1,5,6,2,1,0,1,2,+14
O.G.,Anunoby,SF,18,32,7,15,46.7,3,4,1,4,25.0,2,3,5,2,1,1,4,4,+7
O.G.,Anunoby,SF,17,44,5,11,45.5,4,4,3,4,75.0,1,1,2,4,2,0,2,0,+2
O.G.,Anunoby,SF,15,43,5,10,50.0,3,3,2,5,40.0,0,5,5,0,2,4,1,1,+24
