player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Ryan,Arcidiacono,G,0,15,0,4,0,0,0,0,2,0,0,4,4,1,3,0,0,0,-5
Ryan,Arcidiacono,G,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,+1
Ryan,Arcidiacono,G,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Ryan,Arcidiacono,G,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1
Ryan,Arcidiacono,G,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ryan,Arcidiacono,G,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-4
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1
Ryan,Arcidiacono,G,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+10
Ryan,Arcidiacono,G,0,2,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-2
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Arcidiacono,G,0,4,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,+2
Ryan,Arcidiacono,G,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,+1
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Ryan,Arcidiacono,G,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,+3
Ryan,Arcidiacono,G,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,+3
Ryan,Arcidiacono,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
Ryan,Arcidiacono,G,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,+3
Ryan,Arcidiacono,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
