player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jalen,Brunson,PG,10,6,4,5,80.0,1,2,1,1,100.0,0,0,0,1,0,0,0,0,+7
Jalen,Brunson,PG,9,14,1,5,20.0,7,7,0,0,0,0,2,2,4,0,1,0,0,+15
Jalen,Brunson,PG,12,25,3,12,25.0,5,6,1,5,20.0,2,4,6,5,2,0,5,0,0
Jalen,Brunson,PG,15,33,6,21,28.6,0,1,3,8,37.5,1,2,3,6,3,3,2,0,-9
Jalen,Brunson,PG,31,33,11,21,52.4,1,2,8,12,66.7,0,3,3,5,1,0,1,0,+13
Jalen,Brunson,PG,14,31,4,14,28.6,5,6,1,5,20.0,1,3,4,5,2,0,1,0,-9
Jalen,Brunson,PG,19,34,7,16,43.8,4,5,1,3,33.3,0,5,5,2,1,2,5,0,+21
Jalen,Brunson,PG,24,39,8,23,34.8,8,9,0,2,0,1,3,4,4,4,0,1,0,-6
Jalen,Brunson,PG,45,42,17,30,56.7,9,11,2,8,25.0,2,3,5,4,3,1,4,0,+2
Jalen,Brunson,PG,7,35,2,12,16.7,2,2,1,3,33.3,2,1,3,6,1,3,4,0,-1
Jalen,Brunson,PG,25,33,8,19,42.1,4,4,5,8,62.5,0,2,2,6,2,0,0,0,+27
Jalen,Brunson,PG,20,27,7,12,58.3,4,4,2,4,50.0,0,1,1,1,2,1,1,0,+13
Jalen,Brunson,PG,26,39,10,21,47.6,3,5,3,7,42.9,0,3,3,4,0,1,2,0,-20
Jalen,Brunson,PG,24,41,8,19,42.1,2,2,6,10,60.0,0,0,0,8,2,0,3,0,+8
Jalen,Brunson,PG,32,34,10,23,43.5,6,6,6,10,60.0,3,4,7,7,2,0,0,0,+18
Jalen,Brunson,PG,32,39,12,21,57.1,4,4,4,8,50.0,0,4,4,7,2,0,2,0,+15
Jalen,Brunson,PG,25,36,7,15,46.7,8,8,3,6,50.0,0,4,4,6,2,0,1,0,-16
Jalen,Brunson,PG,24,34,10,16,62.5,3,5,1,4,25.0,0,3,3,3,1,0,2,0,-6
Jalen,Brunson,PG,35,38,15,25,60.0,0,2,5,10,50.0,0,6,6,8,5,3,2,1,+5
Jalen,Brunson,PG,12,34,5,9,55.6,0,1,2,5,40.0,1,2,3,7,3,3,2,0,+20
Jalen,Brunson,PG,42,40,13,24,54.2,9,10,7,12,58.3,2,4,6,8,3,1,1,0,+11
Jalen,Brunson,PG,22,37,9,21,42.9,1,1,3,8,37.5,0,5,5,8,2,1,2,0,+15
Jalen,Brunson,PG,24,34,10,22,45.5,4,7,0,5,0,0,3,3,6,1,1,3,0,-14
Jalen,Brunson,PG,23,34,8,17,47.1,7,9,0,5,0,0,1,1,4,3,1,1,0,-21
Jalen,Brunson,PG,21,38,7,12,58.3,4,6,3,5,60.0,0,2,2,9,5,1,7,0,+1
