player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Donte,DiVincenzo,SG,8,23,2,8,25.0,2,2,2,5,40.0,0,3,3,2,2,0,1,0,-11
Donte,DiVincenzo,SG,4,20,2,3,66.7,0,0,0,1,0,0,3,3,3,2,2,1,0,-3
Donte,DiVincenzo,SG,7,24,3,7,42.9,0,0,1,3,33.3,0,2,2,0,2,0,2,0,-23
Donte,DiVincenzo,SG,15,25,3,12,25.0,6,6,3,10,30.0,0,3,3,3,3,1,6,0,-1
Donte,DiVincenzo,SG,0,15,0,4,0,0,0,0,3,0,0,3,3,2,1,0,0,0,+5
Donte,DiVincenzo,SG,16,20,6,10,60.0,1,2,3,5,60.0,1,1,2,1,2,1,2,1,-5
Donte,DiVincenzo,SG,5,20,2,7,28.6,0,0,1,5,20.0,2,2,4,1,3,2,2,0,-8
Donte,DiVincenzo,SG,3,15,1,3,33.3,0,0,1,3,33.3,0,2,2,6,3,1,1,0,+9
Donte,DiVincenzo,SG,16,30,5,10,50.0,3,5,3,7,42.9,0,2,2,0,3,2,3,1,+1
Donte,DiVincenzo,SG,3,18,1,8,12.5,0,0,1,4,25.0,1,3,4,0,0,0,1,0,-10
Donte,DiVincenzo,SG,12,16,4,6,66.7,1,2,3,5,60.0,2,4,6,1,1,1,1,1,+13
Donte,DiVincenzo,SG,3,20,1,6,16.7,0,0,1,3,33.3,1,3,4,2,1,1,0,0,-12
Donte,DiVincenzo,SG,9,23,3,8,37.5,2,3,1,6,16.7,1,0,1,2,2,0,1,1,+16
Donte,DiVincenzo,SG,5,16,2,6,33.3,0,0,1,4,25.0,1,0,1,1,1,0,0,0,-3
Donte,DiVincenzo,SG,6,22,3,8,37.5,0,0,0,2,0,1,3,4,3,1,2,4,0,-8
Donte,DiVincenzo,SG,14,25,5,9,55.6,0,0,4,8,50.0,2,2,4,1,1,0,1,0,+2
Donte,DiVincenzo,SG,25,28,9,12,75.0,0,0,7,10,70.0,0,3,3,3,1,3,0,1,+11
Donte,DiVincenzo,SG,7,26,2,8,25.0,2,2,1,6,16.7,2,1,3,5,3,1,0,0,+3
Donte,DiVincenzo,SG,5,16,1,4,25.0,2,3,1,2,50.0,1,3,4,1,1,1,3,0,+7
Donte,DiVincenzo,SG,6,14,2,6,33.3,0,0,2,3,66.7,0,1,1,0,1,2,0,0,-1
Donte,DiVincenzo,SG,6,19,2,8,25.0,0,0,2,6,33.3,0,2,2,0,0,1,2,0,+3
Donte,DiVincenzo,SG,12,23,4,8,50.0,0,0,4,8,50.0,0,3,3,2,1,0,0,1,0
Donte,DiVincenzo,SG,21,22,7,10,70.0,0,0,7,9,77.8,0,1,1,1,0,0,0,0,0
Donte,DiVincenzo,SG,7,17,2,5,40.0,2,2,1,4,25.0,0,1,1,2,2,0,0,0,-12
Donte,DiVincenzo,SG,6,22,2,6,33.3,0,0,2,5,40.0,0,4,4,2,2,0,1,0,-21
Donte,DiVincenzo,SG,3,19,1,2,50.0,0,0,1,2,50.0,0,4,4,5,3,0,1,1,+1
Donte,DiVincenzo,SG,21,27,6,13,46.2,5,7,4,9,44.4,3,4,7,1,2,4,0,0,+12
Donte,DiVincenzo,SG,5,19,2,3,66.7,0,0,1,2,50.0,0,1,1,1,4,1,0,0,-13
Donte,DiVincenzo,SG,18,22,5,8,62.5,3,3,5,8,62.5,0,1,1,1,3,1,0,0,-22
Donte,DiVincenzo,SG,8,19,3,5,60.0,0,0,2,4,50.0,0,1,1,3,1,0,1,1,-2
Donte,DiVincenzo,SG,23,23,9,15,60.0,0,0,5,10,50.0,2,6,8,1,2,3,2,0,+13
Donte,DiVincenzo,SG,11,24,4,7,57.1,0,0,3,6,50.0,1,1,2,2,3,1,1,0,-2
