player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Miles,McBride,PG,6,19,3,10,30.0,0,0,0,4,0,0,3,3,4,2,0,1,0,0
Miles,McBride,PG,16,11,6,6,100.0,0,0,4,4,100.0,0,1,1,2,1,1,2,0,-3
Miles,McBride,PG,5,23,2,7,28.6,0,2,1,4,25.0,0,0,0,5,0,1,0,0,-25
Miles,McBride,PG,16,33,6,18,33.3,2,2,2,8,25.0,1,1,2,6,3,4,3,0,-8
Miles,McBride,PG,2,5,1,3,33.3,0,0,0,2,0,0,1,1,1,0,1,0,0,+10
Miles,McBride,PG,3,4,1,2,50.0,0,0,1,2,50.0,0,0,0,0,1,0,0,0,-5
Miles,McBride,PG,3,9,1,2,50.0,1,2,0,1,0,0,0,0,0,1,2,0,0,0
Miles,McBride,PG,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-10
Miles,McBride,PG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Miles,McBride,PG,3,3,1,2,50.0,0,0,1,2,50.0,0,1,1,1,0,0,0,0,-7
Miles,McBride,PG,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+1
Miles,McBride,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
Miles,McBride,PG,5,14,2,3,66.7,0,0,1,2,50.0,1,0,1,0,2,1,0,0,+3
Miles,McBride,PG,5,9,2,3,66.7,0,0,1,2,50.0,0,0,0,0,2,0,0,0,-1
Miles,McBride,PG,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles,McBride,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
Miles,McBride,PG,3,2,1,1,100.0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,-4
Miles,McBride,PG,3,10,1,2,50.0,0,0,1,1,100.0,0,0,0,3,1,0,0,0,+5
Miles,McBride,PG,3,1,1,1,100.0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,-1
Miles,McBride,PG,4,11,2,4,50.0,0,0,0,0,0,0,1,1,2,2,2,0,0,-4
Miles,McBride,PG,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4
Miles,McBride,PG,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-3
Miles,McBride,PG,5,18,2,3,66.7,0,0,1,2,50.0,0,0,0,1,3,0,0,0,+7
Miles,McBride,PG,0,7,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-10
Miles,McBride,PG,3,10,1,3,33.3,0,0,1,2,50.0,0,0,0,0,1,0,0,0,-15
Miles,McBride,PG,15,15,4,8,50.0,3,3,4,6,66.7,0,1,1,4,1,0,0,0,+20
Miles,McBride,PG,5,13,2,6,33.3,0,0,1,2,50.0,1,0,1,5,2,1,0,0,-4
Miles,McBride,PG,16,22,6,13,46.2,0,0,4,7,57.1,1,1,2,0,1,1,2,0,-1
Miles,McBride,PG,5,9,2,5,40.0,0,0,1,4,25.0,1,1,2,1,2,0,0,0,-12
Miles,McBride,PG,19,38,7,10,70.0,1,2,4,7,57.1,0,6,6,5,3,1,3,1,+13
Miles,McBride,PG,20,36,8,17,47.1,0,0,4,10,40.0,0,2,2,1,4,2,1,1,+3
Miles,McBride,PG,0,11,0,4,0,0,0,0,3,0,0,1,1,1,1,0,1,0,+3
