player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Alec,Burks,SG,6,17,3,6,50.0,0,0,0,2,0,0,4,4,1,2,2,0,0,-12
Alec,Burks,SG,9,19,3,8,37.5,0,0,3,6,50.0,0,0,0,2,1,0,3,0,-12
Alec,Burks,SG,5,13,1,1,100.0,2,2,1,1,100.0,0,4,4,1,1,0,0,0,-8
Alec,Burks,SG,7,25,2,8,25.0,1,2,2,5,40.0,0,5,5,0,1,0,0,1,+9
Alec,Burks,SG,24,31,5,10,50.0,11,12,3,7,42.9,0,4,4,2,1,1,0,1,+28
Alec,Burks,SG,18,26,6,12,50.0,0,1,6,10,60.0,0,2,2,0,1,0,0,1,+19
Alec,Burks,SG,11,21,4,9,44.4,0,0,3,4,75.0,1,1,2,7,3,0,0,0,-9
Alec,Burks,SG,16,21,3,7,42.9,8,9,2,6,33.3,1,2,3,4,2,0,0,0,+6
Alec,Burks,SG,16,23,4,12,33.3,4,4,4,9,44.4,1,1,2,5,3,1,1,0,-16
Alec,Burks,SG,10,24,4,14,28.6,0,0,2,9,22.2,2,1,3,1,3,1,0,0,-15
Alec,Burks,SG,14,22,3,9,33.3,7,8,1,3,33.3,1,3,4,1,3,0,1,0,-29
Alec,Burks,SG,3,17,1,5,20.0,1,2,0,4,0,0,3,3,2,1,1,1,0,-13
Alec,Burks,SG,6,14,2,6,33.3,0,0,2,3,66.7,0,2,2,1,1,1,2,1,-8
Alec,Burks,SG,8,13,2,8,25.0,4,4,0,5,0,0,0,0,1,1,0,0,0,-12
Alec,Burks,SG,6,10,2,7,28.6,1,1,1,3,33.3,1,0,1,0,1,0,0,0,-8
Alec,Burks,SG,1,11,0,3,0,1,1,0,3,0,0,0,0,1,0,0,0,0,+3
Alec,Burks,SG,3,17,1,6,16.7,0,0,1,5,20.0,0,2,2,2,1,0,1,0,-5
Alec,Burks,SG,14,13,4,7,57.1,4,4,2,3,66.7,1,2,3,0,1,0,1,0,-3
Alec,Burks,SG,14,13,4,6,66.7,4,4,2,3,66.7,0,0,0,0,0,1,1,0,-2
Alec,Burks,SG,3,13,1,7,14.3,0,0,1,3,33.3,1,2,3,0,1,1,0,0,-8
Alec,Burks,SG,4,17,2,8,25.0,0,0,0,4,0,0,2,2,0,1,0,0,0,-17
Alec,Burks,SG,1,4,0,2,0,1,2,0,2,0,0,1,1,0,0,0,0,0,-11
Alec,Burks,SG,6,23,2,11,18.2,2,2,0,2,0,1,1,2,2,3,1,0,0,-5
Alec,Burks,SG,5,9,1,4,25.0,3,3,0,3,0,0,1,1,0,1,0,0,1,-9
Alec,Burks,SG,5,16,2,8,25.0,0,0,1,5,20.0,0,1,1,2,2,1,1,0,-20
Alec,Burks,SG,15,26,4,11,36.4,5,6,2,6,33.3,1,4,5,0,1,0,2,0,-25
Alec,Burks,SG,12,30,4,13,30.8,0,0,4,12,33.3,1,1,2,1,2,2,0,0,-15
Alec,Burks,SG,16,19,4,6,66.7,5,5,3,3,100.0,0,0,0,1,0,0,0,0,+6
Alec,Burks,SG,21,23,6,11,54.5,6,6,3,6,50.0,0,2,2,2,2,1,2,1,-10
Alec,Burks,SG,27,34,9,17,52.9,4,5,5,9,55.6,0,4,4,1,4,0,2,0,-12
Alec,Burks,SG,13,21,5,14,35.7,0,0,3,10,30.0,1,3,4,2,2,0,2,1,+9
Alec,Burks,SG,18,20,6,9,66.7,3,3,3,3,100.0,1,3,4,1,1,0,1,0,-16
Alec,Burks,SG,16,20,5,11,45.5,3,5,3,7,42.9,0,3,3,1,0,1,2,0,-15
Alec,Burks,SG,15,20,5,13,38.5,4,4,1,5,20.0,0,2,2,2,1,0,1,0,-15
Alec,Burks,SG,19,30,7,14,50.0,0,0,5,9,55.6,0,0,0,1,3,0,2,2,-11
Alec,Burks,SG,34,29,11,17,64.7,4,4,8,12,66.7,0,2,2,2,2,0,1,0,+18
Alec,Burks,SG,12,20,3,10,30.0,5,5,1,4,25.0,1,0,1,1,1,2,0,0,-10
Alec,Burks,SG,33,30,9,20,45.0,8,8,7,14,50.0,0,7,7,6,2,1,0,0,+24
Alec,Burks,SG,9,28,3,12,25.0,0,0,3,9,33.3,0,2,2,3,4,0,1,0,0
Alec,Burks,SG,15,26,4,11,36.4,3,4,4,9,44.4,0,0,0,1,1,0,0,0,+5
Alec,Burks,SG,8,18,2,9,22.2,3,4,1,5,20.0,0,4,4,0,1,0,0,0,-11
Alec,Burks,SG,10,26,3,5,60.0,2,2,2,3,66.7,0,6,6,2,1,3,3,0,+18
Alec,Burks,SG,11,30,3,5,60.0,4,4,1,3,33.3,0,4,4,6,2,0,2,1,+2
Alec,Burks,SG,6,21,2,10,20.0,1,1,1,7,14.3,1,1,2,1,0,1,1,1,-13
Alec,Burks,SG,10,20,3,7,42.9,3,3,1,3,33.3,0,3,3,1,0,1,1,0,-2
Alec,Burks,SG,25,28,7,12,58.3,6,6,5,7,71.4,0,7,7,2,3,0,0,0,+12
Alec,Burks,SG,22,22,7,14,50.0,4,4,4,7,57.1,0,2,2,1,1,0,3,0,-4
Alec,Burks,SG,5,17,1,8,12.5,2,2,1,5,20.0,1,0,1,2,1,0,1,0,-3
Alec,Burks,SG,13,30,5,16,31.3,1,2,2,6,33.3,1,2,3,0,3,0,1,0,-28
Alec,Burks,SG,7,13,2,5,40.0,1,3,2,4,50.0,0,1,1,1,0,0,1,0,+1
Alec,Burks,SG,7,19,3,11,27.3,0,0,1,7,14.3,0,3,3,0,1,0,1,0,-13
Alec,Burks,SG,7,14,3,9,33.3,0,1,1,3,33.3,1,0,1,1,1,1,2,0,+8
Alec,Burks,SG,2,16,1,7,14.3,0,0,0,2,0,0,2,2,1,0,0,0,1,-1
Alec,Burks,SG,5,11,2,6,33.3,0,0,1,3,33.3,1,1,2,1,0,0,0,0,+6
Alec,Burks,SG,8,11,2,6,33.3,3,4,1,3,33.3,0,1,1,1,0,0,0,0,-7
Alec,Burks,SG,11,12,5,14,35.7,0,1,1,7,14.3,1,1,2,1,0,1,0,0,-12
Alec,Burks,SG,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2
Alec,Burks,SG,5,12,1,3,33.3,2,2,1,3,33.3,0,1,1,0,0,0,1,0,-7
Alec,Burks,SG,2,12,1,6,16.7,0,0,0,4,0,0,2,2,1,0,0,0,0,-7
Alec,Burks,SG,5,4,2,5,40.0,0,0,1,2,50.0,1,0,1,0,1,0,1,0,-1
Alec,Burks,SG,12,18,4,10,40.0,2,2,2,5,40.0,1,2,3,2,1,0,0,0,+13
Alec,Burks,SG,5,14,1,5,20.0,2,2,1,3,33.3,0,1,1,1,0,0,0,0,-2
Alec,Burks,SG,18,21,5,11,45.5,5,7,3,6,50.0,0,5,5,1,1,2,3,0,+4
Alec,Burks,SG,5,15,2,9,22.2,0,1,1,5,20.0,1,1,2,1,0,0,0,0,0
Alec,Burks,SG,5,12,2,8,25.0,0,0,1,3,33.3,0,2,2,1,0,0,0,0,-9
Alec,Burks,SG,0,3,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,-6
Alec,Burks,SG,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,+9
Alec,Burks,SG,0,8,0,2,0,0,0,0,1,0,0,2,2,0,1,0,1,0,-6
Alec,Burks,SG,5,11,1,4,25.0,2,2,1,2,50.0,0,1,1,4,0,1,1,0,-3
Alec,Burks,SG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec,Burks,SG,14,21,4,6,66.7,4,5,2,4,50.0,0,4,4,1,2,1,0,1,-3
Alec,Burks,SG,20,23,5,11,45.5,8,10,2,6,33.3,2,3,5,2,2,0,0,0,-12
Alec,Burks,SG,18,23,6,11,54.5,1,2,5,8,62.5,0,5,5,0,1,0,0,0,+9
