player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Josh,Hart,SG,3,8,1,2,50.0,0,0,1,1,100.0,0,1,1,1,0,0,1,0,-9
Josh,Hart,SG,8,19,2,3,66.7,2,2,2,3,66.7,0,5,5,3,2,1,4,0,-16
Josh,Hart,SG,7,22,2,4,50.0,1,2,2,4,50.0,1,5,6,0,1,0,1,0,-1
Josh,Hart,SG,4,22,2,4,50.0,0,0,0,1,0,0,3,3,0,3,1,0,0,-2
Josh,Hart,SG,3,21,1,5,20.0,0,0,1,3,33.3,2,8,10,2,2,1,2,0,-10
Josh,Hart,SG,5,28,2,6,33.3,0,0,1,3,33.3,0,7,7,3,2,0,1,0,+2
Josh,Hart,SG,11,29,5,14,35.7,0,0,1,5,20.0,3,5,8,3,1,0,2,0,-5
Josh,Hart,SG,6,36,2,9,22.2,2,2,0,4,0,2,8,10,5,4,3,0,1,+1
Josh,Hart,SG,10,32,4,9,44.4,1,1,1,4,25.0,0,3,3,7,2,2,2,0,+13
Josh,Hart,SG,3,24,1,3,33.3,0,0,1,2,50.0,0,5,5,0,0,1,0,0,-3
Josh,Hart,SG,6,27,3,6,50.0,0,0,0,2,0,1,3,4,2,1,0,0,0,+16
Josh,Hart,SG,16,43,6,12,50.0,1,2,3,6,50.0,2,7,9,3,4,1,2,0,-10
Josh,Hart,SG,9,33,4,10,40.0,0,0,1,4,25.0,2,6,8,5,4,0,2,1,+7
Josh,Hart,SG,9,32,4,7,57.1,0,0,1,2,50.0,1,4,5,2,1,0,1,2,+27
Josh,Hart,SG,7,29,3,5,60.0,0,0,1,2,50.0,0,6,6,4,0,3,0,0,+7
Josh,Hart,SG,4,24,2,6,33.3,0,0,0,2,0,1,1,2,1,0,2,0,0,-5
Josh,Hart,SG,10,26,4,7,57.1,1,1,1,3,33.3,1,7,8,4,1,1,1,0,+5
Josh,Hart,SG,4,24,1,3,33.3,2,2,0,2,0,0,3,3,2,0,0,0,0,+1
Josh,Hart,SG,17,30,7,10,70.0,1,1,2,3,66.7,1,5,6,2,2,1,1,1,+25
Josh,Hart,SG,7,32,2,3,66.7,2,4,1,2,50.0,0,7,7,2,2,2,1,0,+6
Josh,Hart,SG,17,31,7,11,63.6,0,0,3,4,75.0,3,5,8,2,3,0,3,1,+11
Josh,Hart,SG,11,26,5,8,62.5,0,0,1,1,100.0,1,3,4,1,3,3,0,0,-14
Josh,Hart,SG,6,27,2,4,50.0,0,0,2,3,66.7,1,5,6,7,4,0,1,0,+5
Josh,Hart,SG,16,31,6,8,75.0,1,2,3,3,100.0,3,4,7,8,4,1,1,0,+8
Josh,Hart,SG,0,29,0,5,0,0,0,0,4,0,0,2,2,2,2,1,0,0,-7
Josh,Hart,SG,6,29,3,8,37.5,0,0,0,3,0,2,0,2,2,0,0,0,0,+34
Josh,Hart,SG,0,8,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,0,+1
Josh,Hart,SG,6,22,2,6,33.3,2,2,0,3,0,0,5,5,2,1,0,4,1,0
Josh,Hart,SG,10,31,2,5,40.0,4,4,2,3,66.7,2,11,13,3,2,1,2,0,+6
Josh,Hart,SG,2,26,1,6,16.7,0,0,0,3,0,0,2,2,3,3,1,1,0,-19
Josh,Hart,SG,10,31,5,7,71.4,0,0,0,2,0,0,9,9,4,1,2,2,0,+7
Josh,Hart,SG,4,34,1,4,25.0,2,2,0,2,0,2,5,7,6,1,0,1,0,-4
Josh,Hart,SG,5,31,2,4,50.0,0,0,1,2,50.0,0,4,4,0,2,0,2,0,+6
Josh,Hart,SG,10,38,4,9,44.4,1,2,1,2,50.0,3,7,10,1,3,1,0,0,-19
Josh,Hart,SG,8,29,3,7,42.9,0,0,2,3,66.7,2,9,11,2,2,0,1,0,-12
Josh,Hart,SG,3,25,1,5,20.0,0,0,1,2,50.0,1,4,5,3,2,0,2,0,+2
Josh,Hart,SG,10,30,4,7,57.1,2,2,0,2,0,3,12,15,6,2,0,2,1,+46
Josh,Hart,SG,9,32,3,8,37.5,2,2,1,4,25.0,2,2,4,1,1,0,2,0,+24
Josh,Hart,SG,2,26,1,4,25.0,0,0,0,2,0,1,6,7,4,3,0,3,0,+12
Josh,Hart,SG,4,23,1,4,25.0,2,3,0,3,0,3,1,4,2,3,0,1,0,-11
Josh,Hart,SG,8,29,3,7,42.9,0,0,2,4,50.0,0,7,7,3,2,2,2,0,+7
Josh,Hart,SG,4,24,2,7,28.6,0,0,0,2,0,1,5,6,1,2,0,1,0,-13
Josh,Hart,SG,10,30,5,11,45.5,0,0,0,2,0,5,9,14,1,2,0,0,0,+10
Josh,Hart,SG,10,26,3,5,60.0,2,2,2,3,66.7,1,8,9,1,1,0,3,1,+20
