player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Isaiah,Hartenstein,C,9,20,3,5,60.0,3,4,0,2,0,0,3,3,3,2,0,4,1,+1
Isaiah,Hartenstein,C,7,16,3,5,60.0,0,0,1,1,100.0,1,3,4,1,1,1,2,0,-11
Isaiah,Hartenstein,C,9,18,4,8,50.0,1,2,0,1,0,4,1,5,2,2,1,1,0,-18
Isaiah,Hartenstein,C,13,23,6,11,54.5,0,0,1,3,33.3,4,4,8,2,3,1,2,0,-11
Isaiah,Hartenstein,C,7,26,3,4,75.0,1,2,0,0,0,5,3,8,2,5,0,1,0,-5
Isaiah,Hartenstein,C,8,10,3,4,75.0,2,4,0,0,0,1,1,2,1,4,1,1,1,-5
Isaiah,Hartenstein,C,4,15,1,1,100.0,2,4,0,0,0,1,2,3,1,0,0,0,0,-8
Isaiah,Hartenstein,C,13,23,5,10,50.0,3,3,0,2,0,4,3,7,1,3,2,1,1,+12
Isaiah,Hartenstein,C,0,16,0,2,0,0,0,0,0,0,2,4,6,2,2,3,2,0,-5
Isaiah,Hartenstein,C,4,18,2,3,66.7,0,0,0,0,0,1,2,3,0,3,0,2,0,-1
Isaiah,Hartenstein,C,6,13,3,5,60.0,0,0,0,0,0,2,1,3,2,2,2,0,0,+10
Isaiah,Hartenstein,C,13,15,6,9,66.7,1,1,0,0,0,3,0,3,0,4,2,0,0,-7
Isaiah,Hartenstein,C,6,18,2,3,66.7,2,4,0,0,0,2,4,6,1,6,1,2,2,+24
Isaiah,Hartenstein,C,3,15,1,2,50.0,0,0,1,1,100.0,3,0,3,1,0,1,0,0,-2
Isaiah,Hartenstein,C,11,17,5,9,55.6,1,1,0,0,0,3,1,4,0,2,1,0,0,-5
Isaiah,Hartenstein,C,3,20,1,3,33.3,1,2,0,0,0,3,5,8,2,4,1,1,1,+4
Isaiah,Hartenstein,C,4,15,1,2,50.0,2,2,0,0,0,2,5,7,0,1,0,1,0,+5
Isaiah,Hartenstein,C,2,14,1,3,33.3,0,0,0,0,0,2,2,4,0,3,0,1,1,-6
Isaiah,Hartenstein,C,2,28,1,3,33.3,0,0,0,0,0,1,4,5,1,3,2,1,1,+18
Isaiah,Hartenstein,C,7,14,2,3,66.7,3,4,0,0,0,4,1,5,1,3,0,0,1,-2
Isaiah,Hartenstein,C,4,14,2,3,66.7,0,0,0,0,0,3,3,6,2,2,0,0,0,+7
Isaiah,Hartenstein,C,2,17,1,1,100.0,0,0,0,0,0,2,1,3,0,3,2,2,0,-2
Isaiah,Hartenstein,C,4,16,1,3,33.3,2,3,0,0,0,2,6,8,0,1,0,0,1,+7
Isaiah,Hartenstein,C,4,18,2,3,66.7,0,0,0,0,0,4,3,7,5,2,0,1,2,-12
Isaiah,Hartenstein,C,5,29,2,4,50.0,1,2,0,0,0,4,12,16,4,4,0,1,2,+9
Isaiah,Hartenstein,C,11,27,4,7,57.1,3,4,0,0,0,5,3,8,2,4,2,2,1,0
Isaiah,Hartenstein,C,7,29,3,4,75.0,1,1,0,0,0,3,3,6,0,3,0,0,2,+5
Isaiah,Hartenstein,C,7,31,2,2,100.0,3,4,0,0,0,1,7,8,2,3,1,2,3,+29
Isaiah,Hartenstein,C,12,30,5,7,71.4,2,4,0,0,0,6,4,10,2,3,0,3,3,-9
Isaiah,Hartenstein,C,9,39,3,4,75.0,3,6,0,0,0,7,10,17,2,3,2,1,2,+15
Isaiah,Hartenstein,C,2,30,1,3,33.3,0,0,0,0,0,5,5,10,3,1,0,0,2,+21
Isaiah,Hartenstein,C,12,33,4,5,80.0,4,4,0,0,0,7,6,13,1,4,1,1,0,-14
Isaiah,Hartenstein,C,11,33,5,7,71.4,1,2,0,0,0,4,4,8,4,4,0,0,1,+3
Isaiah,Hartenstein,C,4,37,2,6,33.3,0,0,0,0,0,3,6,9,2,3,0,2,1,+4
Isaiah,Hartenstein,C,7,25,2,4,50.0,3,3,0,0,0,1,2,3,3,4,3,2,0,-18
Isaiah,Hartenstein,C,2,33,1,3,33.3,0,0,0,0,0,2,7,9,6,3,4,1,0,-4
Isaiah,Hartenstein,C,7,39,2,3,66.7,3,4,0,0,0,4,5,9,3,3,3,1,3,+10
Isaiah,Hartenstein,C,10,37,4,6,66.7,2,3,0,0,0,7,13,20,1,2,0,2,5,+32
Isaiah,Hartenstein,C,17,35,8,9,88.9,1,2,0,0,0,1,5,6,5,4,2,1,2,+26
Isaiah,Hartenstein,C,8,39,4,8,50.0,0,0,0,0,0,2,17,19,2,3,4,5,2,+26
Isaiah,Hartenstein,C,5,28,1,1,100.0,3,4,0,0,0,5,9,14,3,3,3,2,1,+31
Isaiah,Hartenstein,C,8,32,2,3,66.7,4,4,0,0,0,5,10,15,3,4,1,0,0,-7
Isaiah,Hartenstein,C,12,42,5,6,83.3,2,4,0,0,0,7,13,20,2,1,2,3,4,+7
Isaiah,Hartenstein,C,7,29,3,6,50.0,1,1,0,0,0,5,7,12,3,5,0,2,0,0
Isaiah,Hartenstein,C,7,41,3,5,60.0,1,1,0,0,0,2,9,11,5,4,2,2,2,+13
Isaiah,Hartenstein,C,6,39,3,5,60.0,0,0,0,0,0,5,12,17,3,2,2,2,1,+8
Isaiah,Hartenstein,C,1,23,0,1,0,1,2,0,0,0,0,4,4,1,2,0,0,0,+13
Isaiah,Hartenstein,C,4,16,2,2,100.0,0,0,0,0,0,2,4,6,1,2,0,0,0,+1
Isaiah,Hartenstein,C,10,16,4,4,100.0,2,3,0,0,0,1,3,4,1,2,3,1,0,+10
Isaiah,Hartenstein,C,14,29,6,10,60.0,2,2,0,0,0,7,5,12,2,4,2,1,1,+1
Isaiah,Hartenstein,C,12,36,6,8,75.0,0,1,0,0,0,8,11,19,6,2,0,1,1,+9
Isaiah,Hartenstein,C,6,33,2,9,22.2,2,2,0,0,0,6,9,15,2,5,0,0,2,-3
Isaiah,Hartenstein,C,17,35,7,8,87.5,3,4,0,0,0,4,4,8,3,3,2,3,3,+12
Isaiah,Hartenstein,C,10,15,4,5,80.0,2,2,0,0,0,2,2,4,2,2,2,2,0,-10
Isaiah,Hartenstein,C,0,11,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,-2
Isaiah,Hartenstein,C,6,24,1,1,100.0,4,4,0,0,0,5,2,7,4,4,0,2,1,-8
Isaiah,Hartenstein,C,6,27,2,5,40.0,2,2,0,0,0,4,4,8,4,2,0,1,1,+5
Isaiah,Hartenstein,C,6,20,2,5,40.0,2,2,0,0,0,0,6,6,2,2,1,2,0,-18
Isaiah,Hartenstein,C,8,23,4,7,57.1,0,0,0,0,0,2,5,7,8,1,0,1,1,-3
Isaiah,Hartenstein,C,5,20,2,6,33.3,1,2,0,0,0,3,3,6,2,2,1,0,2,-15
Isaiah,Hartenstein,C,5,20,2,3,66.7,1,1,0,0,0,2,4,6,2,3,1,2,3,+14
Isaiah,Hartenstein,C,3,24,1,1,100.0,1,2,0,0,0,5,5,10,4,3,0,0,0,+10
Isaiah,Hartenstein,C,6,20,3,3,100.0,0,0,0,0,0,3,2,5,2,3,0,0,0,+17
Isaiah,Hartenstein,C,9,24,4,6,66.7,1,1,0,0,0,1,8,9,2,2,0,0,0,+17
Isaiah,Hartenstein,C,7,28,3,3,100.0,1,1,0,0,0,4,10,14,3,3,1,1,4,+5
Isaiah,Hartenstein,C,13,25,6,7,85.7,1,2,0,0,0,5,5,10,4,2,2,0,1,+26
Isaiah,Hartenstein,C,20,26,8,10,80.0,4,5,0,0,0,3,5,8,3,6,1,3,2,-15
Isaiah,Hartenstein,C,17,26,8,10,80.0,1,2,0,0,0,4,5,9,2,1,4,3,2,+13
Isaiah,Hartenstein,C,6,24,3,6,50.0,0,0,0,0,0,2,8,10,5,3,1,0,3,+27
Isaiah,Hartenstein,C,15,19,5,6,83.3,5,5,0,0,0,1,3,4,1,2,1,1,1,+15
Isaiah,Hartenstein,C,7,28,3,7,42.9,1,2,0,0,0,1,3,4,4,6,1,3,0,+10
Isaiah,Hartenstein,C,17,29,6,8,75.0,5,7,0,0,0,6,6,12,5,2,1,1,0,+7
Isaiah,Hartenstein,C,4,18,2,2,100.0,0,0,0,0,0,0,1,1,2,1,3,0,1,+5
Isaiah,Hartenstein,C,7,29,3,4,75.0,1,2,0,0,0,1,6,7,9,4,2,0,0,+19
Isaiah,Hartenstein,C,10,30,3,5,60.0,4,6,0,0,0,3,4,7,2,3,3,4,1,+2
Isaiah,Hartenstein,C,18,29,8,9,88.9,2,3,0,0,0,3,7,10,1,2,1,2,0,+7
Isaiah,Hartenstein,C,11,28,5,5,100.0,1,2,0,0,0,2,2,4,6,2,1,2,3,+9
Isaiah,Hartenstein,C,11,33,5,11,45.5,1,3,0,0,0,7,6,13,6,4,1,4,2,0
Isaiah,Hartenstein,C,8,31,3,4,75.0,2,4,0,0,0,5,8,13,4,2,2,2,2,+12
Isaiah,Hartenstein,C,6,18,1,4,25.0,4,4,0,0,0,5,2,7,3,3,0,0,2,-13
Isaiah,Hartenstein,C,14,30,7,8,87.5,0,0,0,0,0,4,4,8,4,4,0,2,3,+1
Isaiah,Hartenstein,C,14,26,7,12,58.3,0,0,0,1,0,2,2,4,1,5,0,0,0,-24
Isaiah,Hartenstein,C,8,28,4,6,66.7,0,2,0,0,0,3,1,4,2,5,1,3,0,-4
Isaiah,Hartenstein,C,6,27,1,2,50.0,4,4,0,0,0,2,5,7,4,3,1,2,1,-9
Isaiah,Hartenstein,C,14,30,7,13,53.8,0,0,0,0,0,5,4,9,2,5,0,3,2,-2
Isaiah,Hartenstein,C,13,36,5,9,55.6,2,2,1,1,100.0,2,4,6,4,4,0,1,0,+9
Isaiah,Hartenstein,C,14,39,5,7,71.4,4,4,0,0,0,4,8,12,8,1,0,1,1,+21
Isaiah,Hartenstein,C,6,39,3,4,75.0,0,0,0,0,0,4,4,8,5,2,0,1,1,-2
Isaiah,Hartenstein,C,4,22,2,3,66.7,0,0,0,0,0,0,5,5,0,1,0,2,0,-28
Isaiah,Hartenstein,C,7,31,2,3,66.7,3,4,0,0,0,12,5,17,5,2,0,1,1,+17
