player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Luka,Doncic,PG,18,19,5,12,41.7,6,7,2,7,28.6,1,4,5,6,0,2,4,0,-1
Luka,Doncic,PG,33,34,13,25,52.0,4,7,3,11,27.3,1,12,13,10,1,2,4,0,+4
Luka,Doncic,PG,49,36,16,25,64.0,8,10,9,14,64.3,1,9,10,7,1,0,0,0,+9
Luka,Doncic,PG,35,40,11,22,50.0,7,10,6,12,50.0,0,12,12,12,4,1,6,1,+6
Luka,Doncic,PG,18,40,5,16,31.3,7,9,1,8,12.5,0,7,7,10,2,2,6,1,+11
Luka,Doncic,PG,34,38,11,24,45.8,6,7,6,11,54.5,3,7,10,8,2,0,9,1,-4
Luka,Doncic,PG,23,36,8,19,42.1,6,7,1,9,11.1,1,11,12,9,3,0,4,1,+3
Luka,Doncic,PG,29,35,9,17,52.9,6,6,5,10,50.0,0,3,3,6,2,2,6,0,+7
Luka,Doncic,PG,31,38,11,26,42.3,7,10,2,10,20.0,0,7,7,8,3,4,4,1,-7
Luka,Doncic,PG,44,32,17,21,81.0,4,4,6,9,66.7,0,6,6,6,1,1,1,0,+32
Luka,Doncic,PG,30,28,11,18,61.1,4,5,4,9,44.4,0,4,4,9,0,1,2,0,+14
Luka,Doncic,PG,16,26,5,16,31.3,3,5,3,5,60.0,1,1,2,2,0,0,8,0,-26
Luka,Doncic,PG,26,32,7,18,38.9,8,12,4,11,36.4,1,6,7,10,2,0,3,0,+12
Luka,Doncic,PG,35,35,15,26,57.7,1,4,4,9,44.4,1,8,9,9,1,0,3,0,-17
Luka,Doncic,PG,25,32,7,19,36.8,8,10,3,7,42.9,1,9,10,7,0,3,2,0,-14
Luka,Doncic,PG,30,39,10,26,38.5,7,8,3,12,25.0,0,12,12,8,2,2,0,0,-11
Luka,Doncic,PG,30,38,12,27,44.4,5,5,1,8,12.5,0,3,3,4,4,2,4,2,-14
Luka,Doncic,PG,41,38,15,29,51.7,8,9,3,10,30.0,0,9,9,9,3,2,0,0,+12
Luka,Doncic,PG,36,46,11,22,50.0,9,14,5,13,38.5,2,13,15,18,2,2,7,2,-7
Luka,Doncic,PG,40,32,14,25,56.0,6,8,6,12,50.0,2,8,10,11,2,1,4,0,+34
Luka,Doncic,PG,32,41,11,28,39.3,7,8,3,14,21.4,0,6,6,10,1,1,5,1,+13
Luka,Doncic,PG,35,44,9,21,42.9,12,13,5,10,50.0,0,8,8,6,3,2,3,2,+3
Luka,Doncic,PG,33,43,12,28,42.9,6,6,3,10,30.0,0,6,6,17,0,1,4,0,+10
