player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Daniel,Gafford,C,6,24,3,7,42.9,0,0,0,0,0,2,3,5,0,4,0,1,3,-6
Daniel,Gafford,C,5,18,2,5,40.0,1,2,0,0,0,1,2,3,1,2,1,0,1,+4
Daniel,Gafford,C,6,18,2,2,100.0,2,2,0,0,0,1,3,4,1,2,0,0,1,-9
Daniel,Gafford,C,6,21,2,2,100.0,2,4,0,0,0,1,4,5,0,5,0,0,2,-23
Daniel,Gafford,C,10,28,3,4,75.0,4,6,0,0,0,4,7,11,0,2,0,1,2,+8
Daniel,Gafford,C,4,20,1,1,100.0,2,3,0,0,0,1,4,5,1,5,0,2,2,-10
Daniel,Gafford,C,12,30,6,7,85.7,0,0,0,0,0,3,4,7,3,5,0,4,5,-4
Daniel,Gafford,C,5,13,2,3,66.7,1,2,0,0,0,3,2,5,1,4,0,0,2,+3
Daniel,Gafford,C,10,30,4,7,57.1,2,3,0,0,0,4,5,9,1,4,2,2,4,-16
Daniel,Gafford,C,5,16,2,3,66.7,1,2,0,0,0,2,3,5,0,1,2,1,0,-4
Daniel,Gafford,C,14,26,6,7,85.7,2,2,0,0,0,1,8,9,3,2,1,2,3,+7
Daniel,Gafford,C,10,24,5,6,83.3,0,1,0,0,0,2,7,9,2,1,0,0,0,-16
Daniel,Gafford,C,10,28,4,8,50.0,2,2,0,0,0,4,3,7,0,4,1,1,0,-15
Daniel,Gafford,C,14,29,7,13,53.8,0,0,0,0,0,1,4,5,2,3,0,0,2,-1
Daniel,Gafford,C,15,34,7,9,77.8,1,2,0,0,0,5,11,16,1,4,1,2,0,+15
Daniel,Gafford,C,8,29,3,6,50.0,2,3,0,0,0,5,4,9,4,5,1,1,2,-6
Daniel,Gafford,C,12,18,6,8,75.0,0,0,0,0,0,1,3,4,0,2,0,0,2,-18
Daniel,Gafford,C,10,27,4,5,80.0,2,2,0,0,0,3,6,9,2,2,2,2,4,+10
Daniel,Gafford,C,4,26,2,2,100.0,0,0,0,0,0,1,2,3,4,3,1,0,2,-6
Daniel,Gafford,C,18,27,7,10,70.0,4,7,0,0,0,4,7,11,3,5,0,1,3,-1
Daniel,Gafford,C,18,23,8,10,80.0,2,2,0,0,0,2,4,6,4,6,1,0,2,-8
Daniel,Gafford,C,3,22,1,5,20.0,1,2,0,0,0,2,0,2,2,1,0,1,2,-23
Daniel,Gafford,C,13,24,5,6,83.3,3,4,0,0,0,2,5,7,0,3,1,1,2,-4
Daniel,Gafford,C,9,28,3,6,50.0,3,4,0,0,0,5,5,10,4,4,0,2,3,+19
Daniel,Gafford,C,26,35,10,13,76.9,6,7,0,0,0,7,10,17,3,4,0,1,2,+4
Daniel,Gafford,C,8,25,3,5,60.0,2,2,0,0,0,2,3,5,1,4,0,0,3,-27
Daniel,Gafford,C,16,31,7,10,70.0,2,3,0,0,0,3,5,8,0,6,4,1,6,+9
Daniel,Gafford,C,15,23,5,7,71.4,5,6,0,0,0,1,3,4,1,1,1,1,0,-3
Daniel,Gafford,C,13,32,6,7,85.7,1,2,0,0,0,6,7,13,3,4,2,3,3,-1
Daniel,Gafford,C,12,30,5,9,55.6,2,2,0,0,0,2,6,8,1,2,4,0,1,-21
Daniel,Gafford,C,4,17,1,4,25.0,2,2,0,0,0,1,4,5,0,4,1,1,0,-15
Daniel,Gafford,C,10,28,3,4,75.0,4,4,0,0,0,2,7,9,0,2,2,0,4,+13
Daniel,Gafford,C,12,20,6,8,75.0,0,1,0,0,0,3,2,5,1,2,0,0,1,-13
Daniel,Gafford,C,4,24,1,2,50.0,2,2,0,0,0,0,4,4,1,2,0,0,1,-18
Daniel,Gafford,C,6,31,2,2,100.0,2,4,0,0,0,4,8,12,3,5,1,1,1,-8
Daniel,Gafford,C,9,26,3,7,42.9,3,3,0,0,0,4,5,9,1,2,0,0,1,+1
Daniel,Gafford,C,12,37,4,6,66.7,4,6,0,0,0,1,7,8,2,4,2,3,6,-3
Daniel,Gafford,C,10,30,4,4,100.0,2,2,0,0,0,0,6,6,0,0,1,1,2,+26
Daniel,Gafford,C,8,26,4,6,66.7,0,0,0,0,0,3,3,6,3,3,1,2,2,-12
Daniel,Gafford,C,15,30,7,10,70.0,1,2,0,0,0,3,4,7,2,5,2,2,1,-8
Daniel,Gafford,C,10,21,5,5,100.0,0,0,0,0,0,1,3,4,1,6,1,2,2,-13
Daniel,Gafford,C,13,31,6,7,85.7,1,2,0,0,0,2,7,9,1,2,1,0,4,0
Daniel,Gafford,C,15,28,7,10,70.0,1,2,0,0,0,6,7,13,1,2,3,0,0,+5
Daniel,Gafford,C,16,28,6,8,75.0,4,8,0,0,0,8,5,13,2,2,2,1,1,+3
Daniel,Gafford,C,6,22,2,5,40.0,2,2,0,0,0,4,4,8,2,3,1,1,5,-16
Daniel,Gafford,C,11,32,4,8,50.0,3,4,0,0,0,4,10,14,2,4,1,1,1,+14
