player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Josh,Green,SG,6,22,2,6,33.3,0,1,2,3,66.7,1,2,3,0,1,1,2,0,+1
Josh,Green,SG,22,24,8,12,66.7,2,2,4,5,80.0,0,3,3,0,0,2,3,1,+18
Josh,Green,SG,11,30,3,5,60.0,3,4,2,2,100.0,2,0,2,1,4,1,0,0,+4
Josh,Green,SG,7,28,2,7,28.6,3,6,0,3,0,1,2,3,2,2,3,3,0,+8
Josh,Green,SG,12,34,5,10,50.0,0,0,2,4,50.0,1,1,2,3,0,1,1,0,+4
Josh,Green,SG,3,26,1,5,20.0,0,0,1,5,20.0,0,3,3,1,2,0,2,0,+14
Josh,Green,SG,13,27,5,8,62.5,0,0,3,5,60.0,1,4,5,2,2,2,0,0,+4
Josh,Green,SG,7,24,3,9,33.3,0,2,1,4,25.0,0,2,2,3,1,1,1,1,+2
Josh,Green,SG,6,20,2,3,66.7,1,2,1,2,50.0,0,2,2,1,3,1,1,0,+10
Josh,Green,SG,3,18,1,3,33.3,0,0,1,2,50.0,0,1,1,2,2,0,1,1,-21
Josh,Green,SG,3,18,1,4,25.0,0,0,1,4,25.0,0,0,0,3,2,0,0,0,-15
Josh,Green,SG,13,28,5,11,45.5,0,0,3,7,42.9,0,2,2,3,1,2,1,0,+11
Josh,Green,SG,2,28,1,3,33.3,0,0,0,2,0,1,4,5,4,1,0,2,0,-14
Josh,Green,SG,0,37,0,4,0,0,0,0,4,0,1,3,4,1,1,1,0,0,+12
Josh,Green,SG,3,20,1,3,33.3,0,0,1,3,33.3,1,3,4,3,1,0,0,0,-27
Josh,Green,SG,11,26,4,8,50.0,1,2,2,5,40.0,1,3,4,5,2,2,1,0,-1
Josh,Green,SG,15,22,6,10,60.0,0,0,3,6,50.0,0,3,3,1,1,0,0,0,+10
Josh,Green,SG,0,9,0,2,0,0,0,0,1,0,0,1,1,1,2,0,0,0,-15
Josh,Green,SG,5,30,2,4,50.0,0,0,1,1,100.0,1,6,7,2,4,0,1,1,+12
Josh,Green,SG,10,31,4,10,40.0,1,1,1,3,33.3,0,2,2,5,0,3,3,0,-6
Josh,Green,SG,2,21,1,4,25.0,0,0,0,2,0,0,3,3,5,1,2,1,0,+12
Josh,Green,SG,2,15,1,3,33.3,0,0,0,1,0,0,0,0,5,0,0,1,0,-7
Josh,Green,SG,18,25,6,8,75.0,3,3,3,4,75.0,0,0,0,2,0,0,1,0,+2
Josh,Green,SG,0,21,0,4,0,0,0,0,1,0,0,2,2,1,4,0,2,0,-21
Josh,Green,SG,8,27,3,5,60.0,2,2,0,2,0,0,4,4,1,4,2,0,0,+22
Josh,Green,SG,14,25,7,8,87.5,0,0,0,0,0,2,3,5,5,0,1,1,0,+28
Josh,Green,SG,4,31,2,3,66.7,0,0,0,1,0,0,5,5,1,2,0,0,1,-2
Josh,Green,SG,0,23,0,3,0,0,0,0,1,0,1,2,3,0,1,0,0,1,+1
Josh,Green,SG,18,35,8,12,66.7,0,2,2,4,50.0,0,2,2,3,2,1,0,0,-15
Josh,Green,SG,9,32,3,8,37.5,2,2,1,3,33.3,2,4,6,4,2,0,3,0,-3
Josh,Green,SG,13,30,4,8,50.0,2,6,3,5,60.0,1,3,4,3,5,0,1,0,+14
Josh,Green,SG,14,38,5,11,45.5,0,0,4,7,57.1,1,6,7,1,4,0,3,0,-9
Josh,Green,SG,8,31,3,8,37.5,0,0,2,6,33.3,3,1,4,3,1,0,1,0,-13
Josh,Green,SG,21,35,8,12,66.7,1,2,4,5,80.0,1,1,2,4,5,0,3,0,+9
Josh,Green,SG,11,33,4,9,44.4,1,2,2,6,33.3,0,3,3,5,2,0,2,0,-14
Josh,Green,SG,2,33,1,6,16.7,0,0,0,3,0,0,2,2,1,5,1,2,0,-18
Josh,Green,SG,18,29,8,13,61.5,0,0,2,3,66.7,0,2,2,1,4,0,1,0,-19
Josh,Green,SG,20,38,7,12,58.3,2,2,4,8,50.0,0,9,9,3,0,1,3,0,-29
Josh,Green,SG,20,32,6,9,66.7,4,4,4,7,57.1,1,5,6,4,0,2,1,0,+15
Josh,Green,SG,12,33,5,11,45.5,0,0,2,5,40.0,1,1,2,3,1,0,1,0,-5
Josh,Green,SG,15,32,5,9,55.6,3,3,2,5,40.0,1,5,6,3,2,1,0,1,+5
