player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Tim,Hardaway Jr.,SF,8,18,3,8,37.5,0,0,2,6,33.3,0,1,1,0,0,1,1,0,0
Tim,Hardaway Jr.,SF,12,21,4,13,30.8,2,3,2,9,22.2,0,4,4,4,0,1,2,0,+7
Tim,Hardaway Jr.,SF,17,28,5,14,35.7,4,4,3,10,30.0,2,4,6,4,0,1,1,0,+9
Tim,Hardaway Jr.,SF,19,30,6,17,35.3,4,4,3,7,42.9,1,3,4,1,2,0,1,0,+13
Tim,Hardaway Jr.,SF,21,29,8,14,57.1,2,2,3,7,42.9,0,5,5,0,1,0,1,0,+6
Tim,Hardaway Jr.,SF,24,27,8,15,53.3,1,1,7,13,53.8,0,3,3,2,0,1,2,0,-9
Tim,Hardaway Jr.,SF,9,27,3,8,37.5,2,2,1,5,20.0,0,3,3,2,3,1,2,0,-10
Tim,Hardaway Jr.,SF,16,32,5,17,29.4,2,2,4,12,33.3,0,2,2,1,0,0,0,0,+1
Tim,Hardaway Jr.,SF,21,31,8,16,50.0,1,1,4,11,36.4,0,6,6,0,0,0,0,0,+3
Tim,Hardaway Jr.,SF,17,26,6,11,54.5,0,0,5,9,55.6,1,1,2,1,0,0,3,0,-19
Tim,Hardaway Jr.,SF,17,27,6,13,46.2,3,3,2,8,25.0,0,3,3,3,0,0,0,0,+20
Tim,Hardaway Jr.,SF,15,28,4,14,28.6,4,4,3,10,30.0,0,9,9,2,1,0,0,0,+14
Tim,Hardaway Jr.,SF,17,21,5,11,45.5,4,4,3,9,33.3,0,0,0,1,2,0,1,0,-26
Tim,Hardaway Jr.,SF,31,27,11,20,55.0,2,5,7,11,63.6,0,4,4,3,1,0,1,0,+17
Tim,Hardaway Jr.,SF,17,26,6,14,42.9,1,1,4,10,40.0,0,2,2,2,0,0,1,0,0
Tim,Hardaway Jr.,SF,14,27,5,11,45.5,2,2,2,4,50.0,0,2,2,2,3,0,0,0,-9
Tim,Hardaway Jr.,SF,7,30,2,10,20.0,1,2,2,8,25.0,1,1,2,3,0,1,0,0,+11
Tim,Hardaway Jr.,SF,12,29,5,14,35.7,0,0,2,9,22.2,0,3,3,0,2,0,1,0,-9
Tim,Hardaway Jr.,SF,11,22,4,12,33.3,0,0,3,8,37.5,1,0,1,0,0,0,0,0,+1
Tim,Hardaway Jr.,SF,17,22,5,14,35.7,3,4,4,12,33.3,1,3,4,2,1,0,0,0,+8
Tim,Hardaway Jr.,SF,20,37,7,12,58.3,2,2,4,9,44.4,0,4,4,0,4,0,1,0,+15
Tim,Hardaway Jr.,SF,32,37,10,21,47.6,7,8,5,10,50.0,1,2,3,3,2,1,0,0,-6
Tim,Hardaway Jr.,SF,10,32,4,15,26.7,2,3,0,7,0,0,4,4,0,2,0,2,0,-30
Tim,Hardaway Jr.,SF,25,36,8,21,38.1,4,4,5,15,33.3,0,6,6,1,0,1,1,0,+12
Tim,Hardaway Jr.,SF,8,22,3,12,25.0,0,0,2,9,22.2,0,2,2,1,2,0,2,0,-7
Tim,Hardaway Jr.,SF,21,37,8,21,38.1,2,2,3,11,27.3,1,2,3,3,2,3,1,0,+1
Tim,Hardaway Jr.,SF,16,26,6,20,30.0,2,2,2,8,25.0,1,2,3,1,0,0,1,0,-27
Tim,Hardaway Jr.,SF,23,30,9,20,45.0,0,0,5,11,45.5,0,6,6,3,1,0,0,0,+28
Tim,Hardaway Jr.,SF,18,38,6,14,42.9,3,3,3,9,33.3,0,7,7,2,4,1,1,0,+10
Tim,Hardaway Jr.,SF,14,30,4,13,30.8,5,6,1,5,20.0,0,4,4,1,2,0,0,0,-5
Tim,Hardaway Jr.,SF,32,32,11,19,57.9,5,7,5,11,45.5,0,3,3,3,2,2,1,0,+5
Tim,Hardaway Jr.,SF,16,29,5,12,41.7,4,5,2,8,25.0,0,6,6,5,2,0,0,0,+9
Tim,Hardaway Jr.,SF,6,23,3,9,33.3,0,0,0,6,0,0,2,2,0,1,0,1,0,-16
Tim,Hardaway Jr.,SF,14,23,5,10,50.0,2,2,2,5,40.0,0,3,3,0,2,0,0,0,+8
Tim,Hardaway Jr.,SF,19,27,8,14,57.1,0,1,3,7,42.9,0,2,2,4,3,1,2,1,+21
Tim,Hardaway Jr.,SF,12,32,4,13,30.8,2,2,2,8,25.0,0,4,4,1,2,0,0,0,+14
Tim,Hardaway Jr.,SF,9,30,3,6,50.0,1,1,2,3,66.7,0,3,3,2,3,0,1,0,-26
Tim,Hardaway Jr.,SF,32,39,10,20,50.0,6,7,6,13,46.2,2,4,6,4,2,2,2,0,+12
Tim,Hardaway Jr.,SF,24,39,8,17,47.1,5,6,3,8,37.5,0,4,4,0,3,0,0,0,-6
Tim,Hardaway Jr.,SF,41,41,11,23,47.8,10,10,9,15,60.0,0,2,2,2,0,1,4,0,-1
Tim,Hardaway Jr.,SF,12,28,5,17,29.4,2,2,0,7,0,2,2,4,1,2,1,4,0,-10
Tim,Hardaway Jr.,SF,20,32,8,13,61.5,0,0,4,7,57.1,0,2,2,1,2,0,0,0,-3
Tim,Hardaway Jr.,SF,17,34,6,16,37.5,1,2,4,10,40.0,0,5,5,2,1,2,1,0,-21
Tim,Hardaway Jr.,SF,13,32,3,12,25.0,4,4,3,9,33.3,1,3,4,3,2,0,2,0,-5
Tim,Hardaway Jr.,SF,19,36,8,17,47.1,0,0,3,9,33.3,0,4,4,1,2,0,1,0,-2
Tim,Hardaway Jr.,SF,36,37,11,17,64.7,9,11,5,9,55.6,0,8,8,1,2,1,1,0,+13
Tim,Hardaway Jr.,SF,14,32,5,16,31.3,2,2,2,10,20.0,0,3,3,2,0,2,1,0,-32
Tim,Hardaway Jr.,SF,18,38,6,15,40.0,2,2,4,8,50.0,1,1,2,2,4,2,1,0,-6
Tim,Hardaway Jr.,SF,0,22,0,8,0,0,0,0,5,0,0,2,2,0,2,0,0,1,0
Tim,Hardaway Jr.,SF,14,25,4,10,40.0,3,3,3,7,42.9,1,6,7,3,1,0,0,0,-1
Tim,Hardaway Jr.,SF,19,30,7,14,50.0,0,0,5,10,50.0,0,2,2,2,1,0,0,0,+11
Tim,Hardaway Jr.,SF,10,25,4,9,44.4,0,0,2,6,33.3,0,1,1,1,2,1,1,0,+28
Tim,Hardaway Jr.,SF,5,22,2,13,15.4,0,0,1,7,14.3,0,3,3,1,3,1,1,1,-4
Tim,Hardaway Jr.,SF,8,26,3,7,42.9,0,0,2,4,50.0,0,2,2,5,2,1,3,0,+11
Tim,Hardaway Jr.,SF,12,30,5,13,38.5,1,2,1,9,11.1,0,4,4,0,2,2,2,0,-4
Tim,Hardaway Jr.,SF,11,23,4,12,33.3,0,0,3,6,50.0,0,3,3,1,0,0,4,1,-14
Tim,Hardaway Jr.,SF,4,26,2,5,40.0,0,0,0,1,0,1,2,3,1,1,0,0,1,+10
Tim,Hardaway Jr.,SF,16,25,5,13,38.5,2,2,4,10,40.0,0,4,4,4,3,0,0,0,+14
Tim,Hardaway Jr.,SF,10,20,3,6,50.0,2,2,2,4,50.0,0,5,5,0,1,0,1,0,-21
Tim,Hardaway Jr.,SF,2,15,1,8,12.5,0,0,0,6,0,0,0,0,1,0,0,0,0,-6
Tim,Hardaway Jr.,SF,6,13,2,8,25.0,0,0,2,5,40.0,1,0,1,1,1,0,0,0,-5
Tim,Hardaway Jr.,SF,11,21,3,11,27.3,3,4,2,6,33.3,0,1,1,1,1,0,0,0,+7
Tim,Hardaway Jr.,SF,17,18,6,13,46.2,1,4,4,8,50.0,0,1,1,2,0,0,0,0,+13
Tim,Hardaway Jr.,SF,4,18,1,4,25.0,2,2,0,3,0,0,1,1,4,0,2,0,0,-3
Tim,Hardaway Jr.,SF,5,14,2,7,28.6,0,0,1,5,20.0,0,0,0,2,0,0,1,0,+6
Tim,Hardaway Jr.,SF,23,31,8,13,61.5,2,2,5,9,55.6,1,8,9,3,2,1,2,0,+13
Tim,Hardaway Jr.,SF,1,15,0,3,0,1,2,0,2,0,0,3,3,1,1,0,1,0,+2
Tim,Hardaway Jr.,SF,5,17,2,5,40.0,0,0,1,2,50.0,0,1,1,1,0,2,0,0,+6
Tim,Hardaway Jr.,SF,0,17,0,4,0,0,0,0,3,0,0,1,1,0,0,0,1,0,-5
Tim,Hardaway Jr.,SF,13,29,5,14,35.7,0,0,3,9,33.3,0,2,2,4,2,3,0,0,+8
Tim,Hardaway Jr.,SF,22,26,8,14,57.1,2,3,4,6,66.7,1,2,3,6,2,1,0,1,+19
Tim,Hardaway Jr.,SF,5,20,1,7,14.3,2,2,1,4,25.0,0,2,2,1,0,0,0,0,-3
Tim,Hardaway Jr.,SF,9,24,3,8,37.5,0,0,3,6,50.0,0,5,5,0,0,0,1,0,+7
Tim,Hardaway Jr.,SF,7,26,3,6,50.0,0,0,1,4,25.0,0,3,3,3,0,0,0,0,-4
Tim,Hardaway Jr.,SF,8,21,3,9,33.3,0,0,2,7,28.6,0,2,2,3,2,1,1,0,0
Tim,Hardaway Jr.,SF,13,30,4,13,30.8,4,4,1,7,14.3,0,3,3,3,3,0,2,0,-9
Tim,Hardaway Jr.,SF,5,18,2,6,33.3,0,0,1,4,25.0,0,1,1,0,2,0,0,0,-5
Tim,Hardaway Jr.,SF,15,23,6,10,60.0,0,0,3,7,42.9,0,4,4,1,0,1,1,0,+1
Tim,Hardaway Jr.,SF,5,18,2,8,25.0,0,0,1,6,16.7,1,1,2,1,0,0,1,0,+16
Tim,Hardaway Jr.,SF,8,16,3,6,50.0,1,2,1,3,33.3,0,2,2,2,0,0,1,0,-9
Tim,Hardaway Jr.,SF,3,20,1,9,11.1,0,0,1,6,16.7,0,1,1,3,2,2,0,0,-32
Tim,Hardaway Jr.,SF,6,16,2,5,40.0,1,2,1,2,50.0,0,3,3,0,1,0,0,0,-10
Tim,Hardaway Jr.,SF,0,6,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,+3
Tim,Hardaway Jr.,SF,2,17,1,5,20.0,0,0,0,4,0,0,2,2,0,0,0,0,0,-13
Tim,Hardaway Jr.,SF,17,19,6,10,60.0,3,4,2,4,50.0,0,2,2,1,1,0,0,0,+15
Tim,Hardaway Jr.,SF,8,16,3,9,33.3,0,0,2,5,40.0,0,2,2,1,0,1,0,0,-7
