player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Kyrie,Irving,PG,17,27,6,15,40.0,1,1,4,10,40.0,0,8,8,11,0,2,0,1,+12
Kyrie,Irving,PG,22,36,10,24,41.7,1,1,1,8,12.5,0,2,2,6,3,1,2,0,+1
Kyrie,Irving,PG,17,34,6,17,35.3,4,4,1,4,25.0,1,6,7,6,2,0,0,0,-7
Kyrie,Irving,PG,22,35,9,15,60.0,3,4,1,5,20.0,0,1,1,7,1,4,3,2,-12
Kyrie,Irving,PG,18,34,6,14,42.9,4,4,2,6,33.3,0,3,3,10,3,1,2,1,+8
Kyrie,Irving,PG,21,37,8,20,40.0,3,5,2,6,33.3,1,5,6,10,2,3,3,0,+18
Kyrie,Irving,PG,22,36,8,19,42.1,3,3,3,7,42.9,0,4,4,5,2,0,1,0,+4
Kyrie,Irving,PG,27,28,8,19,42.1,6,6,5,9,55.6,3,3,6,3,1,2,2,0,+12
Kyrie,Irving,PG,35,29,13,20,65.0,2,2,7,10,70.0,1,5,6,7,1,0,1,1,+9
Kyrie,Irving,PG,17,26,6,13,46.2,2,4,3,7,42.9,1,1,2,6,1,0,1,0,-14
Kyrie,Irving,PG,39,34,16,29,55.2,4,4,3,10,30.0,1,3,4,6,4,1,2,0,+13
Kyrie,Irving,PG,23,33,8,17,47.1,5,5,2,6,33.3,0,2,2,1,2,0,1,0,-19
Kyrie,Irving,PG,28,35,11,22,50.0,2,2,4,8,50.0,1,5,6,2,0,2,2,0,+14
Kyrie,Irving,PG,26,32,11,22,50.0,1,1,3,7,42.9,0,6,6,3,3,1,1,0,+1
Kyrie,Irving,PG,27,36,8,22,36.4,9,9,2,7,28.6,1,1,2,5,1,1,0,1,-9
Kyrie,Irving,PG,10,36,3,15,20.0,4,5,0,5,0,0,5,5,5,2,0,1,0,-6
Kyrie,Irving,PG,26,27,11,16,68.8,0,0,4,7,57.1,0,3,3,4,2,3,1,0,+26
Kyrie,Irving,PG,11,13,4,6,66.7,3,3,0,0,0,0,2,2,2,1,1,0,0,-10
Kyrie,Irving,PG,14,32,6,14,42.9,0,1,2,3,66.7,1,8,9,4,3,0,1,1,-15
Kyrie,Irving,PG,29,29,10,19,52.6,5,6,4,8,50.0,1,8,9,5,0,2,1,0,+20
Kyrie,Irving,PG,24,29,10,18,55.6,1,1,3,7,42.9,0,9,9,5,0,2,1,2,+27
Kyrie,Irving,PG,35,39,14,27,51.9,1,1,6,8,75.0,5,3,8,5,2,3,3,2,+6
Kyrie,Irving,PG,33,40,11,25,44.0,9,10,2,7,28.6,4,4,8,4,3,4,3,1,-2
