player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Derrick,Jones Jr.,SF,3,10,1,3,33.3,1,1,0,1,0,0,1,1,0,0,1,0,1,-2
Derrick,Jones Jr.,SF,8,15,3,4,75.0,0,0,2,2,100.0,0,1,1,1,1,0,0,0,+14
Derrick,Jones Jr.,SF,1,12,0,3,0,1,2,0,2,0,0,1,1,0,0,0,1,0,-1
Derrick,Jones Jr.,SF,4,14,2,5,40.0,0,0,0,2,0,0,1,1,1,1,0,1,0,+1
Derrick,Jones Jr.,SF,22,27,7,10,70.0,4,6,4,6,66.7,0,4,4,0,0,0,1,0,+12
Derrick,Jones Jr.,SF,17,31,7,13,53.8,0,0,3,9,33.3,1,4,5,1,2,0,0,0,+11
Derrick,Jones Jr.,SF,7,17,3,5,60.0,0,0,1,3,33.3,1,0,1,1,0,2,0,0,-16
Derrick,Jones Jr.,SF,0,17,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,+3
Derrick,Jones Jr.,SF,5,28,2,5,40.0,0,0,1,3,33.3,1,3,4,1,3,0,1,2,+2
Derrick,Jones Jr.,SF,15,29,6,8,75.0,0,0,3,5,60.0,1,4,5,1,3,0,3,3,+11
Derrick,Jones Jr.,SF,11,29,4,10,40.0,2,2,1,4,25.0,4,6,10,3,1,3,0,0,+36
Derrick,Jones Jr.,SF,7,22,2,6,33.3,1,2,2,6,33.3,0,1,1,2,0,0,1,0,+8
Derrick,Jones Jr.,SF,7,18,2,4,50.0,2,2,1,3,33.3,2,1,3,2,1,0,1,1,-10
Derrick,Jones Jr.,SF,20,26,8,11,72.7,2,3,2,5,40.0,1,6,7,1,4,1,2,2,+5
Derrick,Jones Jr.,SF,0,19,0,7,0,0,0,0,2,0,2,6,8,1,1,0,2,0,0
Derrick,Jones Jr.,SF,6,19,2,4,50.0,1,1,1,2,50.0,0,2,2,0,0,0,1,0,-21
Derrick,Jones Jr.,SF,6,19,2,4,50.0,0,0,2,4,50.0,1,1,2,0,4,0,0,2,-10
Derrick,Jones Jr.,SF,4,20,1,5,20.0,1,2,1,3,33.3,0,1,1,1,1,1,0,1,-26
Derrick,Jones Jr.,SF,15,34,5,7,71.4,3,3,2,3,66.7,3,3,6,1,4,1,0,0,+11
Derrick,Jones Jr.,SF,16,31,6,14,42.9,0,0,4,7,57.1,3,1,4,1,1,1,1,0,-23
Derrick,Jones Jr.,SF,24,33,8,15,53.3,2,2,6,12,50.0,1,3,4,1,3,1,3,1,-1
Derrick,Jones Jr.,SF,12,25,4,5,80.0,3,5,1,2,50.0,1,3,4,1,3,1,0,2,+28
Derrick,Jones Jr.,SF,14,39,6,12,50.0,1,2,1,7,14.3,4,4,8,1,2,2,1,2,+21
Derrick,Jones Jr.,SF,5,6,2,4,50.0,1,1,0,2,0,0,2,2,0,0,0,0,3,+6
Derrick,Jones Jr.,SF,3,30,1,8,12.5,0,0,1,6,16.7,0,4,4,0,3,2,0,0,-25
Derrick,Jones Jr.,SF,18,33,6,11,54.5,4,5,2,6,33.3,1,0,1,4,1,2,1,0,-3
Derrick,Jones Jr.,SF,6,24,3,9,33.3,0,0,0,5,0,0,1,1,1,0,2,1,0,-11
Derrick,Jones Jr.,SF,19,39,6,11,54.5,5,5,2,4,50.0,3,0,3,2,2,1,0,2,+1
Derrick,Jones Jr.,SF,3,22,1,4,25.0,1,2,0,1,0,2,2,4,1,3,0,1,0,-21
Derrick,Jones Jr.,SF,11,24,4,7,57.1,0,0,3,5,60.0,2,2,4,1,2,0,0,0,+5
Derrick,Jones Jr.,SF,23,35,9,18,50.0,2,4,3,8,37.5,2,1,3,1,3,1,0,0,+15
Derrick,Jones Jr.,SF,12,36,5,13,38.5,2,2,0,4,0,2,3,5,1,3,1,2,3,-8
Derrick,Jones Jr.,SF,15,30,3,9,33.3,8,8,1,3,33.3,3,6,9,0,5,3,1,1,+3
Derrick,Jones Jr.,SF,7,24,3,7,42.9,1,2,0,3,0,2,3,5,1,1,2,1,1,-5
Derrick,Jones Jr.,SF,6,24,2,4,50.0,1,2,1,3,33.3,1,2,3,0,1,1,2,1,-18
Derrick,Jones Jr.,SF,5,23,2,3,66.7,1,2,0,0,0,0,0,0,1,2,2,1,2,+23
Derrick,Jones Jr.,SF,12,20,5,6,83.3,0,0,2,3,66.7,0,3,3,0,4,3,3,0,+18
Derrick,Jones Jr.,SF,12,35,5,12,41.7,1,2,1,6,16.7,5,5,10,1,2,1,1,3,+2
Derrick,Jones Jr.,SF,11,36,5,9,55.6,1,1,0,1,0,0,4,4,2,1,0,0,1,-10
Derrick,Jones Jr.,SF,9,35,4,10,40.0,0,2,1,5,20.0,1,3,4,1,2,0,1,1,-6
Derrick,Jones Jr.,SF,24,28,8,10,80.0,5,5,3,5,60.0,0,4,4,1,4,0,1,0,-20
Derrick,Jones Jr.,SF,8,27,3,3,100.0,0,0,2,2,100.0,1,0,1,0,2,0,0,1,-25
Derrick,Jones Jr.,SF,5,25,2,7,28.6,0,0,1,3,33.3,0,2,2,3,1,0,1,0,-6
Derrick,Jones Jr.,SF,6,24,3,8,37.5,0,1,0,3,0,1,1,2,1,3,0,3,0,-35
Derrick,Jones Jr.,SF,2,18,1,1,100.0,0,0,0,0,0,0,1,1,1,3,0,1,0,-2
Derrick,Jones Jr.,SF,8,35,3,6,50.0,2,3,0,0,0,1,3,4,1,1,2,1,0,-12
Derrick,Jones Jr.,SF,5,15,2,7,28.6,1,2,0,4,0,0,2,2,1,1,0,0,0,+4
Derrick,Jones Jr.,SF,2,22,1,3,33.3,0,0,0,0,0,1,6,7,1,0,1,0,0,+8
Derrick,Jones Jr.,SF,18,30,5,7,71.4,7,7,1,3,33.3,1,4,5,3,1,0,0,0,+15
Derrick,Jones Jr.,SF,8,23,3,4,75.0,1,2,1,2,50.0,0,4,4,1,3,1,3,0,+23
Derrick,Jones Jr.,SF,2,12,1,2,50.0,0,0,0,0,0,1,1,2,0,1,1,1,0,-6
Derrick,Jones Jr.,SF,0,19,0,2,0,0,0,0,1,0,1,2,3,0,0,0,1,0,+7
Derrick,Jones Jr.,SF,4,18,1,3,33.3,1,2,1,2,50.0,1,1,2,1,0,0,0,1,+8
Derrick,Jones Jr.,SF,0,15,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,-5
Derrick,Jones Jr.,SF,3,9,1,3,33.3,1,2,0,1,0,0,0,0,0,0,0,1,0,-5
Derrick,Jones Jr.,SF,5,15,2,5,40.0,0,0,1,4,25.0,0,6,6,1,1,0,0,0,+16
Derrick,Jones Jr.,SF,1,7,0,1,0,1,2,0,0,0,0,0,0,1,0,1,1,0,-10
Derrick,Jones Jr.,SF,21,26,7,9,77.8,2,4,5,5,100.0,3,4,7,0,1,0,0,1,+1
Derrick,Jones Jr.,SF,2,12,1,1,100.0,0,0,0,0,0,0,0,0,1,1,0,1,1,-9
Derrick,Jones Jr.,SF,1,12,0,2,0,1,2,0,1,0,1,1,2,1,1,0,1,0,-6
Derrick,Jones Jr.,SF,12,18,5,7,71.4,2,2,0,2,0,0,1,1,1,2,4,0,1,+16
Derrick,Jones Jr.,SF,8,16,3,7,42.9,0,0,2,5,40.0,0,0,0,2,1,0,0,0,+19
Derrick,Jones Jr.,SF,7,19,3,4,75.0,1,2,0,1,0,2,1,3,0,0,0,2,0,+3
Derrick,Jones Jr.,SF,10,32,4,6,66.7,0,0,2,2,100.0,1,0,1,0,4,1,1,0,-17
Derrick,Jones Jr.,SF,9,24,4,11,36.4,1,2,0,3,0,6,2,8,1,1,0,0,0,+20
Derrick,Jones Jr.,SF,4,15,1,2,50.0,2,2,0,1,0,0,1,1,0,1,0,1,0,-2
Derrick,Jones Jr.,SF,12,24,4,4,100.0,4,6,0,0,0,0,4,4,2,1,0,0,1,+21
Derrick,Jones Jr.,SF,6,18,2,3,66.7,2,3,0,1,0,0,1,1,0,1,1,0,0,-5
Derrick,Jones Jr.,SF,8,21,2,5,40.0,2,2,2,4,50.0,0,3,3,3,0,1,0,1,+25
Derrick,Jones Jr.,SF,7,22,3,7,42.9,0,1,1,3,33.3,0,1,1,1,1,0,1,0,+4
Derrick,Jones Jr.,SF,2,21,1,6,16.7,0,0,0,1,0,1,4,5,1,1,1,2,0,+4
Derrick,Jones Jr.,SF,0,18,0,4,0,0,0,0,1,0,1,2,3,1,1,0,1,2,-15
Derrick,Jones Jr.,SF,14,29,4,8,50.0,5,6,1,3,33.3,2,3,5,0,0,1,1,1,+13
Derrick,Jones Jr.,SF,9,36,3,11,27.3,1,2,2,7,28.6,2,1,3,1,2,0,1,3,+7
Derrick,Jones Jr.,SF,10,26,3,4,75.0,2,2,2,3,66.7,0,2,2,0,5,1,1,0,-7
Derrick,Jones Jr.,SF,9,24,4,8,50.0,0,0,1,5,20.0,2,1,3,3,2,0,0,1,+22
Derrick,Jones Jr.,SF,12,26,5,12,41.7,1,2,1,5,20.0,2,0,2,0,3,2,0,2,-1
Derrick,Jones Jr.,SF,3,14,1,2,50.0,1,2,0,0,0,0,1,1,3,1,0,2,0,0
Derrick,Jones Jr.,SF,0,18,0,4,0,0,0,0,1,0,1,0,1,0,2,0,0,2,-14
Derrick,Jones Jr.,SF,10,32,4,6,66.7,2,4,0,1,0,2,5,7,0,4,0,2,1,0
Derrick,Jones Jr.,SF,11,27,4,8,50.0,2,2,1,3,33.3,2,1,3,0,1,0,0,1,+12
Derrick,Jones Jr.,SF,14,33,6,9,66.7,0,1,2,3,66.7,4,3,7,1,4,1,0,1,+7
Derrick,Jones Jr.,SF,12,30,5,7,71.4,0,1,2,4,50.0,0,3,3,1,5,0,2,3,+20
Derrick,Jones Jr.,SF,6,36,3,5,60.0,0,0,0,1,0,2,3,5,2,3,0,1,1,+9
Derrick,Jones Jr.,SF,7,30,3,5,60.0,0,0,1,3,33.3,1,1,2,2,4,0,1,2,-15
Derrick,Jones Jr.,SF,9,28,3,12,25.0,2,2,1,5,20.0,3,2,5,2,4,0,1,0,-2
Derrick,Jones Jr.,SF,3,36,1,10,10.0,1,1,0,3,0,2,2,4,1,2,2,2,0,-14
