player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Dereck II,Lively,C,2,23,1,2,50.0,0,0,0,0,0,2,2,4,0,3,1,3,3,-14
Dereck II,Lively,C,14,24,6,7,85.7,2,2,0,0,0,1,4,5,2,2,0,0,1,+9
Dereck II,Lively,C,16,31,7,8,87.5,2,3,0,0,0,5,5,10,1,4,1,1,1,+20
Dereck II,Lively,C,9,17,4,4,100.0,1,2,0,0,0,1,1,2,0,0,0,1,1,+1
Dereck II,Lively,C,2,14,1,2,50.0,0,0,0,0,0,1,5,6,0,5,0,0,1,-2
Dereck II,Lively,C,7,33,3,5,60.0,1,4,0,0,0,7,6,13,6,3,2,1,1,+15
Dereck II,Lively,C,4,25,2,3,66.7,0,0,0,1,0,1,3,4,0,2,1,0,1,-10
Dereck II,Lively,C,15,32,7,9,77.8,1,2,0,0,0,3,11,14,1,4,0,2,1,+1
Dereck II,Lively,C,10,16,4,5,80.0,2,2,0,0,0,2,3,5,0,5,1,2,1,+1
Dereck II,Lively,C,6,26,3,8,37.5,0,0,0,0,0,2,2,4,1,6,0,1,1,+15
Dereck II,Lively,C,10,26,4,5,80.0,2,4,0,0,0,1,1,2,0,5,1,1,2,+13
Dereck II,Lively,C,4,21,1,2,50.0,2,2,0,1,0,3,6,9,2,2,0,0,0,-8
Dereck II,Lively,C,17,24,7,8,87.5,3,3,0,0,0,4,5,9,2,2,1,1,2,+16
Dereck II,Lively,C,6,24,3,4,75.0,0,0,0,0,0,3,7,10,2,5,0,3,1,-1
Dereck II,Lively,C,6,29,3,6,50.0,0,0,0,0,0,5,4,9,0,3,1,1,2,-16
Dereck II,Lively,C,2,19,1,3,33.3,0,0,0,0,0,4,6,10,3,0,0,1,0,+1
Dereck II,Lively,C,8,28,4,4,100.0,0,0,0,0,0,2,3,5,2,5,0,0,2,-2
