player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
P.J.,Washington,PF,10,26,4,12,33.3,1,1,1,6,16.7,1,4,5,1,2,1,3,0,+11
P.J.,Washington,PF,11,27,4,13,30.8,3,5,0,4,0,1,9,10,1,2,1,2,2,+7
P.J.,Washington,PF,31,24,13,18,72.2,0,0,5,8,62.5,2,1,3,2,2,1,1,1,+9
P.J.,Washington,PF,2,25,1,6,16.7,0,0,0,3,0,0,4,4,1,1,0,4,1,-17
P.J.,Washington,PF,25,32,12,18,66.7,0,0,1,6,16.7,1,4,5,2,4,0,1,0,+5
P.J.,Washington,PF,13,29,6,13,46.2,0,1,1,5,20.0,0,3,3,3,6,2,2,1,-12
P.J.,Washington,PF,15,35,7,14,50.0,0,1,1,3,33.3,3,9,12,2,4,0,1,0,-14
P.J.,Washington,PF,23,35,8,13,61.5,2,2,5,6,83.3,1,2,3,0,2,0,1,0,0
P.J.,Washington,PF,15,33,6,13,46.2,2,2,1,1,100.0,1,2,3,4,0,1,1,2,-13
P.J.,Washington,PF,20,34,8,15,53.3,3,4,1,4,25.0,0,4,4,1,3,0,0,0,+8
P.J.,Washington,PF,14,36,4,11,36.4,6,7,0,5,0,1,6,7,1,2,0,2,2,-8
P.J.,Washington,PF,11,38,5,15,33.3,1,2,0,6,0,3,7,10,4,0,1,2,0,-1
P.J.,Washington,PF,4,22,1,8,12.5,1,2,1,5,20.0,1,1,2,3,4,0,2,1,-30
P.J.,Washington,PF,32,36,12,23,52.2,2,2,6,11,54.5,2,4,6,1,1,0,1,0,-2
P.J.,Washington,PF,3,26,1,3,33.3,0,0,1,3,33.3,0,3,3,1,4,0,0,0,-2
P.J.,Washington,PF,3,33,1,10,10.0,0,0,1,7,14.3,0,6,6,2,4,1,6,2,-25
P.J.,Washington,PF,15,28,6,13,46.2,0,0,3,9,33.3,0,1,1,1,1,2,0,1,-21
P.J.,Washington,PF,13,28,3,10,30.0,4,6,3,9,33.3,0,4,4,2,5,0,1,3,-5
P.J.,Washington,PF,11,27,4,10,40.0,0,2,3,8,37.5,3,5,8,3,3,1,3,1,-13
P.J.,Washington,PF,10,33,2,11,18.2,4,4,2,9,22.2,2,6,8,5,2,3,2,2,+4
P.J.,Washington,PF,18,31,7,14,50.0,0,0,4,7,57.1,3,4,7,5,1,0,1,1,+8
P.J.,Washington,PF,9,29,4,13,30.8,0,0,1,7,14.3,1,5,6,4,5,1,1,2,-5
P.J.,Washington,PF,11,25,4,7,57.1,0,0,3,5,60.0,0,1,1,2,4,2,2,0,-7
P.J.,Washington,PF,15,32,5,11,45.5,3,4,2,6,33.3,1,7,8,3,3,0,0,1,+6
P.J.,Washington,PF,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,+1
