player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Christian,Braun,G,5,19,2,5,40.0,1,2,0,1,0,1,2,3,2,1,0,1,1,+5
Christian,Braun,G,5,19,2,6,33.3,0,2,1,4,25.0,1,3,4,2,1,1,1,0,0
Christian,Braun,G,13,21,4,9,44.4,5,5,0,2,0,1,6,7,7,2,1,0,1,+25
Christian,Braun,G,9,30,4,8,50.0,0,0,1,2,50.0,1,7,8,2,0,1,1,0,+6
Christian,Braun,G,8,20,4,8,50.0,0,0,0,1,0,3,6,9,2,3,0,1,1,-3
Christian,Braun,G,9,15,3,4,75.0,3,3,0,0,0,2,3,5,0,3,1,1,0,-5
Christian,Braun,G,10,18,4,8,50.0,1,2,1,3,33.3,1,4,5,4,1,1,0,0,-3
Christian,Braun,G,6,18,1,5,20.0,4,6,0,1,0,0,0,0,1,1,0,0,0,+4
Christian,Braun,G,4,16,1,3,33.3,1,2,1,2,50.0,0,2,2,2,1,0,0,0,-8
Christian,Braun,G,0,14,0,4,0,0,0,0,2,0,1,0,1,0,1,0,1,0,-11
Christian,Braun,G,10,20,5,6,83.3,0,0,0,0,0,0,1,1,1,3,0,0,0,-3
Christian,Braun,G,25,30,11,19,57.9,0,1,3,5,60.0,2,7,9,3,1,0,0,0,+3
Christian,Braun,G,13,25,6,11,54.5,0,0,1,1,100.0,0,2,2,0,1,0,0,0,+3
Christian,Braun,G,15,32,5,10,50.0,3,4,2,2,100.0,1,5,6,2,2,1,2,1,+21
Christian,Braun,G,13,21,4,7,57.1,3,3,2,2,100.0,1,6,7,1,4,0,3,0,-13
Christian,Braun,G,7,26,3,9,33.3,1,1,0,0,0,0,3,3,0,1,0,0,0,-2
Christian,Braun,G,5,25,1,5,20.0,3,4,0,1,0,1,3,4,4,1,0,0,0,0
Christian,Braun,G,0,12,0,4,0,0,0,0,1,0,1,1,2,2,4,0,0,0,-19
Christian,Braun,G,11,19,4,7,57.1,2,2,1,2,50.0,1,2,3,1,2,0,2,0,0
Christian,Braun,G,8,22,4,6,66.7,0,0,0,0,0,1,3,4,4,0,1,1,0,+5
Christian,Braun,G,11,17,5,10,50.0,0,0,1,2,50.0,0,3,3,2,1,1,1,1,0
Christian,Braun,G,8,16,4,6,66.7,0,0,0,1,0,1,4,5,0,3,0,0,1,-17
Christian,Braun,G,2,14,1,4,25.0,0,0,0,2,0,0,1,1,1,3,2,1,0,-9
Christian,Braun,G,6,11,2,3,66.7,2,2,0,0,0,0,2,2,1,2,0,0,0,-2
Christian,Braun,G,13,23,4,6,66.7,3,4,2,4,50.0,1,1,2,2,1,0,3,1,-14
Christian,Braun,G,10,24,4,10,40.0,1,1,1,3,33.3,1,3,4,2,0,0,1,2,+7
Christian,Braun,G,14,25,5,10,50.0,2,2,2,5,40.0,0,2,2,1,3,1,1,0,+1
Christian,Braun,G,6,20,2,4,50.0,2,3,0,1,0,0,4,4,1,4,0,1,0,+19
Christian,Braun,G,3,17,1,4,25.0,0,0,1,2,50.0,1,2,3,2,0,1,0,0,-6
Christian,Braun,G,2,16,0,3,0,2,2,0,1,0,0,0,0,1,1,0,0,0,-12
Christian,Braun,G,11,18,3,7,42.9,3,3,2,3,66.7,2,5,7,1,1,0,1,2,-8
Christian,Braun,G,6,11,2,4,50.0,0,2,2,2,100.0,0,0,0,1,3,0,1,0,-22
Christian,Braun,G,11,23,4,8,50.0,2,4,1,2,50.0,0,3,3,4,0,1,0,0,+13
Christian,Braun,G,4,17,0,3,0,4,4,0,2,0,0,3,3,1,1,0,1,0,-6
Christian,Braun,G,9,24,3,6,50.0,2,3,1,3,33.3,1,3,4,2,1,1,1,2,-11
Christian,Braun,G,2,18,1,4,25.0,0,0,0,2,0,0,0,0,1,3,1,1,1,-5
Christian,Braun,G,6,16,2,4,50.0,1,2,1,3,33.3,1,3,4,0,0,0,1,0,-2
Christian,Braun,G,7,21,3,5,60.0,1,2,0,1,0,0,3,3,1,0,0,0,1,+6
Christian,Braun,G,5,17,2,4,50.0,0,0,1,2,50.0,0,3,3,1,1,1,1,0,-5
Christian,Braun,G,4,17,1,4,25.0,1,2,1,4,25.0,1,5,6,0,2,0,3,0,+7
Christian,Braun,G,2,15,1,5,20.0,0,2,0,1,0,0,2,2,0,1,0,0,0,-5
Christian,Braun,G,11,18,3,5,60.0,3,3,2,3,66.7,0,4,4,0,3,0,0,1,+3
Christian,Braun,G,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-7
Christian,Braun,G,2,21,1,3,33.3,0,0,0,0,0,2,4,6,2,3,0,1,1,-9
