player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Kentavious,Caldwell-Pope,SG,12,18,4,7,57.1,1,1,3,4,75.0,0,1,1,1,0,0,1,0,-1
Kentavious,Caldwell-Pope,SG,7,16,3,3,100.0,0,0,1,1,100.0,0,1,1,3,0,1,1,0,+6
Kentavious,Caldwell-Pope,SG,6,21,2,5,40.0,0,0,2,4,50.0,0,3,3,1,0,1,0,0,+5
Kentavious,Caldwell-Pope,SG,13,28,6,9,66.7,0,0,1,3,33.3,0,1,1,3,2,3,1,0,+6
Kentavious,Caldwell-Pope,SG,20,36,8,12,66.7,2,2,2,3,66.7,1,1,2,1,5,3,3,1,+10
Kentavious,Caldwell-Pope,SG,8,35,3,10,30.0,0,0,2,6,33.3,0,2,2,1,1,5,0,1,+6
Kentavious,Caldwell-Pope,SG,7,30,2,5,40.0,2,2,1,4,25.0,0,3,3,1,2,2,1,0,+21
Kentavious,Caldwell-Pope,SG,8,33,3,5,60.0,0,0,2,4,50.0,0,3,3,0,4,1,2,2,+11
Kentavious,Caldwell-Pope,SG,6,26,2,4,50.0,1,1,1,1,100.0,0,0,0,0,2,1,1,1,-20
Kentavious,Caldwell-Pope,SG,8,37,3,7,42.9,0,0,2,3,66.7,0,5,5,1,0,2,1,0,+15
Kentavious,Caldwell-Pope,SG,10,30,4,8,50.0,0,0,2,4,50.0,0,0,0,2,1,1,1,0,+29
Kentavious,Caldwell-Pope,SG,15,33,5,10,50.0,2,2,3,7,42.9,0,1,1,7,4,1,2,0,+23
Kentavious,Caldwell-Pope,SG,10,35,3,8,37.5,4,4,0,3,0,1,2,3,3,3,1,0,0,+13
Kentavious,Caldwell-Pope,SG,5,38,2,5,40.0,0,0,1,2,50.0,0,0,0,1,3,1,1,0,+6
Kentavious,Caldwell-Pope,SG,9,39,2,3,66.7,3,5,2,3,66.7,0,1,1,4,3,1,1,0,+3
Kentavious,Caldwell-Pope,SG,8,35,3,7,42.9,0,0,2,4,50.0,0,1,1,8,0,1,0,2,+4
Kentavious,Caldwell-Pope,SG,9,31,2,9,22.2,4,4,1,5,20.0,2,0,2,2,1,1,1,1,-13
Kentavious,Caldwell-Pope,SG,20,36,8,17,47.1,2,2,2,5,40.0,1,2,3,3,2,2,3,1,+3
Kentavious,Caldwell-Pope,SG,10,34,3,8,37.5,2,2,2,5,40.0,0,1,1,2,2,0,2,0,+5
Kentavious,Caldwell-Pope,SG,20,39,7,15,46.7,5,5,1,5,20.0,3,2,5,3,4,3,2,0,-7
Kentavious,Caldwell-Pope,SG,16,31,5,7,71.4,4,4,2,4,50.0,0,1,1,6,3,1,3,0,+6
Kentavious,Caldwell-Pope,SG,12,38,3,14,21.4,6,6,0,1,0,2,1,3,2,2,1,0,0,+15
Kentavious,Caldwell-Pope,SG,10,32,4,6,66.7,0,0,2,3,66.7,0,1,1,2,0,0,0,0,+21
Kentavious,Caldwell-Pope,SG,15,35,6,10,60.0,0,0,3,6,50.0,0,1,1,5,2,3,0,0,+6
Kentavious,Caldwell-Pope,SG,9,38,4,12,33.3,1,2,0,3,0,0,5,5,3,1,4,4,0,+9
Kentavious,Caldwell-Pope,SG,3,34,1,4,25.0,0,0,1,3,33.3,0,1,1,3,1,1,0,0,+2
Kentavious,Caldwell-Pope,SG,14,25,5,6,83.3,2,2,2,3,66.7,0,0,0,0,1,0,0,1,-16
Kentavious,Caldwell-Pope,SG,8,30,1,6,16.7,6,8,0,2,0,0,3,3,2,2,0,2,1,+11
Kentavious,Caldwell-Pope,SG,4,13,2,4,50.0,0,0,0,0,0,0,1,1,0,2,0,0,0,+10
Kentavious,Caldwell-Pope,SG,9,26,4,6,66.7,0,0,1,2,50.0,1,2,3,2,0,0,0,0,+17
Kentavious,Caldwell-Pope,SG,10,32,4,5,80.0,0,0,2,3,66.7,0,2,2,3,2,2,0,2,+15
Kentavious,Caldwell-Pope,SG,3,30,1,6,16.7,0,0,1,2,50.0,1,4,5,4,3,2,1,0,+15
Kentavious,Caldwell-Pope,SG,3,32,1,3,33.3,0,0,1,2,50.0,0,3,3,2,1,2,0,4,+11
Kentavious,Caldwell-Pope,SG,16,37,6,13,46.2,0,0,4,9,44.4,1,3,4,5,1,2,0,0,+15
Kentavious,Caldwell-Pope,SG,12,25,5,10,50.0,0,0,2,5,40.0,2,0,2,3,2,0,0,1,+27
Kentavious,Caldwell-Pope,SG,8,27,3,5,60.0,0,1,2,3,66.7,0,0,0,2,3,1,1,0,-16
Kentavious,Caldwell-Pope,SG,5,29,2,6,33.3,1,1,0,3,0,0,3,3,4,3,1,0,0,+28
Kentavious,Caldwell-Pope,SG,8,35,4,8,50.0,0,0,0,2,0,1,2,3,4,0,1,1,1,+4
Kentavious,Caldwell-Pope,SG,6,29,1,4,25.0,4,4,0,3,0,1,2,3,2,1,1,3,1,+2
Kentavious,Caldwell-Pope,SG,18,36,6,10,60.0,3,3,3,6,50.0,0,4,4,0,2,2,3,1,+12
Kentavious,Caldwell-Pope,SG,12,28,4,9,44.4,2,2,2,5,40.0,0,1,1,1,2,4,1,1,-20
