player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Aaron,Gordon,PF,0,13,0,1,0,0,0,0,1,0,1,6,7,3,1,0,0,1,+6
Aaron,Gordon,PF,6,18,3,4,75.0,0,0,0,0,0,0,1,1,3,1,1,2,0,+7
Aaron,Gordon,PF,13,24,4,8,50.0,5,7,0,3,0,1,4,5,1,1,0,2,0,+7
Aaron,Gordon,PF,13,28,5,12,41.7,3,4,0,2,0,3,2,5,2,2,0,2,2,+4
Aaron,Gordon,PF,15,35,7,11,63.6,0,0,1,2,50.0,2,5,7,5,0,2,0,1,+6
Aaron,Gordon,PF,10,30,5,11,45.5,0,1,0,1,0,1,1,2,3,3,3,1,1,+8
Aaron,Gordon,PF,9,23,4,7,57.1,1,3,0,1,0,1,2,3,2,1,1,1,3,+22
Aaron,Gordon,PF,21,33,10,12,83.3,1,4,0,0,0,3,4,7,2,2,0,3,0,+8
Aaron,Gordon,PF,4,18,2,3,66.7,0,0,0,1,0,1,1,2,2,4,0,2,1,-13
Aaron,Gordon,PF,18,35,8,17,47.1,0,0,2,6,33.3,2,6,8,6,2,2,4,1,+22
Aaron,Gordon,PF,15,35,4,9,44.4,6,8,1,3,33.3,3,9,12,5,2,2,3,1,+26
Aaron,Gordon,PF,15,36,7,11,63.6,1,2,0,2,0,5,7,12,6,1,0,2,1,+8
Aaron,Gordon,PF,14,34,5,14,35.7,3,4,1,2,50.0,4,7,11,3,2,3,2,1,+12
Aaron,Gordon,PF,16,39,6,10,60.0,3,6,1,2,50.0,1,7,8,5,2,0,2,2,+8
Aaron,Gordon,PF,20,39,8,12,66.7,3,3,1,2,50.0,1,4,5,5,1,0,3,0,+2
Aaron,Gordon,PF,14,39,7,14,50.0,0,3,0,4,0,1,7,8,2,4,1,0,0,+1
Aaron,Gordon,PF,11,32,4,11,36.4,3,6,0,2,0,2,2,4,5,2,1,1,2,-18
Aaron,Gordon,PF,11,37,4,11,36.4,3,4,0,1,0,5,4,9,7,1,1,2,0,-2
Aaron,Gordon,PF,15,37,7,16,43.8,0,2,1,3,33.3,7,3,10,1,3,2,2,0,+4
Aaron,Gordon,PF,2,39,0,12,0,2,4,0,4,0,3,4,7,2,1,0,1,0,-9
Aaron,Gordon,PF,17,33,8,13,61.5,0,0,1,3,33.3,4,3,7,3,1,0,1,1,-11
Aaron,Gordon,PF,8,31,4,9,44.4,0,0,0,0,0,2,4,6,2,2,2,0,0,+6
Aaron,Gordon,PF,3,22,1,5,20.0,1,5,0,2,0,1,5,6,3,1,0,1,0,-12
Aaron,Gordon,PF,18,29,7,10,70.0,4,5,0,0,0,7,5,12,1,2,0,2,0,+9
Aaron,Gordon,PF,14,32,6,13,46.2,1,2,1,2,50.0,5,2,7,6,1,0,0,0,+8
Aaron,Gordon,PF,13,24,6,9,66.7,1,1,0,1,0,0,2,2,2,0,1,2,1,+16
Aaron,Gordon,PF,16,33,5,10,50.0,6,7,0,0,0,6,3,9,5,2,2,0,0,-7
