player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Justin,Holiday,SF,5,19,2,6,33.3,0,0,1,4,25.0,1,1,2,1,0,1,1,1,+5
Justin,Holiday,SF,6,19,2,4,50.0,0,0,2,4,50.0,0,0,0,1,2,1,0,1,0
Justin,Holiday,SF,0,24,0,1,0,0,0,0,1,0,0,0,0,2,3,0,1,0,-1
Justin,Holiday,SF,3,20,1,6,16.7,0,0,1,4,25.0,0,1,1,1,1,2,1,0,-12
Justin,Holiday,SF,8,21,3,6,50.0,0,0,2,4,50.0,1,3,4,2,1,1,1,0,+3
Justin,Holiday,SF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Holiday,SF,3,6,1,2,50.0,0,0,1,2,50.0,0,1,1,0,0,0,0,0,+2
Justin,Holiday,SF,3,8,1,2,50.0,0,0,1,2,50.0,0,3,3,0,1,0,0,0,+2
Justin,Holiday,SF,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
Justin,Holiday,SF,6,17,2,3,66.7,0,0,2,3,66.7,0,1,1,1,2,0,0,0,+1
Justin,Holiday,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Holiday,SF,3,13,1,2,50.0,0,0,1,2,50.0,0,0,0,0,2,1,0,0,+9
Justin,Holiday,SF,5,27,2,5,40.0,0,0,1,4,25.0,0,2,2,3,2,1,0,0,+15
Justin,Holiday,SF,12,34,5,8,62.5,0,0,2,4,50.0,1,5,6,1,2,1,3,0,+5
Justin,Holiday,SF,11,27,4,7,57.1,0,0,3,5,60.0,1,2,3,4,2,2,0,0,+27
Justin,Holiday,SF,15,25,6,8,75.0,0,0,3,5,60.0,1,1,2,5,2,1,0,0,+8
Justin,Holiday,SF,0,12,0,1,0,0,0,0,0,0,0,3,3,0,2,0,0,0,-3
Justin,Holiday,SF,2,6,1,1,100.0,0,0,0,0,0,0,0,0,0,1,1,0,0,-12
Justin,Holiday,SF,8,23,3,4,75.0,0,0,2,3,66.7,1,0,1,2,3,0,0,0,+4
Justin,Holiday,SF,2,27,1,6,16.7,0,0,0,5,0,0,1,1,2,2,4,1,0,+20
Justin,Holiday,SF,6,25,2,4,50.0,0,0,2,3,66.7,0,1,1,2,0,0,1,0,-8
Justin,Holiday,SF,0,5,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-6
Justin,Holiday,SF,8,18,3,5,60.0,0,0,2,3,66.7,0,2,2,1,2,2,0,0,+1
Justin,Holiday,SF,0,16,0,3,0,0,0,0,2,0,0,1,1,2,1,0,0,0,-19
Justin,Holiday,SF,0,10,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,+4
Justin,Holiday,SF,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Justin,Holiday,SF,3,12,1,3,33.3,0,0,1,3,33.3,0,0,0,1,2,1,0,0,+11
Justin,Holiday,SF,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
Justin,Holiday,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Holiday,SF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Justin,Holiday,SF,4,12,2,4,50.0,0,0,0,2,0,0,1,1,0,2,1,0,0,-6
Justin,Holiday,SF,5,11,2,3,66.7,0,0,1,2,50.0,0,1,1,0,3,1,0,1,-7
Justin,Holiday,SF,0,12,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,+1
Justin,Holiday,SF,2,22,1,1,100.0,0,0,0,0,0,1,0,1,1,6,0,0,0,+11
Justin,Holiday,SF,10,37,3,10,30.0,1,2,3,9,33.3,0,3,3,2,1,2,1,0,-15
Justin,Holiday,SF,5,19,2,6,33.3,0,0,1,5,20.0,0,2,2,1,2,0,0,0,-11
Justin,Holiday,SF,8,35,2,8,25.0,2,2,2,5,40.0,1,3,4,2,3,1,1,0,+1
Justin,Holiday,SF,8,15,3,5,60.0,0,0,2,3,66.7,0,1,1,2,0,2,0,1,-8
Justin,Holiday,SF,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-7
Justin,Holiday,SF,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+2
Justin,Holiday,SF,2,12,1,2,50.0,0,0,0,1,0,0,1,1,0,0,1,1,0,-14
Justin,Holiday,SF,6,8,2,4,50.0,0,0,2,4,50.0,0,2,2,1,1,0,0,0,-2
Justin,Holiday,SF,13,31,5,7,71.4,0,0,3,5,60.0,0,2,2,3,0,1,0,0,+8
Justin,Holiday,SF,2,13,1,2,50.0,0,0,0,1,0,0,0,0,1,1,0,0,1,+6
Justin,Holiday,SF,3,25,1,1,100.0,0,0,1,1,100.0,0,2,2,7,1,0,0,1,+15
Justin,Holiday,SF,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
Justin,Holiday,SF,2,13,1,5,20.0,0,0,0,3,0,0,3,3,2,2,0,0,1,-1
Justin,Holiday,SF,13,21,5,9,55.6,0,0,3,6,50.0,0,1,1,2,2,2,0,0,+7
Justin,Holiday,SF,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8
Justin,Holiday,SF,6,18,2,3,66.7,0,0,2,3,66.7,0,2,2,3,3,0,0,0,+10
Justin,Holiday,SF,0,10,0,2,0,0,0,0,2,0,0,1,1,0,2,0,0,0,-10
Justin,Holiday,SF,2,14,1,2,50.0,0,0,0,0,0,0,1,1,0,0,0,0,0,+6
Justin,Holiday,SF,11,22,4,6,66.7,0,0,3,4,75.0,1,2,3,2,1,2,0,0,+22
Justin,Holiday,SF,0,10,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-10
Justin,Holiday,SF,5,16,2,5,40.0,0,0,1,4,25.0,0,1,1,0,2,1,0,0,-3
Justin,Holiday,SF,7,20,3,7,42.9,0,0,1,3,33.3,1,0,1,0,1,1,1,1,-1
Justin,Holiday,SF,5,23,2,6,33.3,0,0,1,2,50.0,1,2,3,1,0,1,0,2,+9
Justin,Holiday,SF,0,9,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,-5
Justin,Holiday,SF,8,24,3,3,100.0,0,0,2,2,100.0,0,0,0,6,2,1,1,0,+17
Justin,Holiday,SF,6,18,2,5,40.0,0,0,2,4,50.0,0,1,1,0,1,0,0,0,-5
Justin,Holiday,SF,3,8,1,1,100.0,0,0,1,1,100.0,0,1,1,0,1,1,0,0,+9
Justin,Holiday,SF,8,15,3,7,42.9,0,0,2,6,33.3,0,1,1,2,1,1,0,0,+3
Justin,Holiday,SF,3,19,1,5,20.0,0,0,1,5,20.0,0,1,1,3,1,1,1,0,-7
Justin,Holiday,SF,0,6,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,-2
Justin,Holiday,SF,0,13,0,1,0,0,0,0,1,0,0,2,2,1,1,2,0,0,+2
Justin,Holiday,SF,0,8,0,4,0,0,0,0,4,0,0,1,1,0,0,0,0,0,+2
Justin,Holiday,SF,3,5,1,3,33.3,0,0,1,2,50.0,0,0,0,0,1,2,0,0,-4
Justin,Holiday,SF,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-10
Justin,Holiday,SF,3,16,1,3,33.3,0,0,1,3,33.3,0,5,5,0,0,1,0,0,+19
Justin,Holiday,SF,13,22,4,6,66.7,1,2,4,5,80.0,0,2,2,1,2,0,1,0,-3
