player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Nikola,Jokic,C,9,18,4,11,36.4,1,1,0,3,0,2,1,3,2,2,2,2,0,+1
Nikola,Jokic,C,17,18,8,10,80.0,0,0,1,2,50.0,0,6,6,4,1,2,3,1,+5
Nikola,Jokic,C,15,23,6,9,66.7,2,5,1,3,33.3,0,9,9,5,4,1,2,1,+8
Nikola,Jokic,C,25,28,9,15,60.0,4,5,3,6,50.0,1,13,14,8,3,1,1,0,+4
Nikola,Jokic,C,29,36,12,22,54.5,2,4,3,5,60.0,3,10,13,11,2,1,2,1,+15
Nikola,Jokic,C,22,35,8,14,57.1,5,6,1,4,25.0,3,9,12,7,1,1,9,1,+6
Nikola,Jokic,C,28,30,12,16,75.0,3,3,1,2,50.0,2,12,14,5,3,0,4,0,+21
Nikola,Jokic,C,27,35,12,16,75.0,2,5,1,3,33.3,1,9,10,11,3,0,1,2,+13
Nikola,Jokic,C,25,30,11,23,47.8,2,2,1,6,16.7,2,8,10,3,0,0,5,0,-19
Nikola,Jokic,C,33,36,14,16,87.5,3,5,2,2,100.0,7,7,14,9,3,1,4,1,+17
Nikola,Jokic,C,28,33,9,16,56.3,9,9,1,3,33.3,4,12,16,9,3,3,1,0,+33
Nikola,Jokic,C,35,36,15,24,62.5,3,5,2,6,33.3,3,11,14,12,1,1,2,1,+16
Nikola,Jokic,C,35,37,14,25,56.0,6,10,1,8,12.5,3,10,13,5,3,3,3,1,+3
Nikola,Jokic,C,36,38,13,26,50.0,8,8,2,6,33.3,6,15,21,11,3,0,3,1,+12
Nikola,Jokic,C,32,36,8,23,34.8,14,14,2,7,28.6,3,13,16,9,2,1,4,0,+3
Nikola,Jokic,C,26,36,10,20,50.0,5,5,1,8,12.5,2,14,16,18,2,1,4,1,+5
Nikola,Jokic,C,18,28,8,13,61.5,2,5,0,0,0,1,9,10,7,5,1,3,1,-16
Nikola,Jokic,C,9,15,4,8,50.0,0,0,1,4,25.0,0,5,5,5,1,0,1,1,-4
Nikola,Jokic,C,30,36,12,18,66.7,5,5,1,2,50.0,5,8,13,12,4,3,1,2,+4
Nikola,Jokic,C,38,42,14,31,45.2,7,11,3,8,37.5,6,13,19,8,3,3,3,0,-12
Nikola,Jokic,C,39,34,17,29,58.6,5,5,0,0,0,5,6,11,9,3,1,5,0,+14
Nikola,Jokic,C,32,33,12,19,63.2,7,8,1,2,50.0,6,4,10,15,2,1,0,0,+29
Nikola,Jokic,C,21,35,9,18,50.0,3,6,0,3,0,1,4,5,16,4,1,3,2,+6
Nikola,Jokic,C,36,38,13,23,56.5,9,12,1,4,25.0,2,11,13,14,3,2,0,1,+11
Nikola,Jokic,C,22,37,9,32,28.1,2,2,2,7,28.6,5,10,15,10,2,1,4,0,+1
Nikola,Jokic,C,23,34,9,26,34.6,4,7,1,2,50.0,7,9,16,5,5,0,3,2,+3
