player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jamal,Murray,PG,12,18,5,11,45.5,1,1,1,5,20.0,1,0,1,5,2,2,0,0,+12
Jamal,Murray,PG,6,18,3,6,50.0,0,0,0,2,0,0,1,1,5,0,3,3,0,0
Jamal,Murray,PG,21,22,6,11,54.5,8,10,1,5,20.0,0,2,2,5,0,1,0,1,+4
Jamal,Murray,PG,8,29,3,11,27.3,1,2,1,6,16.7,1,3,4,7,2,0,1,0,+8
Jamal,Murray,PG,21,34,8,13,61.5,2,2,3,5,60.0,0,2,2,6,3,0,1,1,+3
Jamal,Murray,PG,22,34,7,17,41.2,4,4,4,9,44.4,0,1,1,5,2,0,3,1,+8
Jamal,Murray,PG,19,30,9,14,64.3,0,0,1,1,100.0,1,1,2,8,1,0,4,0,+22
Jamal,Murray,PG,18,37,7,19,36.8,1,2,3,7,42.9,0,3,3,14,0,0,3,2,-5
Jamal,Murray,PG,14,32,5,16,31.3,3,5,1,4,25.0,2,4,6,6,3,1,3,1,-17
Jamal,Murray,PG,18,39,5,15,33.3,6,6,2,6,33.3,0,2,2,13,4,1,2,0,+2
Jamal,Murray,PG,2,10,1,3,33.3,0,0,0,0,0,0,2,2,0,0,0,0,0,-2
Jamal,Murray,PG,16,22,4,14,28.6,5,5,3,8,37.5,0,6,6,6,2,0,0,0,+14
Jamal,Murray,PG,23,29,10,18,55.6,1,1,2,7,28.6,0,0,0,6,4,1,1,1,+2
Jamal,Murray,PG,21,32,6,17,35.3,5,5,4,8,50.0,0,5,5,3,2,0,1,0,+4
Jamal,Murray,PG,29,29,12,15,80.0,1,1,4,5,80.0,1,8,9,4,1,1,6,2,+14
Jamal,Murray,PG,16,22,7,15,46.7,0,0,2,4,50.0,0,1,1,2,2,3,0,1,+9
Jamal,Murray,PG,15,28,5,13,38.5,5,5,0,6,0,1,1,2,5,4,0,1,0,-3
Jamal,Murray,PG,22,25,8,14,57.1,2,2,4,4,100.0,0,4,4,2,1,1,2,1,+18
Jamal,Murray,PG,20,32,9,22,40.9,0,0,2,7,28.6,1,4,5,6,2,1,2,2,+12
Jamal,Murray,PG,32,34,11,19,57.9,6,8,4,6,66.7,1,4,5,9,0,0,1,2,+18
Jamal,Murray,PG,20,33,8,19,42.1,2,2,2,6,33.3,2,10,12,5,1,3,1,0,+7
Jamal,Murray,PG,28,33,10,18,55.6,5,5,3,5,60.0,1,4,5,3,4,2,2,0,+20
Jamal,Murray,PG,23,26,9,12,75.0,1,1,4,6,66.7,2,1,3,9,0,2,1,0,+19
Jamal,Murray,PG,9,36,4,15,26.7,0,1,1,6,16.7,0,3,3,11,1,1,2,1,-20
Jamal,Murray,PG,25,27,7,16,43.8,6,7,5,9,55.6,0,3,3,7,1,2,2,1,+26
Jamal,Murray,PG,25,32,8,16,50.0,8,9,1,6,16.7,0,2,2,6,4,2,0,0,+9
Jamal,Murray,PG,20,33,9,23,39.1,2,2,0,6,0,1,6,7,9,3,1,3,0,-5
Jamal,Murray,PG,37,30,14,24,58.3,6,7,3,8,37.5,2,3,5,4,4,1,1,1,+11
Jamal,Murray,PG,17,31,6,15,40.0,4,4,1,5,20.0,0,1,1,6,3,1,4,2,-27
Jamal,Murray,PG,20,34,8,15,53.3,1,1,3,5,60.0,0,2,2,9,3,0,2,0,+18
Jamal,Murray,PG,25,36,11,18,61.1,2,4,1,4,25.0,0,1,1,8,3,1,5,0,-5
Jamal,Murray,PG,17,38,7,16,43.8,2,2,1,3,33.3,1,2,3,10,0,0,2,1,-5
Jamal,Murray,PG,35,37,15,21,71.4,2,3,3,7,42.9,0,8,8,5,3,0,1,0,-7
Jamal,Murray,PG,19,39,7,23,30.4,2,2,3,8,37.5,1,4,5,7,2,0,1,0,+4
Jamal,Murray,PG,31,37,11,24,45.8,6,6,3,9,33.3,2,6,8,7,1,0,3,0,+17
Jamal,Murray,PG,9,30,3,11,27.3,2,3,1,3,33.3,0,2,2,7,1,0,3,0,-29
Jamal,Murray,PG,23,37,8,15,53.3,1,4,6,10,60.0,0,3,3,7,1,1,2,1,+13
Jamal,Murray,PG,35,36,13,22,59.1,9,10,0,2,0,1,1,2,5,1,2,2,0,-3
Jamal,Murray,PG,16,39,6,14,42.9,2,2,2,3,66.7,1,2,3,4,3,0,0,2,+1
Jamal,Murray,PG,13,33,5,21,23.8,0,0,3,15,20.0,4,5,9,10,1,0,2,2,+9
Jamal,Murray,PG,21,34,8,16,50.0,1,2,4,6,66.7,2,3,5,10,2,1,1,2,+16
Jamal,Murray,PG,29,36,12,25,48.0,0,0,5,9,55.6,0,7,7,11,2,2,3,0,+17
Jamal,Murray,PG,12,26,4,10,40.0,2,3,2,5,40.0,0,1,1,3,1,1,6,0,-21
Jamal,Murray,PG,3,18,1,5,20.0,0,0,1,3,33.3,0,2,2,0,0,0,2,0,-18
Jamal,Murray,PG,18,31,9,17,52.9,0,0,0,3,0,0,4,4,8,1,3,1,2,+16
Jamal,Murray,PG,27,36,9,16,56.3,6,6,3,5,60.0,1,3,4,3,3,0,4,1,+18
