player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Michael,Porter Jr.,SF,12,30,5,13,38.5,0,0,2,9,22.2,2,10,12,2,1,2,0,0,+12
Michael,Porter Jr.,SF,9,29,3,7,42.9,1,1,2,5,40.0,1,12,13,3,4,0,1,0,+4
Michael,Porter Jr.,SF,20,25,8,14,57.1,0,0,4,7,57.1,3,6,9,2,3,0,1,0,+12
Michael,Porter Jr.,SF,8,19,3,8,37.5,0,0,2,6,33.3,0,1,1,2,3,0,1,1,+2
Michael,Porter Jr.,SF,5,25,2,11,18.2,1,1,0,5,0,2,3,5,1,0,1,0,1,-19
Michael,Porter Jr.,SF,24,34,10,18,55.6,0,0,4,8,50.0,5,4,9,1,2,0,1,2,+17
Michael,Porter Jr.,SF,27,31,9,16,56.3,4,5,5,10,50.0,1,5,6,2,4,1,2,2,+30
Michael,Porter Jr.,SF,22,29,8,16,50.0,4,4,2,6,33.3,2,7,9,3,2,0,1,0,+13
Michael,Porter Jr.,SF,17,37,7,17,41.2,0,0,3,8,37.5,2,6,8,2,1,0,0,2,+13
Michael,Porter Jr.,SF,25,38,11,19,57.9,0,0,3,10,30.0,2,8,10,0,3,0,2,1,+2
Michael,Porter Jr.,SF,10,34,4,11,36.4,0,2,2,8,25.0,1,4,5,0,3,1,2,1,+4
Michael,Porter Jr.,SF,18,33,8,14,57.1,0,1,2,6,33.3,3,8,11,0,3,0,0,0,-15
Michael,Porter Jr.,SF,21,27,7,15,46.7,2,2,5,9,55.6,1,5,6,0,2,1,2,0,-31
Michael,Porter Jr.,SF,14,38,5,15,33.3,0,1,4,9,44.4,2,9,11,2,3,0,4,1,-1
Michael,Porter Jr.,SF,25,31,9,16,56.3,2,2,5,9,55.6,0,2,2,0,4,1,0,0,+5
Michael,Porter Jr.,SF,14,37,6,14,42.9,0,0,2,8,25.0,1,6,7,1,1,1,1,2,-8
Michael,Porter Jr.,SF,25,33,8,14,57.1,5,6,4,9,44.4,1,6,7,2,0,0,3,1,+15
Michael,Porter Jr.,SF,8,29,3,13,23.1,0,0,2,7,28.6,3,7,10,3,5,0,1,0,+4
Michael,Porter Jr.,SF,30,34,11,17,64.7,1,3,7,12,58.3,2,8,10,5,2,1,0,0,+26
Michael,Porter Jr.,SF,19,37,8,16,50.0,3,3,0,4,0,1,9,10,4,1,2,2,1,+8
Michael,Porter Jr.,SF,13,33,6,12,50.0,0,0,1,5,20.0,0,8,8,2,1,0,1,2,-6
Michael,Porter Jr.,SF,18,34,7,8,87.5,0,0,4,5,80.0,3,6,9,0,2,0,2,1,+4
Michael,Porter Jr.,SF,20,40,8,12,66.7,1,1,3,6,50.0,1,7,8,0,3,0,2,2,+11
