player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Peyton,Watson,F,10,20,3,4,75.0,2,2,2,3,66.7,0,3,3,0,6,1,1,1,-4
Peyton,Watson,F,4,21,2,5,40.0,0,0,0,1,0,1,3,4,2,3,0,5,2,-15
Peyton,Watson,F,8,21,3,8,37.5,2,2,0,3,0,1,1,2,1,1,0,1,0,+13
Peyton,Watson,F,11,32,5,15,33.3,0,2,1,2,50.0,2,0,2,3,0,4,1,0,-20
Peyton,Watson,F,2,21,1,7,14.3,0,0,0,2,0,1,2,3,1,1,0,1,0,+15
Peyton,Watson,F,3,11,1,3,33.3,0,0,1,3,33.3,0,0,0,0,1,0,1,1,+1
Peyton,Watson,F,9,18,3,4,75.0,1,2,2,3,66.7,0,3,3,0,3,1,1,3,-4
Peyton,Watson,F,17,22,8,11,72.7,0,0,1,3,33.3,1,3,4,1,1,1,0,1,+11
Peyton,Watson,F,5,15,2,4,50.0,1,2,0,1,0,0,2,2,0,0,0,0,1,0
Peyton,Watson,F,4,16,2,3,66.7,0,0,0,1,0,0,2,2,1,2,0,2,0,-6
Peyton,Watson,F,3,13,1,4,25.0,1,2,0,1,0,2,1,3,1,2,0,0,2,-14
Peyton,Watson,F,2,18,1,3,33.3,0,0,0,1,0,0,2,2,2,2,2,2,0,-8
Peyton,Watson,F,4,19,2,3,66.7,0,0,0,0,0,0,3,3,1,0,2,0,2,+15
Peyton,Watson,F,2,11,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
Peyton,Watson,F,0,7,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,-6
Peyton,Watson,F,4,11,2,2,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,+2
Peyton,Watson,F,3,11,1,3,33.3,1,2,0,1,0,2,1,3,1,2,0,2,0,-2
Peyton,Watson,F,4,13,1,2,50.0,2,2,0,0,0,0,1,1,2,1,0,1,2,+5
Peyton,Watson,F,2,10,1,1,100.0,0,2,0,0,0,1,0,1,0,1,0,0,0,-9
Peyton,Watson,F,0,6,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,1,-18
Peyton,Watson,F,4,22,2,6,33.3,0,0,0,2,0,1,3,4,2,1,1,1,2,+5
Peyton,Watson,F,8,24,4,7,57.1,0,2,0,0,0,0,3,3,1,0,2,1,1,+2
Peyton,Watson,F,8,25,4,9,44.4,0,0,0,2,0,0,3,3,0,5,0,0,0,+5
Peyton,Watson,F,4,14,1,1,100.0,2,2,0,0,0,0,1,1,1,2,1,0,2,+8
Peyton,Watson,F,2,16,0,3,0,2,2,0,2,0,0,3,3,3,1,1,1,1,-15
Peyton,Watson,F,13,26,4,9,44.4,5,5,0,1,0,1,3,4,2,3,0,1,0,+4
Peyton,Watson,F,3,20,1,2,50.0,1,2,0,0,0,1,1,2,0,2,0,0,1,-7
Peyton,Watson,F,4,23,1,6,16.7,2,2,0,0,0,1,0,1,1,1,1,1,1,+7
Peyton,Watson,F,18,24,7,10,70.0,2,3,2,5,40.0,3,4,7,5,3,1,1,1,+7
Peyton,Watson,F,13,16,5,9,55.6,1,2,2,2,100.0,2,3,5,0,5,0,1,0,+3
Peyton,Watson,F,10,24,3,5,60.0,2,4,2,3,66.7,1,6,7,3,1,1,0,1,+8
Peyton,Watson,F,11,18,5,6,83.3,0,0,1,1,100.0,1,3,4,1,1,1,0,1,-5
Peyton,Watson,F,9,20,4,5,80.0,0,1,1,2,50.0,0,3,3,0,2,0,0,0,-14
Peyton,Watson,F,2,17,1,2,50.0,0,0,0,1,0,0,3,3,0,2,1,1,1,-3
Peyton,Watson,F,5,21,2,5,40.0,0,0,1,2,50.0,0,0,0,1,2,0,2,0,-11
Peyton,Watson,F,20,23,6,14,42.9,4,4,4,10,40.0,0,5,5,2,1,0,0,0,+28
Peyton,Watson,F,14,32,6,12,50.0,1,2,1,6,16.7,0,2,2,2,4,1,1,2,-7
Peyton,Watson,F,8,19,3,6,50.0,0,0,2,4,50.0,0,4,4,1,2,1,0,1,-5
Peyton,Watson,F,19,19,6,10,60.0,5,6,2,4,50.0,1,4,5,0,1,0,0,0,+7
Peyton,Watson,F,4,13,2,6,33.3,0,0,0,2,0,1,0,1,0,4,0,0,0,-16
Peyton,Watson,F,15,23,4,10,40.0,5,5,2,4,50.0,1,5,6,1,0,1,0,1,+7
Peyton,Watson,F,3,17,1,8,12.5,0,0,1,5,20.0,1,1,2,0,1,0,0,0,-12
Peyton,Watson,F,8,15,3,7,42.9,0,0,2,4,50.0,1,2,3,0,1,1,0,1,+9
Peyton,Watson,F,0,14,0,3,0,0,0,0,0,0,0,3,3,0,3,1,0,0,-1
Peyton,Watson,F,5,11,1,4,25.0,2,2,1,2,50.0,1,0,1,2,0,0,0,0,-8
Peyton,Watson,F,9,21,4,11,36.4,0,0,1,6,16.7,0,2,2,0,2,0,0,2,+7
Peyton,Watson,F,2,13,1,2,50.0,0,1,0,0,0,0,3,3,2,0,0,2,3,-2
Peyton,Watson,F,7,19,2,4,50.0,2,2,1,2,50.0,0,2,2,0,1,1,2,2,-3
Peyton,Watson,F,7,23,3,8,37.5,1,2,0,4,0,1,3,4,3,2,0,2,2,-12
Peyton,Watson,F,9,21,3,7,42.9,3,6,0,3,0,0,3,3,3,1,1,0,1,-6
Peyton,Watson,F,6,23,3,4,75.0,0,0,0,0,0,0,4,4,2,3,1,0,0,+14
Peyton,Watson,F,9,21,3,10,30.0,2,2,1,4,25.0,2,2,4,1,4,2,2,1,+13
Peyton,Watson,F,14,22,6,8,75.0,0,0,2,2,100.0,1,4,5,0,4,0,0,1,0
Peyton,Watson,F,12,30,5,6,83.3,0,0,2,3,66.7,3,3,6,1,1,2,1,1,+14
Peyton,Watson,F,5,25,2,6,33.3,0,0,1,3,33.3,1,3,4,2,2,0,1,0,-3
Peyton,Watson,F,4,20,2,4,50.0,0,0,0,1,0,1,2,3,1,3,1,4,3,-10
Peyton,Watson,F,5,21,2,6,33.3,1,1,0,2,0,1,3,4,1,2,0,0,0,-9
Peyton,Watson,F,3,16,1,4,25.0,0,0,1,1,100.0,1,3,4,1,2,1,2,1,-4
Peyton,Watson,F,11,22,3,5,60.0,4,5,1,1,100.0,2,3,5,1,1,1,4,4,+4
Peyton,Watson,F,8,18,3,5,60.0,1,2,1,2,50.0,1,3,4,0,2,0,1,1,-1
Peyton,Watson,F,3,11,1,4,25.0,0,2,1,3,33.3,0,1,1,1,1,0,1,0,-11
Peyton,Watson,F,6,20,3,6,50.0,0,0,0,1,0,1,1,2,1,2,0,2,1,-18
Peyton,Watson,F,0,15,0,4,0,0,0,0,1,0,0,0,0,0,1,1,1,0,+6
Peyton,Watson,F,7,16,3,5,60.0,1,2,0,1,0,1,1,2,0,0,0,0,3,-3
Peyton,Watson,F,4,23,2,8,25.0,0,0,0,5,0,1,3,4,4,2,1,0,2,+1
Peyton,Watson,F,11,17,5,9,55.6,0,0,1,4,25.0,0,4,4,1,1,1,0,2,+11
Peyton,Watson,F,12,26,4,8,50.0,4,4,0,2,0,0,5,5,0,1,1,1,1,0
Peyton,Watson,F,7,15,3,4,75.0,0,2,1,1,100.0,0,5,5,0,2,0,1,1,+5
Peyton,Watson,F,6,23,3,7,42.9,0,0,0,2,0,0,3,3,2,0,0,0,1,+2
Peyton,Watson,F,10,23,5,11,45.5,0,1,0,3,0,1,2,3,2,4,0,1,0,+8
Peyton,Watson,F,3,14,1,4,25.0,0,0,1,1,100.0,0,2,2,0,1,2,0,0,-14
Peyton,Watson,F,2,16,1,4,25.0,0,1,0,1,0,0,3,3,0,4,0,1,0,-5
Peyton,Watson,F,4,13,1,3,33.3,2,2,0,2,0,1,0,1,0,1,0,1,0,-13
Peyton,Watson,F,3,15,1,6,16.7,1,1,0,1,0,2,3,5,1,2,0,0,2,+5
Peyton,Watson,F,10,22,4,9,44.4,2,2,0,1,0,2,7,9,2,5,1,1,3,+22
Peyton,Watson,F,5,19,2,4,50.0,1,2,0,1,0,2,2,4,0,2,0,0,1,-16
Peyton,Watson,F,0,11,0,2,0,0,0,0,1,0,0,3,3,1,0,0,0,0,-14
Peyton,Watson,F,9,20,4,5,80.0,1,2,0,0,0,1,2,3,2,1,1,2,2,+3
