player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Tyrese,Haliburton,PG,15,23,4,9,44.4,5,6,2,7,28.6,0,3,3,8,1,1,2,0,+14
Tyrese,Haliburton,PG,14,28,5,11,45.5,4,5,0,5,0,0,4,4,9,0,4,2,1,+13
Tyrese,Haliburton,PG,20,27,9,16,56.3,0,0,2,6,33.3,0,3,3,11,1,1,3,2,+6
Tyrese,Haliburton,PG,21,32,7,16,43.8,3,3,4,7,57.1,1,7,8,13,2,0,1,0,-1
Tyrese,Haliburton,PG,19,36,6,16,37.5,6,7,1,8,12.5,1,4,5,13,1,2,4,0,+2
Tyrese,Haliburton,PG,18,34,5,14,35.7,8,9,0,5,0,0,2,2,13,2,2,4,0,+3
Tyrese,Haliburton,PG,43,37,14,21,66.7,7,7,8,12,66.7,0,2,2,12,2,0,3,1,+8
Tyrese,Haliburton,PG,23,27,9,19,47.4,2,2,3,7,42.9,0,2,2,8,1,1,2,1,+27
Tyrese,Haliburton,PG,16,31,6,12,50.0,3,3,1,6,16.7,1,5,6,13,0,1,2,0,-1
Tyrese,Haliburton,PG,29,38,10,17,58.8,4,4,5,9,55.6,1,5,6,10,1,0,2,1,+14
Tyrese,Haliburton,PG,25,37,9,14,64.3,4,4,3,6,50.0,0,1,1,17,0,2,0,1,+4
Tyrese,Haliburton,PG,33,38,11,18,61.1,4,5,7,12,58.3,1,6,7,15,1,2,0,1,+19
Tyrese,Haliburton,PG,12,25,4,14,28.6,3,3,1,3,33.3,0,2,2,3,2,0,4,1,-30
Tyrese,Haliburton,PG,37,39,11,18,61.1,6,7,9,15,60.0,1,4,5,16,0,3,6,1,+16
Tyrese,Haliburton,PG,33,34,12,22,54.5,4,5,5,10,50.0,1,2,3,16,3,0,3,1,+4
Tyrese,Haliburton,PG,26,32,9,23,39.1,3,3,5,13,38.5,0,2,2,10,0,0,1,0,+9
Tyrese,Haliburton,PG,33,36,11,17,64.7,8,9,3,6,50.0,0,2,2,9,1,0,3,0,-3
Tyrese,Haliburton,PG,44,40,15,28,53.6,8,12,6,16,37.5,0,2,2,10,0,3,2,1,-6
Tyrese,Haliburton,PG,26,40,10,18,55.6,1,1,5,11,45.5,3,7,10,13,2,1,0,0,+15
Tyrese,Haliburton,PG,27,37,11,19,57.9,2,2,3,9,33.3,3,4,7,15,1,0,0,1,0
Tyrese,Haliburton,PG,20,35,8,14,57.1,2,3,2,8,25.0,0,1,1,11,1,1,3,1,-19
Tyrese,Haliburton,PG,14,33,5,12,41.7,1,1,3,6,50.0,0,5,5,16,2,1,7,2,+8
Tyrese,Haliburton,PG,22,31,8,16,50.0,5,7,1,4,25.0,1,4,5,7,0,0,3,0,-14
