player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
T.J.,McConnell,PG,11,17,5,7,71.4,0,0,1,2,50.0,1,2,3,8,1,1,0,0,+1
T.J.,McConnell,PG,7,18,3,7,42.9,1,2,0,2,0,0,2,2,4,2,0,1,0,-7
T.J.,McConnell,PG,7,20,3,5,60.0,1,1,0,1,0,1,2,3,9,1,1,2,0,-4
T.J.,McConnell,PG,9,12,3,8,37.5,3,4,0,1,0,1,1,2,3,0,0,1,0,-10
T.J.,McConnell,PG,4,6,2,2,100.0,0,0,0,0,0,0,1,1,2,0,2,0,0,+1
T.J.,McConnell,PG,8,19,3,5,60.0,2,2,0,0,0,1,1,2,8,1,0,0,0,+21
T.J.,McConnell,PG,18,28,8,13,61.5,2,2,0,1,0,2,5,7,5,2,1,1,0,-29
T.J.,McConnell,PG,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-9
T.J.,McConnell,PG,4,9,1,2,50.0,2,2,0,0,0,0,3,3,4,1,0,1,0,+6
T.J.,McConnell,PG,8,17,3,5,60.0,2,2,0,0,0,0,2,2,1,1,3,1,1,+10
T.J.,McConnell,PG,11,13,5,8,62.5,1,1,0,2,0,1,2,3,3,3,0,1,0,-7
T.J.,McConnell,PG,11,21,5,9,55.6,1,3,0,1,0,1,3,4,5,1,0,2,0,+2
T.J.,McConnell,PG,2,14,1,5,20.0,0,0,0,0,0,0,0,0,4,1,0,0,0,-4
T.J.,McConnell,PG,7,14,3,6,50.0,0,0,1,1,100.0,0,2,2,5,5,1,0,0,-5
T.J.,McConnell,PG,0,10,0,2,0,0,2,0,1,0,2,2,4,4,0,1,3,1,+4
T.J.,McConnell,PG,20,25,10,11,90.9,0,0,0,0,0,0,2,2,11,0,0,1,0,+5
T.J.,McConnell,PG,2,9,1,5,20.0,0,0,0,0,0,0,2,2,3,0,1,0,0,-5
T.J.,McConnell,PG,9,11,4,7,57.1,1,2,0,0,0,1,0,1,4,0,3,3,0,+9
T.J.,McConnell,PG,8,18,3,11,27.3,2,2,0,0,0,3,1,4,9,4,3,0,0,+5
T.J.,McConnell,PG,8,15,4,10,40.0,0,0,0,1,0,0,2,2,5,2,1,2,0,0
T.J.,McConnell,PG,9,16,4,9,44.4,1,1,0,2,0,1,4,5,5,1,2,3,0,-12
T.J.,McConnell,PG,9,20,4,10,40.0,1,1,0,0,0,0,3,3,9,0,1,2,0,-1
T.J.,McConnell,PG,10,26,5,12,41.7,0,0,0,1,0,1,3,4,6,1,2,1,1,-17
T.J.,McConnell,PG,10,20,5,10,50.0,0,0,0,0,0,1,4,5,8,2,1,0,0,+16
T.J.,McConnell,PG,9,20,3,3,100.0,3,4,0,0,0,1,4,5,9,1,1,1,0,-1
T.J.,McConnell,PG,2,4,1,1,100.0,0,0,0,0,0,0,1,1,1,0,0,1,0,-5
T.J.,McConnell,PG,1,7,0,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,-17
T.J.,McConnell,PG,5,12,2,3,66.7,1,1,0,0,0,0,0,0,3,0,0,2,0,-5
T.J.,McConnell,PG,16,22,5,9,55.6,6,8,0,1,0,1,3,4,9,0,1,0,0,+31
T.J.,McConnell,PG,6,19,2,6,33.3,2,2,0,1,0,0,6,6,3,1,0,1,0,+3
T.J.,McConnell,PG,10,23,5,6,83.3,0,0,0,0,0,2,1,3,10,2,3,1,0,+10
T.J.,McConnell,PG,6,12,3,3,100.0,0,0,0,0,0,0,1,1,5,0,2,3,0,-3
T.J.,McConnell,PG,12,25,6,12,50.0,0,0,0,2,0,1,3,4,7,1,2,2,0,+10
T.J.,McConnell,PG,14,22,7,10,70.0,0,0,0,0,0,0,2,2,8,2,2,0,0,+7
T.J.,McConnell,PG,6,25,3,5,60.0,0,0,0,0,0,0,4,4,14,0,3,5,1,+14
T.J.,McConnell,PG,5,19,2,9,22.2,1,2,0,2,0,1,1,2,5,0,0,1,0,+8
T.J.,McConnell,PG,8,19,3,6,50.0,2,2,0,0,0,1,4,5,5,1,1,3,0,+3
T.J.,McConnell,PG,20,33,9,14,64.3,2,3,0,0,0,0,1,1,10,2,1,4,0,-15
T.J.,McConnell,PG,2,13,1,4,25.0,0,0,0,0,0,0,0,0,2,1,0,2,0,-19
T.J.,McConnell,PG,4,12,2,8,25.0,0,0,0,0,0,0,1,1,3,0,2,1,0,-9
T.J.,McConnell,PG,17,21,7,11,63.6,2,2,1,1,100.0,0,1,1,7,3,0,3,0,+10
T.J.,McConnell,PG,8,24,4,6,66.7,0,0,0,0,0,1,3,4,5,4,2,3,0,-4
T.J.,McConnell,PG,2,18,1,5,20.0,0,0,0,0,0,0,1,1,8,1,1,0,0,-5
T.J.,McConnell,PG,9,23,3,5,60.0,2,2,1,1,100.0,1,2,3,7,0,2,1,0,+1
T.J.,McConnell,PG,4,21,2,5,40.0,0,0,0,0,0,1,5,6,7,2,0,4,0,0
T.J.,McConnell,PG,17,19,8,11,72.7,1,1,0,1,0,1,2,3,4,1,1,1,0,+2
T.J.,McConnell,PG,6,22,3,7,42.9,0,0,0,0,0,0,0,0,8,1,1,1,0,-13
T.J.,McConnell,PG,16,18,8,10,80.0,0,0,0,0,0,0,4,4,6,1,1,1,0,+6
T.J.,McConnell,PG,8,15,4,7,57.1,0,0,0,0,0,0,3,3,2,1,0,3,0,-17
T.J.,McConnell,PG,6,16,3,8,37.5,0,0,0,0,0,0,1,1,6,1,1,3,0,-3
T.J.,McConnell,PG,16,18,7,11,63.6,0,0,2,2,100.0,0,6,6,5,1,2,1,1,+7
T.J.,McConnell,PG,12,19,6,10,60.0,0,0,0,0,0,0,0,0,7,1,0,1,0,+9
T.J.,McConnell,PG,10,20,5,8,62.5,0,0,0,0,0,1,3,4,4,1,1,0,0,+10
T.J.,McConnell,PG,8,19,4,8,50.0,0,0,0,0,0,3,1,4,9,0,0,0,0,+9
T.J.,McConnell,PG,8,17,4,8,50.0,0,0,0,0,0,2,2,4,3,1,1,2,0,+1
T.J.,McConnell,PG,26,27,13,15,86.7,0,0,0,0,0,1,1,2,5,0,3,1,0,-1
T.J.,McConnell,PG,13,18,5,10,50.0,1,1,2,2,100.0,0,2,2,7,4,1,1,0,+6
T.J.,McConnell,PG,6,12,3,7,42.9,0,0,0,1,0,0,1,1,1,0,2,2,0,-6
T.J.,McConnell,PG,17,27,8,12,66.7,1,2,0,0,0,0,6,6,6,1,2,2,1,+10
T.J.,McConnell,PG,9,17,4,8,50.0,0,0,1,1,100.0,0,0,0,4,0,1,1,0,+3
T.J.,McConnell,PG,16,20,5,11,45.5,5,5,1,2,50.0,0,4,4,4,0,2,0,0,+15
T.J.,McConnell,PG,13,20,6,14,42.9,0,0,1,1,100.0,1,4,5,1,4,2,2,0,+8
T.J.,McConnell,PG,14,21,7,11,63.6,0,0,0,1,0,1,2,3,4,1,2,1,0,-2
T.J.,McConnell,PG,13,21,6,9,66.7,0,0,1,2,50.0,0,2,2,6,0,1,6,1,+1
