player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Andrew,Nembhard,PG,13,23,5,10,50.0,2,2,1,2,50.0,1,0,1,2,2,2,3,0,-9
Andrew,Nembhard,PG,12,22,6,9,66.7,0,0,0,1,0,1,3,4,10,4,0,2,0,+12
Andrew,Nembhard,PG,4,25,2,5,40.0,0,0,0,2,0,0,2,2,4,4,2,1,0,+21
Andrew,Nembhard,PG,6,21,3,7,42.9,0,0,0,4,0,0,1,1,2,4,2,4,0,-2
Andrew,Nembhard,PG,14,20,6,17,35.3,1,2,1,7,14.3,0,2,2,1,0,0,1,0,-22
Andrew,Nembhard,PG,6,18,2,5,40.0,2,2,0,0,0,0,0,0,3,0,0,2,0,-7
Andrew,Nembhard,PG,7,18,3,9,33.3,0,0,1,3,33.3,1,0,1,2,0,2,0,0,-7
Andrew,Nembhard,PG,9,16,3,7,42.9,0,0,3,5,60.0,0,2,2,8,3,0,2,0,+11
Andrew,Nembhard,PG,9,19,4,4,100.0,0,0,1,1,100.0,1,3,4,7,2,1,0,0,+16
Andrew,Nembhard,PG,10,20,4,5,80.0,0,0,2,2,100.0,0,2,2,2,3,1,1,0,+2
Andrew,Nembhard,PG,4,14,2,4,50.0,0,0,0,2,0,0,0,0,1,0,0,3,0,-15
Andrew,Nembhard,PG,2,10,1,3,33.3,0,0,0,1,0,1,1,2,4,1,1,0,0,-8
Andrew,Nembhard,PG,13,20,6,13,46.2,0,1,1,3,33.3,3,0,3,4,1,1,2,0,+25
Andrew,Nembhard,PG,8,22,4,6,66.7,0,0,0,1,0,2,1,3,3,3,1,2,0,-4
Andrew,Nembhard,PG,2,22,1,4,25.0,0,0,0,1,0,0,1,1,5,6,2,2,0,0
Andrew,Nembhard,PG,4,23,1,9,11.1,2,2,0,4,0,0,1,1,11,1,1,0,0,+10
Andrew,Nembhard,PG,1,5,0,2,0,1,2,0,0,0,0,1,1,1,1,0,0,0,-7
Andrew,Nembhard,PG,8,14,4,5,80.0,0,0,0,0,0,0,0,0,2,0,1,0,1,+6
Andrew,Nembhard,PG,6,16,2,4,50.0,0,0,2,3,66.7,0,1,1,1,2,2,1,0,-10
Andrew,Nembhard,PG,17,36,8,10,80.0,0,0,1,1,100.0,1,0,1,5,2,0,1,0,+14
Andrew,Nembhard,PG,11,34,5,6,83.3,0,0,1,1,100.0,0,2,2,6,1,0,6,0,+10
Andrew,Nembhard,PG,8,24,4,13,30.8,0,0,0,3,0,1,2,3,4,3,1,1,0,-19
Andrew,Nembhard,PG,14,33,5,10,50.0,2,2,2,4,50.0,3,2,5,5,4,2,4,0,+20
Andrew,Nembhard,PG,2,8,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,2,0,-21
Andrew,Nembhard,PG,9,12,4,6,66.7,0,0,1,2,50.0,0,0,0,3,5,0,2,0,-8
Andrew,Nembhard,PG,2,26,1,8,12.5,0,0,0,1,0,2,0,2,5,3,2,5,0,+1
Andrew,Nembhard,PG,10,23,4,6,66.7,0,0,2,2,100.0,0,4,4,6,2,2,4,0,+4
Andrew,Nembhard,PG,12,29,4,8,50.0,4,6,0,1,0,1,1,2,7,0,0,2,0,-16
Andrew,Nembhard,PG,14,23,5,10,50.0,3,3,1,3,33.3,0,0,0,4,2,1,2,0,-20
Andrew,Nembhard,PG,9,25,3,9,33.3,3,4,0,0,0,0,0,0,6,3,1,4,0,+2
Andrew,Nembhard,PG,15,27,7,9,77.8,0,0,1,3,33.3,0,1,1,7,1,0,2,0,-15
