player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Aaron,Nesmith,SF,9,19,1,6,16.7,6,6,1,4,25.0,0,1,1,1,2,2,1,1,+3
Aaron,Nesmith,SF,18,20,7,9,77.8,3,3,1,3,33.3,0,0,0,0,3,1,0,0,0
Aaron,Nesmith,SF,15,16,6,10,60.0,0,0,3,6,50.0,1,0,1,1,3,0,0,0,+4
Aaron,Nesmith,SF,0,13,0,1,0,0,0,0,0,0,0,2,2,1,2,0,2,0,-7
Aaron,Nesmith,SF,7,23,2,5,40.0,2,2,1,3,33.3,1,4,5,1,3,0,1,1,+13
Aaron,Nesmith,SF,26,30,10,16,62.5,1,2,5,9,55.6,4,5,9,0,1,0,0,0,+18
Aaron,Nesmith,SF,5,27,1,4,25.0,2,2,1,4,25.0,0,4,4,3,6,0,0,2,-15
Aaron,Nesmith,SF,9,19,4,9,44.4,0,1,1,6,16.7,1,0,1,1,4,0,0,0,-10
Aaron,Nesmith,SF,13,27,5,8,62.5,1,4,2,4,50.0,1,4,5,0,3,2,2,1,+1
Aaron,Nesmith,SF,4,25,1,5,20.0,1,2,1,1,100.0,0,2,2,1,0,1,0,2,-9
Aaron,Nesmith,SF,15,16,5,8,62.5,2,2,3,4,75.0,1,1,2,2,0,2,0,0,+17
Aaron,Nesmith,SF,24,30,9,13,69.2,2,2,4,6,66.7,1,1,2,0,4,2,1,0,+14
Aaron,Nesmith,SF,6,16,2,4,50.0,0,0,2,3,66.7,0,1,1,0,5,0,1,0,-22
Aaron,Nesmith,SF,8,26,3,6,50.0,0,0,2,5,40.0,1,3,4,3,3,1,0,0,+2
Aaron,Nesmith,SF,6,22,2,8,25.0,1,2,1,5,20.0,0,4,4,2,4,1,1,1,-10
Aaron,Nesmith,SF,0,15,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,-22
Aaron,Nesmith,SF,17,25,6,9,66.7,4,5,1,3,33.3,1,0,1,1,4,1,0,1,+4
Aaron,Nesmith,SF,7,25,3,6,50.0,0,1,1,3,33.3,1,2,3,0,4,3,2,0,-6
Aaron,Nesmith,SF,9,23,4,5,80.0,1,1,0,1,0,3,2,5,1,6,4,1,0,-2
Aaron,Nesmith,SF,20,29,7,9,77.8,2,4,4,6,66.7,0,4,4,1,4,0,0,1,+9
Aaron,Nesmith,SF,14,31,6,10,60.0,1,2,1,3,33.3,0,1,1,1,3,0,1,1,+2
Aaron,Nesmith,SF,6,27,2,6,33.3,1,1,1,4,25.0,0,1,1,1,5,0,0,1,+16
Aaron,Nesmith,SF,15,26,4,10,40.0,6,7,1,5,20.0,1,2,3,1,5,1,1,0,-13
Aaron,Nesmith,SF,13,27,5,7,71.4,0,0,3,4,75.0,0,1,1,1,3,0,2,0,+6
Aaron,Nesmith,SF,12,25,5,11,45.5,0,0,2,7,28.6,1,0,1,1,5,0,2,0,-20
Aaron,Nesmith,SF,12,24,4,10,40.0,1,3,3,8,37.5,2,1,3,1,5,2,0,1,-6
Aaron,Nesmith,SF,17,26,7,14,50.0,1,1,2,4,50.0,3,2,5,0,1,0,0,1,-15
Aaron,Nesmith,SF,12,26,4,7,57.1,2,2,2,3,66.7,1,5,6,2,3,2,1,3,0
Aaron,Nesmith,SF,19,23,6,6,100.0,3,3,4,4,100.0,0,2,2,1,1,1,1,0,+8
Aaron,Nesmith,SF,14,28,5,12,41.7,0,0,4,8,50.0,1,4,5,0,1,4,2,3,-23
Aaron,Nesmith,SF,3,28,1,5,20.0,0,0,1,4,25.0,1,2,3,2,6,2,4,0,-20
Aaron,Nesmith,SF,10,30,3,6,50.0,2,2,2,4,50.0,1,4,5,2,5,0,3,0,+17
Aaron,Nesmith,SF,12,34,4,9,44.4,0,0,4,6,66.7,0,5,5,1,4,1,1,2,+25
Aaron,Nesmith,SF,25,31,8,13,61.5,2,2,7,11,63.6,0,1,1,2,2,1,2,0,+10
Aaron,Nesmith,SF,4,27,1,10,10.0,1,2,1,7,14.3,1,4,5,0,4,3,0,2,-11
Aaron,Nesmith,SF,9,22,4,4,100.0,0,0,1,1,100.0,0,4,4,2,2,3,0,0,+18
Aaron,Nesmith,SF,15,22,7,11,63.6,0,0,1,2,50.0,0,2,2,3,3,1,2,1,+25
Aaron,Nesmith,SF,8,32,3,13,23.1,2,2,0,7,0,1,3,4,0,2,3,0,1,-5
Aaron,Nesmith,SF,17,26,6,10,60.0,2,3,3,5,60.0,2,2,4,2,2,0,0,1,+1
Aaron,Nesmith,SF,10,24,3,9,33.3,2,2,2,5,40.0,0,3,3,1,1,0,0,0,+1
Aaron,Nesmith,SF,13,21,5,6,83.3,0,0,3,3,100.0,1,3,4,0,3,1,1,0,+1
Aaron,Nesmith,SF,12,28,4,9,44.4,1,2,3,4,75.0,1,3,4,2,6,0,2,0,+15
Aaron,Nesmith,SF,6,26,2,7,28.6,1,3,1,5,20.0,1,2,3,1,4,1,0,0,-9
Aaron,Nesmith,SF,13,34,5,13,38.5,2,2,1,7,14.3,4,5,9,0,3,0,1,0,-4
