player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Ben,Sheppard,G,15,25,6,16,37.5,0,0,3,10,30.0,1,2,3,3,1,0,1,0,-4
Ben,Sheppard,G,11,23,4,9,44.4,0,1,3,7,42.9,1,3,4,4,1,0,1,1,0
Ben,Sheppard,G,9,22,3,8,37.5,0,0,3,8,37.5,1,3,4,1,1,0,1,0,-4
Ben,Sheppard,G,3,9,1,3,33.3,1,2,0,1,0,0,1,1,1,1,2,0,0,+5
Ben,Sheppard,G,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3
Ben,Sheppard,G,6,15,2,4,50.0,0,0,2,4,50.0,1,1,2,2,3,0,0,0,-15
Ben,Sheppard,G,7,12,3,7,42.9,0,0,1,4,25.0,0,2,2,0,1,0,0,0,+9
Ben,Sheppard,G,7,16,2,5,40.0,2,2,1,3,33.3,0,0,0,2,0,1,1,0,+25
Ben,Sheppard,G,5,5,2,5,40.0,0,0,1,4,25.0,0,1,1,1,0,0,0,0,-9
Ben,Sheppard,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2
Ben,Sheppard,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Ben,Sheppard,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Sheppard,G,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-7
Ben,Sheppard,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1
Ben,Sheppard,G,8,6,3,6,50.0,0,0,2,3,66.7,0,0,0,0,2,1,0,0,+4
Ben,Sheppard,G,0,9,0,1,0,0,0,0,1,0,0,0,0,3,2,0,0,0,+3
Ben,Sheppard,G,8,17,3,5,60.0,2,4,0,2,0,1,2,3,0,1,2,0,0,-6
Ben,Sheppard,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Ben,Sheppard,G,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-5
Ben,Sheppard,G,3,9,1,3,33.3,0,0,1,3,33.3,0,1,1,1,0,1,0,0,0
Ben,Sheppard,G,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-3
Ben,Sheppard,G,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Ben,Sheppard,G,4,25,1,7,14.3,2,2,0,5,0,2,1,3,3,4,0,0,0,-2
Ben,Sheppard,G,7,28,2,5,40.0,1,2,2,3,66.7,0,4,4,2,4,2,0,0,+14
Ben,Sheppard,G,3,10,1,4,25.0,0,0,1,3,33.3,0,1,1,0,1,1,0,0,-15
Ben,Sheppard,G,4,20,1,4,25.0,2,2,0,1,0,2,2,4,4,3,2,0,0,+10
Ben,Sheppard,G,5,12,2,2,100.0,0,0,1,1,100.0,1,0,1,1,1,1,0,0,+7
Ben,Sheppard,G,2,15,1,4,25.0,0,0,0,2,0,0,5,5,2,5,0,0,0,-3
Ben,Sheppard,G,2,18,1,4,25.0,0,0,0,3,0,0,2,2,2,2,0,1,0,-1
Ben,Sheppard,G,6,20,2,6,33.3,0,0,2,4,50.0,0,0,0,1,2,1,1,0,0
Ben,Sheppard,G,0,12,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,0,-11
Ben,Sheppard,G,5,22,2,4,50.0,0,0,1,3,33.3,0,6,6,1,4,3,2,0,+3
Ben,Sheppard,G,7,16,2,6,33.3,2,2,1,5,20.0,0,1,1,0,0,0,0,0,-1
Ben,Sheppard,G,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ben,Sheppard,G,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4
Ben,Sheppard,G,8,20,3,5,60.0,1,1,1,3,33.3,0,0,0,0,2,0,1,1,-11
Ben,Sheppard,G,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Ben,Sheppard,G,10,21,3,6,50.0,2,2,2,4,50.0,0,5,5,0,1,1,1,0,+8
Ben,Sheppard,G,7,15,3,5,60.0,0,0,1,2,50.0,0,1,1,0,1,0,0,0,+6
Ben,Sheppard,G,15,12,5,6,83.3,0,0,5,5,100.0,0,1,1,4,3,2,0,0,+14
Ben,Sheppard,G,2,17,1,4,25.0,0,0,0,3,0,0,0,0,0,2,0,0,0,+1
Ben,Sheppard,G,11,27,4,8,50.0,0,0,3,7,42.9,0,1,1,1,4,2,0,1,+7
Ben,Sheppard,G,12,22,4,7,57.1,0,0,4,6,66.7,1,6,7,0,3,1,0,0,+5
Ben,Sheppard,G,6,19,2,4,50.0,0,0,2,2,100.0,0,4,4,0,4,0,0,0,-7
Ben,Sheppard,G,2,11,1,2,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2
Ben,Sheppard,G,4,17,2,5,40.0,0,0,0,3,0,1,1,2,0,1,0,0,0,-2
Ben,Sheppard,G,2,21,0,5,0,2,2,0,5,0,0,3,3,1,2,0,0,0,+18
Ben,Sheppard,G,11,24,4,7,57.1,2,2,1,4,25.0,0,1,1,2,0,1,1,0,+8
Ben,Sheppard,G,5,20,2,6,33.3,0,0,1,5,20.0,0,1,1,1,2,1,0,0,+5
Ben,Sheppard,G,9,22,4,8,50.0,0,0,1,4,25.0,0,2,2,3,1,0,1,0,+3
Ben,Sheppard,G,3,14,1,4,25.0,0,0,1,3,33.3,1,0,1,1,1,1,0,0,-5
