player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Pascal,Siakam,PF,8,20,3,6,50.0,2,3,0,2,0,0,3,3,4,3,2,2,1,+8
Pascal,Siakam,PF,22,31,8,11,72.7,4,6,2,5,40.0,0,5,5,0,1,3,4,0,+3
Pascal,Siakam,PF,19,26,7,16,43.8,5,7,0,3,0,2,6,8,3,2,0,2,1,+19
Pascal,Siakam,PF,15,34,5,17,29.4,2,2,3,5,60.0,0,7,7,6,2,1,2,0,+7
Pascal,Siakam,PF,18,41,7,15,46.7,3,5,1,5,20.0,1,7,8,2,4,0,3,0,-2
Pascal,Siakam,PF,11,36,3,8,37.5,3,4,2,5,40.0,1,6,7,4,4,0,2,1,-5
Pascal,Siakam,PF,20,35,9,21,42.9,2,3,0,6,0,1,5,6,3,1,1,0,0,-2
Pascal,Siakam,PF,26,33,9,13,69.2,3,3,5,8,62.5,0,6,6,7,3,0,3,0,+22
Pascal,Siakam,PF,10,33,5,11,45.5,0,0,0,3,0,1,2,3,6,5,0,2,0,-14
Pascal,Siakam,PF,8,36,2,12,16.7,3,3,1,4,25.0,0,6,6,5,3,1,3,0,+7
Pascal,Siakam,PF,31,37,15,25,60.0,1,4,0,5,0,4,8,12,5,2,0,3,0,+7
Pascal,Siakam,PF,17,28,6,17,35.3,5,6,0,4,0,2,5,7,3,0,3,3,0,-9
Pascal,Siakam,PF,39,38,15,23,65.2,9,14,0,3,0,2,9,11,7,1,3,6,0,+18
Pascal,Siakam,PF,11,29,4,9,44.4,3,5,0,2,0,2,5,7,5,1,0,4,1,-21
Pascal,Siakam,PF,23,29,11,16,68.8,1,1,0,1,0,1,5,6,5,5,0,3,0,+17
Pascal,Siakam,PF,23,29,10,18,55.6,2,3,1,2,50.0,3,4,7,6,1,1,0,0,+23
Pascal,Siakam,PF,16,30,5,10,50.0,6,8,0,2,0,0,2,2,8,1,1,2,0,-7
Pascal,Siakam,PF,36,38,13,24,54.2,9,11,1,3,33.3,3,7,10,4,2,0,2,1,-5
Pascal,Siakam,PF,18,37,6,12,50.0,5,6,1,6,16.7,0,3,3,8,2,1,3,0,+14
Pascal,Siakam,PF,18,38,7,17,41.2,4,6,0,4,0,4,4,8,6,0,1,4,1,+6
Pascal,Siakam,PF,17,35,6,18,33.3,5,7,0,4,0,2,8,10,2,2,1,2,0,-14
Pascal,Siakam,PF,22,36,9,21,42.9,3,3,1,5,20.0,3,6,9,3,4,1,3,0,+9
