player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Obi,Toppin,PF,7,16,3,7,42.9,0,1,1,2,50.0,2,3,5,0,1,0,1,0,-9
Obi,Toppin,PF,8,18,3,7,42.9,1,2,1,4,25.0,3,3,6,1,1,0,1,0,-7
Obi,Toppin,PF,7,18,3,6,50.0,0,0,1,3,33.3,0,3,3,1,1,2,1,1,+19
Obi,Toppin,PF,17,26,6,9,66.7,4,4,1,3,33.3,0,9,9,1,1,0,0,0,+7
Obi,Toppin,PF,11,19,4,9,44.4,1,1,2,5,40.0,1,3,4,1,0,1,0,0,+7
Obi,Toppin,PF,4,18,2,5,40.0,0,0,0,1,0,2,2,4,0,1,0,1,1,-6
Obi,Toppin,PF,6,24,2,5,40.0,2,2,0,2,0,2,6,8,0,1,1,0,0,+9
Obi,Toppin,PF,11,25,5,6,83.3,1,2,0,1,0,2,0,2,1,1,2,1,0,-41
Obi,Toppin,PF,6,21,3,6,50.0,0,0,0,1,0,1,3,4,1,2,0,0,0,0
Obi,Toppin,PF,11,26,5,7,71.4,0,0,1,2,50.0,1,3,4,0,2,0,0,0,+1
Obi,Toppin,PF,19,27,6,11,54.5,6,6,1,3,33.3,0,2,2,1,3,2,1,0,+25
Obi,Toppin,PF,6,19,3,7,42.9,0,0,0,3,0,0,1,1,0,2,3,1,1,-5
Obi,Toppin,PF,7,13,2,3,66.7,2,2,1,2,50.0,0,0,0,0,4,0,1,0,+6
Obi,Toppin,PF,14,21,6,7,85.7,0,0,2,3,66.7,0,1,1,1,2,0,0,0,-14
Obi,Toppin,PF,27,37,12,15,80.0,2,4,1,3,33.3,1,5,6,1,1,0,0,1,+13
Obi,Toppin,PF,6,16,3,8,37.5,0,0,0,3,0,2,2,4,2,2,0,2,0,-14
Obi,Toppin,PF,21,34,9,16,56.3,2,2,1,6,16.7,0,1,1,6,3,1,2,1,-3
Obi,Toppin,PF,16,36,6,9,66.7,2,2,2,5,40.0,0,3,3,1,1,2,3,0,+5
Obi,Toppin,PF,15,24,6,8,75.0,0,0,3,5,60.0,1,2,3,2,1,0,0,0,+5
Obi,Toppin,PF,9,19,3,9,33.3,2,2,1,4,25.0,2,2,4,2,0,0,1,1,0
Obi,Toppin,PF,25,33,10,15,66.7,2,5,3,7,42.9,1,1,2,3,5,0,2,1,+6
Obi,Toppin,PF,22,35,7,8,87.5,4,4,4,5,80.0,0,2,2,2,5,1,0,4,+18
Obi,Toppin,PF,12,26,4,8,50.0,2,2,2,4,50.0,0,2,2,1,1,0,0,2,-2
Obi,Toppin,PF,14,21,6,8,75.0,1,2,1,3,33.3,3,3,6,2,3,0,0,0,-7
Obi,Toppin,PF,13,29,5,11,45.5,0,0,3,7,42.9,1,1,2,0,5,0,0,0,-12
Obi,Toppin,PF,6,12,3,5,60.0,0,0,0,2,0,0,3,3,0,1,0,2,0,0
Obi,Toppin,PF,5,20,2,7,28.6,0,0,1,3,33.3,3,4,7,1,6,0,0,1,-6
Obi,Toppin,PF,16,26,6,8,75.0,2,3,2,3,66.7,1,4,5,2,2,0,1,0,-11
Obi,Toppin,PF,7,17,3,4,75.0,0,0,1,2,50.0,2,2,4,1,2,0,1,0,-17
Obi,Toppin,PF,14,30,6,8,75.0,0,0,2,3,66.7,1,2,3,4,3,0,0,2,-26
Obi,Toppin,PF,6,23,2,5,40.0,2,2,0,3,0,0,4,4,0,1,0,1,0,+25
Obi,Toppin,PF,22,28,8,14,57.1,1,2,5,9,55.6,2,3,5,1,3,2,1,0,+9
Obi,Toppin,PF,3,24,1,6,16.7,1,2,0,3,0,0,6,6,0,2,0,0,1,+2
Obi,Toppin,PF,7,15,2,3,66.7,2,3,1,2,50.0,1,1,2,3,2,1,3,0,-14
Obi,Toppin,PF,3,25,1,4,25.0,0,0,1,3,33.3,1,11,12,0,0,0,1,1,-11
Obi,Toppin,PF,9,20,4,6,66.7,0,1,1,1,100.0,2,6,8,2,4,0,0,3,+2
Obi,Toppin,PF,11,29,4,9,44.4,2,2,1,3,33.3,2,1,3,2,4,1,0,0,+35
Obi,Toppin,PF,15,27,5,12,41.7,3,4,2,6,33.3,3,5,8,4,3,1,0,0,-6
Obi,Toppin,PF,9,22,3,6,50.0,0,0,3,5,60.0,0,3,3,2,2,1,1,0,+23
Obi,Toppin,PF,10,23,4,8,50.0,0,0,2,4,50.0,1,2,3,1,1,0,0,0,-8
Obi,Toppin,PF,13,20,4,5,80.0,2,2,3,4,75.0,0,0,0,1,2,0,0,0,+3
Obi,Toppin,PF,15,28,6,10,60.0,0,0,3,6,50.0,1,6,7,3,2,0,2,0,+3
Obi,Toppin,PF,18,21,7,7,100.0,4,4,0,0,0,2,5,7,4,4,0,1,0,+10
Obi,Toppin,PF,11,25,4,5,80.0,0,0,3,3,100.0,0,3,3,1,2,1,0,0,+8
Obi,Toppin,PF,2,13,1,3,33.3,0,0,0,0,0,1,2,3,2,1,1,0,0,+5
Obi,Toppin,PF,10,24,4,6,66.7,0,0,2,4,50.0,0,3,3,4,1,0,0,1,+21
Obi,Toppin,PF,0,11,0,3,0,0,0,0,3,0,0,0,0,2,2,0,2,0,-16
Obi,Toppin,PF,13,26,6,12,50.0,1,2,0,2,0,2,4,6,1,1,0,0,0,+4
Obi,Toppin,PF,4,17,2,4,50.0,0,0,0,0,0,0,2,2,0,0,0,0,0,+4
Obi,Toppin,PF,13,19,6,11,54.5,0,0,1,4,25.0,2,3,5,0,2,0,3,1,-19
Obi,Toppin,PF,23,33,10,15,66.7,3,5,0,2,0,6,5,11,3,2,1,1,1,+7
Obi,Toppin,PF,3,17,1,5,20.0,1,1,0,2,0,0,0,0,2,2,1,2,0,+6
Obi,Toppin,PF,11,22,5,11,45.5,0,0,1,4,25.0,3,5,8,2,1,0,2,0,-10
Obi,Toppin,PF,12,22,4,10,40.0,2,2,2,2,100.0,2,1,3,2,0,1,1,2,+3
Obi,Toppin,PF,6,18,2,6,33.3,1,2,1,4,25.0,0,4,4,1,2,1,1,1,-1
Obi,Toppin,PF,0,11,0,1,0,0,0,0,1,0,0,1,1,2,1,0,3,0,-14
Obi,Toppin,PF,3,16,1,1,100.0,0,0,1,1,100.0,0,4,4,4,0,1,0,0,+2
Obi,Toppin,PF,7,20,3,5,60.0,0,0,1,3,33.3,0,1,1,2,1,0,1,0,-8
Obi,Toppin,PF,9,17,3,5,60.0,1,2,2,2,100.0,0,2,2,0,0,1,2,0,+7
Obi,Toppin,PF,6,17,2,5,40.0,0,0,2,4,50.0,1,3,4,1,0,0,1,0,-8
Obi,Toppin,PF,15,25,6,9,66.7,1,2,2,5,40.0,2,3,5,0,1,2,0,2,+2
Obi,Toppin,PF,9,16,3,6,50.0,1,2,2,3,66.7,3,3,6,3,1,1,1,1,+21
Obi,Toppin,PF,8,19,3,5,60.0,0,0,2,4,50.0,0,2,2,4,1,0,2,0,+16
Obi,Toppin,PF,4,19,2,8,25.0,0,0,0,5,0,0,3,3,0,2,2,1,0,+6
Obi,Toppin,PF,16,24,6,9,66.7,2,2,2,4,50.0,2,4,6,2,0,0,0,2,+3
Obi,Toppin,PF,5,16,2,5,40.0,0,0,1,3,33.3,1,1,2,0,3,1,1,0,+7
Obi,Toppin,PF,2,16,1,3,33.3,0,0,0,1,0,0,2,2,0,2,0,0,0,0
Obi,Toppin,PF,14,17,5,6,83.3,2,2,2,3,66.7,0,2,2,0,1,0,1,0,+5
Obi,Toppin,PF,2,14,1,3,33.3,0,0,0,1,0,0,3,3,0,2,0,1,2,-10
Obi,Toppin,PF,17,25,7,9,77.8,2,2,1,2,50.0,1,7,8,0,1,1,1,1,+8
Obi,Toppin,PF,10,19,4,6,66.7,2,4,0,1,0,1,3,4,1,1,0,0,0,0
Obi,Toppin,PF,4,18,2,7,28.6,0,0,0,3,0,1,3,4,4,2,0,2,1,-3
Obi,Toppin,PF,6,18,3,5,60.0,0,0,0,2,0,2,1,3,2,2,1,0,0,+6
Obi,Toppin,PF,10,20,4,6,66.7,1,1,1,2,50.0,1,7,8,2,1,1,0,0,+8
Obi,Toppin,PF,5,15,1,3,33.3,2,2,1,3,33.3,1,2,3,1,1,1,0,0,+14
Obi,Toppin,PF,8,15,3,6,50.0,0,0,2,4,50.0,0,3,3,0,1,0,1,0,-4
Obi,Toppin,PF,11,19,4,6,66.7,0,0,3,5,60.0,1,2,3,1,4,0,1,0,+4
Obi,Toppin,PF,7,25,3,4,75.0,0,0,1,1,100.0,2,2,4,1,0,1,0,0,+3
Obi,Toppin,PF,5,11,2,2,100.0,1,1,0,0,0,0,1,1,2,1,1,1,1,-15
Obi,Toppin,PF,7,17,3,3,100.0,0,0,1,1,100.0,0,2,2,0,1,0,1,1,-4
Obi,Toppin,PF,14,19,6,9,66.7,1,2,1,3,33.3,1,3,4,3,2,1,1,0,+9
Obi,Toppin,PF,14,20,5,9,55.6,1,1,3,6,50.0,3,5,8,1,2,1,2,3,+17
Obi,Toppin,PF,15,25,6,10,60.0,2,2,1,3,33.3,2,6,8,1,1,2,1,1,+18
Obi,Toppin,PF,13,16,5,7,71.4,0,0,3,4,75.0,0,3,3,2,3,0,0,0,+4
Obi,Toppin,PF,23,22,10,14,71.4,0,0,3,7,42.9,1,5,6,2,3,1,0,1,+5
Obi,Toppin,PF,10,16,4,8,50.0,2,2,0,2,0,1,1,2,6,1,2,1,1,+3
Obi,Toppin,PF,7,12,2,6,33.3,2,2,1,4,25.0,1,1,2,3,1,1,2,0,+11
Obi,Toppin,PF,4,13,2,6,33.3,0,0,0,4,0,0,5,5,0,1,0,0,1,-9
Obi,Toppin,PF,9,21,4,11,36.4,0,1,1,5,20.0,2,6,8,0,2,1,0,0,+3
Obi,Toppin,PF,15,17,6,11,54.5,1,2,2,6,33.3,0,6,6,0,3,0,1,0,-3
Obi,Toppin,PF,13,17,6,9,66.7,0,0,1,2,50.0,0,2,2,0,2,0,0,0,-2
Obi,Toppin,PF,12,23,3,7,42.9,4,4,2,5,40.0,1,5,6,4,1,0,1,0,-18
Obi,Toppin,PF,21,24,8,15,53.3,2,2,3,10,30.0,2,6,8,2,1,0,2,1,+9
Obi,Toppin,PF,12,19,5,7,71.4,0,0,2,3,66.7,0,6,6,3,2,0,0,1,+4
Obi,Toppin,PF,20,20,7,10,70.0,4,5,2,4,50.0,1,2,3,1,0,1,0,0,+9
Obi,Toppin,PF,2,19,1,4,25.0,0,0,0,1,0,1,0,1,3,1,1,1,0,-17
Obi,Toppin,PF,14,18,6,11,54.5,0,0,2,3,66.7,0,1,1,2,0,1,0,1,+21
Obi,Toppin,PF,7,21,2,5,40.0,3,3,0,2,0,0,5,5,2,1,0,1,0,-25
