player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Myles,Turner,C,6,16,1,4,25.0,4,4,0,3,0,0,3,3,0,0,1,0,3,-7
Myles,Turner,C,13,16,4,5,80.0,2,2,3,3,100.0,0,4,4,0,6,1,1,3,+7
Myles,Turner,C,8,23,3,9,33.3,2,4,0,3,0,2,7,9,2,3,0,1,1,+20
Myles,Turner,C,11,23,5,8,62.5,1,2,0,2,0,0,8,8,1,4,0,2,3,+14
Myles,Turner,C,20,29,7,14,50.0,5,5,1,5,20.0,1,11,12,1,5,0,2,2,-5
Myles,Turner,C,20,32,6,14,42.9,5,8,3,8,37.5,2,9,11,3,2,0,1,2,-9
Myles,Turner,C,8,22,4,12,33.3,0,0,0,3,0,1,4,5,3,1,1,1,1,-20
Myles,Turner,C,27,31,9,14,64.3,5,6,4,5,80.0,1,8,9,0,4,2,3,2,+11
Myles,Turner,C,14,27,5,9,55.6,1,2,3,5,60.0,0,6,6,2,4,1,4,0,+12
Myles,Turner,C,15,21,5,7,71.4,4,4,1,1,100.0,4,7,11,2,3,0,0,1,+19
Myles,Turner,C,22,23,8,12,66.7,6,8,0,2,0,3,3,6,0,2,0,0,3,+3
Myles,Turner,C,21,37,8,16,50.0,1,1,4,9,44.4,1,5,6,4,4,0,1,1,+14
Myles,Turner,C,22,29,7,17,41.2,4,4,4,9,44.4,2,3,5,0,4,1,3,3,-6
Myles,Turner,C,17,19,5,11,45.5,6,8,1,4,25.0,1,2,3,0,6,1,1,1,+5
Myles,Turner,C,10,23,3,10,30.0,4,6,0,3,0,3,1,4,3,2,1,1,3,-20
Myles,Turner,C,11,25,4,7,57.1,3,4,0,2,0,1,8,9,1,3,0,1,4,+5
Myles,Turner,C,17,29,7,11,63.6,1,2,2,3,66.7,1,7,8,0,3,1,2,2,+13
Myles,Turner,C,23,27,8,14,57.1,6,6,1,3,33.3,5,5,10,2,5,1,2,5,+23
Myles,Turner,C,11,27,5,11,45.5,1,1,0,3,0,1,7,8,0,4,2,1,2,+2
Myles,Turner,C,13,29,5,14,35.7,3,5,0,5,0,4,5,9,2,3,0,0,1,-13
Myles,Turner,C,17,30,8,12,66.7,0,0,1,4,25.0,2,8,10,1,4,0,2,2,+10
Myles,Turner,C,17,34,7,16,43.8,1,1,2,6,33.3,1,9,10,1,1,1,0,1,+22
Myles,Turner,C,26,32,9,18,50.0,6,8,2,8,25.0,1,9,10,2,2,1,0,3,-5
Myles,Turner,C,10,25,3,11,27.3,3,4,1,5,20.0,1,6,7,1,6,1,2,0,-17
Myles,Turner,C,23,31,10,15,66.7,3,6,0,2,0,3,5,8,1,2,1,2,3,+12
Myles,Turner,C,22,33,8,14,57.1,4,4,2,2,100.0,4,5,9,0,4,0,2,1,-5
Myles,Turner,C,6,20,2,10,20.0,1,2,1,4,25.0,2,2,4,1,1,0,1,3,-17
Myles,Turner,C,12,21,2,7,28.6,7,8,1,2,50.0,2,3,5,0,1,1,1,0,-15
Myles,Turner,C,18,25,5,9,55.6,7,7,1,4,25.0,1,5,6,0,2,0,1,2,+19
Myles,Turner,C,15,36,5,10,50.0,5,5,0,2,0,3,3,6,2,5,1,4,4,-2
Myles,Turner,C,24,29,9,11,81.8,4,4,2,4,50.0,1,6,7,0,4,1,1,4,+18
Myles,Turner,C,18,24,5,9,55.6,6,7,2,3,66.7,1,4,5,1,5,0,0,2,+4
Myles,Turner,C,24,26,8,12,66.7,7,7,1,2,50.0,0,6,6,0,5,0,3,3,+30
Myles,Turner,C,28,31,10,17,58.8,2,3,6,8,75.0,1,7,8,2,0,0,1,0,+17
Myles,Turner,C,13,28,3,5,60.0,7,7,0,2,0,1,3,4,0,5,0,0,2,-20
Myles,Turner,C,15,30,6,9,66.7,2,4,1,4,25.0,0,7,7,2,4,0,2,2,+15
Myles,Turner,C,27,22,10,14,71.4,5,5,2,3,66.7,2,3,5,3,0,1,1,1,+25
Myles,Turner,C,12,30,5,11,45.5,2,4,0,5,0,3,4,7,2,3,0,0,0,-11
Myles,Turner,C,16,35,7,13,53.8,1,2,1,3,33.3,2,6,8,1,2,0,2,0,-1
Myles,Turner,C,18,31,7,15,46.7,3,3,1,5,20.0,6,7,13,3,3,0,2,2,+6
Myles,Turner,C,12,26,5,9,55.6,2,3,0,3,0,2,5,7,4,2,2,3,2,+9
Myles,Turner,C,12,26,5,11,45.5,2,3,0,4,0,1,3,4,1,5,2,3,1,-5
Myles,Turner,C,12,17,4,8,50.0,3,4,1,2,50.0,1,3,4,0,5,0,2,0,-8
Myles,Turner,C,18,32,6,12,50.0,5,7,1,4,25.0,0,2,2,1,4,0,1,1,-8
Myles,Turner,C,29,34,10,17,58.8,3,3,6,10,60.0,2,10,12,1,3,0,1,5,+6
Myles,Turner,C,12,19,5,11,45.5,1,2,1,2,50.0,1,1,2,1,1,0,1,2,-25
Myles,Turner,C,22,37,8,18,44.4,6,7,0,5,0,0,6,6,1,3,1,2,0,-9
Myles,Turner,C,20,27,7,12,58.3,3,4,3,6,50.0,3,6,9,1,4,1,1,2,+21
Myles,Turner,C,5,18,2,6,33.3,1,1,0,2,0,0,3,3,2,2,0,2,0,-2
