game,date
0,2023-10-08T22:00:00.000Z
1,2023-10-09T23:30:00.000Z
2,2023-10-11T23:00:00.000Z
3,2023-10-17T23:30:00.000Z
4,2023-10-19T23:00:00.000Z
5,2023-10-25T23:00:00.000Z
6,2023-10-27T23:30:00.000Z
7,2023-10-30T23:00:00.000Z
8,2023-11-01T23:30:00.000Z
9,2023-11-05T00:00:00.000Z
10,2023-11-07T01:00:00.000Z
11,2023-11-09T00:00:00.000Z
12,2023-11-11T00:30:00.000Z
13,2023-11-12T00:00:00.000Z
14,2023-11-14T00:30:00.000Z
15,2023-11-16T00:30:00.000Z
16,2023-11-18T00:30:00.000Z
17,2023-11-20T01:00:00.000Z
18,2023-11-21T00:00:00.000Z
19,2023-11-23T00:30:00.000Z
20,2023-11-24T19:30:00.000Z
21,2023-11-26T23:00:00.000Z
22,2023-11-29T00:30:00.000Z
23,2023-12-02T00:30:00.000Z
24,2023-12-13T00:30:00.000Z
25,2023-12-15T00:30:00.000Z
26,2023-12-16T00:30:00.000Z
27,2023-12-17T20:00:00.000Z
28,2023-12-20T03:00:00.000Z
29,2023-12-21T03:00:00.000Z
30,2023-12-23T20:30:00.000Z
31,2023-12-25T22:00:00.000Z
32,2023-12-29T00:30:00.000Z
33,2023-12-30T00:30:00.000Z
34,2024-01-01T00:00:00.000Z
35,2024-01-03T01:00:00.000Z
36,2024-01-06T00:00:00.000Z
37,2024-01-07T00:00:00.000Z
38,2024-01-09T00:00:00.000Z
39,2024-01-11T00:00:00.000Z
40,2024-01-12T00:30:00.000Z
41,2024-01-14T00:00:00.000Z
42,2024-01-16T00:30:00.000Z
43,2024-01-18T00:30:00.000Z
44,2024-01-20T00:30:00.000Z
45,2024-01-22T00:00:00.000Z
46,2024-01-23T01:30:00.000Z
47,2024-01-26T00:30:00.000Z
48,2024-01-28T00:00:00.000Z
49,2024-01-30T00:30:00.000Z
50,2024-01-31T00:30:00.000Z
51,2024-02-02T00:30:00.000Z
52,2024-02-04T23:00:00.000Z
53,2024-02-08T00:30:00.000Z
54,2024-02-10T00:30:00.000Z
55,2024-02-11T19:00:00.000Z
56,2024-02-14T00:30:00.000Z
57,2024-02-15T00:30:00.000Z
58,2024-02-23T01:00:00.000Z
59,2024-02-25T01:30:00.000Z
60,2024-02-28T00:30:00.000Z
61,2024-03-02T00:30:00.000Z
62,2024-03-03T20:30:00.000Z
63,2024-03-06T00:30:00.000Z
64,2024-03-08T03:00:00.000Z
65,2024-03-10T01:30:00.000Z
66,2024-03-12T02:30:00.000Z
67,2024-03-13T01:00:00.000Z
68,2024-03-14T23:30:00.000Z
69,2024-03-17T22:00:00.000Z
70,2024-03-18T23:30:00.000Z
71,2024-03-20T23:30:00.000Z
72,2024-03-22T23:00:00.000Z
73,2024-03-24T00:00:00.000Z
74,2024-03-25T23:30:00.000Z
75,2024-03-28T23:30:00.000Z
76,2024-03-30T21:00:00.000Z
77,2024-04-01T23:00:00.000Z
78,2024-04-03T23:30:00.000Z
79,2024-04-05T23:30:00.000Z
80,2024-04-07T22:00:00.000Z
81,2024-04-09T23:30:00.000Z
82,2024-04-11T23:30:00.000Z
83,2024-04-12T23:30:00.000Z
84,2024-04-14T17:00:00.000Z
85,2023-12-05T00:30:00.000Z
86,2023-12-09T00:30:00.000Z
87,2024-04-21T17:00:00.000Z
88,2024-04-24T23:00:00.000Z
89,2024-04-27T22:00:00.000Z
90,2024-04-29T23:30:00.000Z
91,2024-05-01T23:30:00.000Z
92,2024-05-07T23:00:00.000Z
93,2024-05-09T23:00:00.000Z
94,2024-05-12T00:30:00.000Z
95,2024-05-13T23:00:00.000Z
96,2024-05-15T23:00:00.000Z
97,2024-05-18T00:30:00.000Z
98,2024-05-19T04:00:00.000Z
