league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2018,31,3,False,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,12,16,36,southeast,5,6,10,13,17,12,29,.354,5,24,29,53,.646,5
standard,2018,21,1,False,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,9,29,23,southeast,2,10,6,3,25,14,39,.476,6,16,27,43,.524,4
standard,2018,21,1,False,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,10,23,29,southeast,3,7,9,3,19,20,39,.476,4,22,21,43,.524,6
standard,2018,18,4,True,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,7,30,22,southeast,1,10,6,0,25,17,42,.512,8,16,24,40,.488,2
standard,2018,28,4,False,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,11,19,33,southeast,4,7,9,10,22,10,32,.390,2,19,31,50,.610,8
standard,2018,11,1,True,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,east,4,35,17,atlantic,3,10,6,9,28,21,49,.598,6,13,20,33,.402,4
standard,2018,18,3,True,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,east,6,29,23,atlantic,4,8,8,16,23,19,42,.512,6,18,22,40,.488,4
standard,2018,43,1,False,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,east,15,11,41,atlantic,5,2,14,41,9,8,17,.207,3,32,33,65,.793,7
standard,2018,9,1,True,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,east,3,31,21,atlantic,2,8,8,7,31,20,51,.622,4,10,21,31,.378,6
standard,2018,2,2,True,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,east,2,36,16,atlantic,1,12,4,0,32,26,58,.707,7,9,15,24,.293,3
standard,2018,38,3,False,,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,east,13,16,36,central,4,3,13,38,9,13,22,.268,2,32,28,60,.732,8
