id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.africa.jersey,leagues.africa.active,leagues.africa.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos
522,Myles,Turner,Texas,Texas/USA,1996-03-24,USA,2015,6,6,11,2.11,250,113.4,33.0,True,C-F,,,,,,
236,Buddy,Hield,Oklahoma,Oklahoma/Bahamas,1992-12-17,Bahamas,2016,5,6,4,1.93,220,99.8,24.0,True,G,,,,,,
479,Pascal,Siakam,New Mexico State,New Mexico State/Cameroon,1994-04-02,Cameroon,2016,5,6,8,2.03,230,104.3,43.0,True,F,43.0,True,F,,,
886,Daniel,Theis,Brose Bamberg,Brose Bamberg/Germany,1992-04-04,Germany,2017,4,6,9,2.06,245,111.1,27.0,True,F-C,,,,,,
944,Bruce,Brown,Miami,Miami/USA,1996-08-15,USA,2018,3,6,4,1.93,202,91.6,11.0,True,G-F,,,,6.0,True,G
3476,Andrew,Nembhard,,,,,0,0,,,,,,2.0,True,G-F,,,,2.0,True,G
2628,Jordan,Nwora,Louisville,Louisville/USA,1998-09-09,USA,2020,1,6,8,2.03,225,102.1,13.0,True,F,,,,13.0,True,F
2658,Obi,Toppin,Dayton,Dayton/USA,1998-03-04,USA,2020,1,6,9,2.06,220,99.8,1.0,True,F,,,,1.0,True,F
2595,Tyrese,Haliburton,Iowa State,Iowa State/USA,2000-02-29,USA,2020,1,6,5,1.96,185,83.9,,True,G,,,,,,
2626,Aaron,Nesmith,Vanderbilt,Vanderbilt/USA,1999-10-16,USA,2020,1,6,5,1.96,215,97.5,23.0,True,G-F,,,,23.0,True,G
2644,Jalen,Smith,Maryland,Maryland/USA,2000-03-16,USA,2020,1,6,10,2.08,215,97.5,25.0,True,F-C,,,,10.0,True,F
2817,Isaiah,Jackson,Kentucky,Kentucky/USA,2002-01-10,USA,2021,0,6,10,2.08,205,93.0,22.0,True,F,,,,22.0,True,F
3466,Bennedict,Mathurin,,,,,0,0,,,,,,,True,G-F,,,,,True,G
3423,Kendall,Brown,,,,,0,0,,,,,,10.0,True,G,,,,10.0,True,G-F
3452,Quenton,Jackson,,,,,0,0,,,,,,29.0,True,G,,,,3.0,True,G-F
3979,Ben,Sheppard,Belmont,,,,0,0,6,,,190,,26.0,True,G,,,,,,
3980,Oscar,Tshiebwe,Kentucky,,,,0,0,6,,,260,,44.0,True,C,,,,,,
3981,Jarace,Walker,Houston,,,,0,0,6,,,240,,5.0,True,F,,,,,,
3982,Isaiah,Wong,Miami,,,,0,0,6,,,184,,21.0,True,G,,,,,,
274,James,Johnson,Wake Forest,Wake Forest/USA,1987-02-20,USA,2009,0,,,,,,16.0,True,F,,,,,,
351,Doug,McDermott,Creighton,Creighton/USA,1992-01-03,USA,2014,7,6,7,2.01,225,102.1,17.0,True,F,,,,,,
348,T.J.,McConnell,Arizona,Arizona/USA,1992-03-25,USA,2015,6,6,1,1.85,190,86.2,9.0,True,G,,,,,,
