id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.sacramento.jersey,leagues.sacramento.active,leagues.sacramento.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos,leagues.utah.jersey,leagues.utah.active,leagues.utah.pos
519,Karl-Anthony,Towns,Kentucky,Kentucky/USA,1995-11-15,USA,2015,6,6,11,2.11,248,112.5,32.0,True,C-F,,,,,,,,,
806,Justin,Jackson,North Carolina,North Carolina/USA,1995-03-28,USA,2017,0,,,,,,44.0,True,F,25.0,True,F,52.0,True,F,,,
845,Monte,Morris,Iowa State,Iowa State/USA,1995-06-27,USA,2017,4,6,2,1.88,183,83.0,22.0,True,G,,,,11.0,True,G,,,
945,Troy,Brown Jr.,Oregon,Oregon/USA,1999-07-28,USA,2018,3,6,6,1.98,215,97.5,7.0,True,G-F,,,,6.0,True,F,,,
1001,Shake,Milton,Southern Methodist,Southern Methodist/USA,1996-09-26,USA,2018,3,6,5,1.96,205,93.0,18.0,True,G-F,,,,18.0,True,G,,,
997,Jordan,McLaughlin,Southern California,Southern California/USA,1996-04-09,USA,2019,2,5,11,1.8,185,83.9,6.0,True,G,,,,26.0,True,G,,,
1845,Nickeil,Alexander-Walker,Virginia Tech,Virginia Tech/Canada,1998-09-02,Canada,2019,2,6,5,1.96,205,93.0,6.0,True,G,,,,,True,G,,,
2146,Naz,Reid,,,,,0,0,,,,,,11.0,True,C-F,,,,11.0,True,C,,,
2584,Anthony,Edwards,Georgia,Georgia/USA,2001-08-05,USA,2020,1,6,4,1.93,225,102.1,1.0,True,G,,,,,,,,,
2621,Jaden,McDaniels,Washington,Washington/USA,2000-09-29,USA,2020,1,6,9,2.06,185,83.9,3.0,True,F,,,,3.0,True,F,,,
3154,Daishen,Nix,NBA G League Ignite,NBA G League Ignite/USA,2002-02-13,USA,2021,0,6,5,1.96,224,101.6,15.0,True,G,,,,15.0,True,G,,,
2608,Vit,Krejci,Zaragoza,Zaragoza/Czech Republic,2000-06-19,Czech Republic,2021,0,6,8,2.03,195,88.5,27.0,True,G,,,,27.0,True,G,27.0,True,G
3195,Matt,Ryan,Tennessee-Chattanooga,Tennessee-Chattanooga/USA,1997-04-17,USA,2021,0,6,7,2.01,215,97.5,37.0,True,F,,,,37.0,True,F,,,
2807,Luka,Garza,Iowa,Iowa/USA,1998-12-27,USA,2021,0,6,10,2.08,243,110.2,55.0,True,C,,,,40.0,True,C,,,
3474,Wendell,Moore Jr.,,,,,0,0,,,,,,7.0,True,G,,,,15.0,True,F,,,
3470,Josh,Minott,,,,,0,0,,,,,,8.0,True,F,,,,7.0,True,F,,,
3456,Trevor,Keels,,,,,0,0,,,,,,3.0,True,G,,,,8.0,True,G,,,
3465,Tyrese,Martin,,,,,0,0,,,,,,22.0,True,G,,,,22.0,True,G,,,
4001,Leonard,Miller,,,,,0,0,6,,,210,,,True,F,,,,,,,,,
114,Mike,Conley,Ohio State,Ohio State/USA,1987-10-11,USA,2007,14,6,1,1.85,175,79.4,11.0,True,G,,,,,,,,,
192,Rudy,Gobert,Cholet,Cholet/France,1992-06-26,France,2013,8,7,1,2.16,258,117.0,27.0,True,C,,,,,,,,,
540,T.J.,Warren,North Carolina State,North Carolina State/USA,1993-09-05,USA,2014,7,6,8,2.03,220,99.8,1.0,True,F,,,,,,,,,
18,Kyle,Anderson,UCLA,UCLA/USA,1993-09-20,USA,2014,7,6,9,2.06,230,104.3,5.0,True,F-G,,,,,,,,,
