game,date
0,2023-10-10T00:00:00.000Z
1,2023-10-12T23:00:00.000Z
2,2023-10-15T21:00:00.000Z
3,2023-10-18T00:00:00.000Z
4,2023-10-20T00:00:00.000Z
5,2023-10-26T00:00:00.000Z
6,2023-10-27T23:30:00.000Z
7,2023-10-29T19:30:00.000Z
8,2023-10-31T00:00:00.000Z
9,2023-11-01T23:30:00.000Z
10,2023-11-04T00:00:00.000Z
11,2023-11-07T01:00:00.000Z
12,2023-11-09T01:00:00.000Z
13,2023-11-11T03:00:00.000Z
14,2023-11-13T01:00:00.000Z
15,2023-11-15T00:30:00.000Z
16,2023-11-17T03:00:00.000Z
17,2023-11-19T01:30:00.000Z
18,2023-11-20T02:00:00.000Z
19,2023-11-23T01:00:00.000Z
20,2023-11-25T22:00:00.000Z
21,2023-11-29T01:00:00.000Z
22,2023-12-01T01:00:00.000Z
23,2023-12-03T02:00:00.000Z
24,2023-12-12T01:00:00.000Z
25,2023-12-15T03:00:00.000Z
26,2023-12-17T02:00:00.000Z
27,2023-12-19T01:00:00.000Z
28,2023-12-22T01:00:00.000Z
29,2023-12-24T01:00:00.000Z
30,2023-12-27T01:00:00.000Z
31,2023-12-28T01:00:00.000Z
32,2023-12-30T02:00:00.000Z
33,2024-01-01T00:00:00.000Z
34,2024-01-03T01:00:00.000Z
35,2024-01-04T00:30:00.000Z
36,2024-01-06T00:30:00.000Z
37,2024-01-09T00:00:00.000Z
38,2024-01-11T00:30:00.000Z
39,2024-01-12T01:00:00.000Z
40,2024-01-14T01:00:00.000Z
41,2024-01-16T03:30:00.000Z
42,2024-01-17T03:00:00.000Z
43,2024-01-19T02:00:00.000Z
44,2024-01-21T01:00:00.000Z
45,2024-01-24T01:00:00.000Z
46,2024-01-25T02:30:00.000Z
47,2024-01-27T01:00:00.000Z
48,2024-01-28T19:00:00.000Z
49,2024-01-30T01:00:00.000Z
50,2024-02-01T01:00:00.000Z
51,2024-02-03T01:00:00.000Z
52,2024-02-05T00:00:00.000Z
53,2024-02-07T02:00:00.000Z
54,2024-02-10T20:00:00.000Z
55,2024-02-11T20:00:00.000Z
56,2024-02-14T00:30:00.000Z
57,2024-02-23T01:00:00.000Z
58,2024-02-24T01:00:00.000Z
59,2024-02-26T00:00:00.000Z
60,2024-02-28T03:00:00.000Z
61,2024-03-01T01:30:00.000Z
62,2024-03-04T02:30:00.000Z
63,2024-03-05T03:30:00.000Z
64,2024-03-07T03:00:00.000Z
65,2024-03-09T01:00:00.000Z
66,2024-03-10T23:00:00.000Z
67,2024-03-13T00:00:00.000Z
68,2024-03-15T02:00:00.000Z
69,2024-03-17T00:00:00.000Z
70,2024-03-21T00:00:00.000Z
71,2024-03-22T23:00:00.000Z
72,2024-03-24T23:00:00.000Z
73,2024-03-27T00:00:00.000Z
74,2024-03-28T00:00:00.000Z
75,2024-03-30T00:00:00.000Z
76,2024-03-31T23:00:00.000Z
77,2024-04-02T23:30:00.000Z
78,2024-04-03T23:30:00.000Z
79,2024-04-05T23:00:00.000Z
80,2024-04-07T22:00:00.000Z
81,2024-04-10T00:00:00.000Z
82,2024-04-11T00:00:00.000Z
83,2024-04-13T00:00:00.000Z
84,2024-04-14T19:30:00.000Z
85,2023-12-07T01:00:00.000Z
86,2023-12-09T01:00:00.000Z
87,2024-04-22T01:30:00.000Z
88,2024-04-25T01:30:00.000Z
89,2024-04-27T19:30:00.000Z
90,2024-04-30T00:30:00.000Z
91,2024-05-08T01:30:00.000Z
92,2024-05-10T01:30:00.000Z
93,2024-05-11T19:30:00.000Z
94,2024-05-14T01:30:00.000Z
95,2024-05-16T01:30:00.000Z
96,2024-05-19T00:30:00.000Z
97,2024-05-21T00:30:00.000Z
