player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Shai,Gilgeous-Alexander,PG,12,22,3,4,75.0,5,6,1,1,100.0,0,2,2,3,1,3,0,1,+13
Shai,Gilgeous-Alexander,PG,10,25,4,12,33.3,0,0,2,5,40.0,0,5,5,5,0,3,3,1,+11
Shai,Gilgeous-Alexander,PG,31,36,12,18,66.7,5,5,2,5,40.0,0,5,5,10,0,1,1,2,+19
Shai,Gilgeous-Alexander,PG,34,36,15,26,57.7,2,2,2,2,100.0,1,10,11,4,2,5,5,1,+4
Shai,Gilgeous-Alexander,PG,7,28,2,16,12.5,3,4,0,4,0,1,3,4,7,2,1,0,0,-22
Shai,Gilgeous-Alexander,PG,32,33,11,23,47.8,9,9,1,3,33.3,1,8,9,4,2,3,5,0,+17
Shai,Gilgeous-Alexander,PG,20,38,8,20,40.0,4,5,0,5,0,0,5,5,8,2,3,2,0,+3
Shai,Gilgeous-Alexander,PG,30,37,11,20,55.0,5,6,3,7,42.9,1,7,8,6,5,1,2,0,+14
Shai,Gilgeous-Alexander,PG,43,38,15,22,68.2,12,13,1,2,50.0,2,5,7,6,3,2,3,1,+10
Shai,Gilgeous-Alexander,PG,33,38,14,25,56.0,5,6,0,2,0,0,7,7,6,1,2,2,2,-3
Shai,Gilgeous-Alexander,PG,35,37,13,22,59.1,7,8,2,5,40.0,0,7,7,4,3,1,1,1,+7
Shai,Gilgeous-Alexander,PG,28,28,10,16,62.5,7,7,1,4,25.0,1,5,6,5,2,7,2,0,+25
Shai,Gilgeous-Alexander,PG,24,29,6,21,28.6,9,9,3,7,42.9,1,1,2,7,4,3,2,1,+12
Shai,Gilgeous-Alexander,PG,40,41,18,29,62.1,2,2,2,3,66.7,1,6,7,6,1,2,3,2,+7
Shai,Gilgeous-Alexander,PG,28,23,10,13,76.9,7,7,1,1,100.0,0,3,3,4,2,1,3,0,+26
Shai,Gilgeous-Alexander,PG,40,37,11,19,57.9,17,18,1,3,33.3,1,4,5,12,2,1,2,3,+16
Shai,Gilgeous-Alexander,PG,31,36,10,21,47.6,10,10,1,2,50.0,3,3,6,5,3,2,1,0,+1
Shai,Gilgeous-Alexander,PG,32,34,13,22,59.1,6,6,0,1,0,1,3,4,4,2,3,3,2,+4
Shai,Gilgeous-Alexander,PG,33,35,11,18,61.1,10,10,1,4,25.0,0,4,4,7,4,1,0,0,+15
Shai,Gilgeous-Alexander,PG,17,39,6,13,46.2,3,4,2,3,66.7,1,2,3,9,4,5,2,1,+8
Shai,Gilgeous-Alexander,PG,33,37,13,18,72.2,7,9,0,0,0,0,3,3,6,4,6,2,1,-6
Shai,Gilgeous-Alexander,PG,38,42,15,30,50.0,8,11,0,3,0,3,2,5,5,4,5,0,1,+11
