player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Luguentz,Dort,G,14,17,4,6,66.7,4,4,2,4,50.0,0,0,0,2,3,0,0,0,+5
Luguentz,Dort,G,24,24,8,12,66.7,3,4,5,9,55.6,0,4,4,0,0,0,0,0,+10
Luguentz,Dort,G,6,22,2,5,40.0,1,1,1,2,50.0,0,2,2,0,4,0,1,0,+1
Luguentz,Dort,G,5,24,2,8,25.0,1,2,0,4,0,2,3,5,1,3,1,2,0,-12
Luguentz,Dort,G,8,33,3,8,37.5,0,0,2,5,40.0,0,7,7,2,1,2,2,1,+13
Luguentz,Dort,G,25,39,9,13,69.2,4,6,3,4,75.0,3,3,6,2,5,1,1,1,-6
Luguentz,Dort,G,10,21,3,7,42.9,3,3,1,5,20.0,1,0,1,0,2,1,0,1,-18
Luguentz,Dort,G,7,26,3,7,42.9,0,0,1,4,25.0,0,2,2,0,1,2,0,1,+12
Luguentz,Dort,G,9,30,3,7,42.9,0,0,3,6,50.0,1,1,2,0,4,1,1,0,-3
Luguentz,Dort,G,29,30,9,12,75.0,5,7,6,6,100.0,2,3,5,0,4,0,1,0,-5
Luguentz,Dort,G,19,32,6,10,60.0,5,5,2,5,40.0,2,7,9,3,1,0,2,2,+7
Luguentz,Dort,G,14,36,3,9,33.3,5,6,3,5,60.0,1,3,4,3,3,2,3,3,-5
Luguentz,Dort,G,8,25,2,5,40.0,2,2,2,3,66.7,2,4,6,2,4,3,2,1,-11
Luguentz,Dort,G,9,33,3,10,30.0,3,4,0,5,0,2,4,6,1,5,2,0,1,+8
Luguentz,Dort,G,6,24,2,6,33.3,1,2,1,3,33.3,1,2,3,0,2,1,0,1,+22
Luguentz,Dort,G,5,24,2,5,40.0,0,0,1,3,33.3,0,2,2,0,2,1,1,0,-1
Luguentz,Dort,G,3,27,1,6,16.7,0,0,1,4,25.0,1,5,6,2,2,0,0,0,-11
Luguentz,Dort,G,12,23,4,6,66.7,2,2,2,3,66.7,0,0,0,1,1,0,0,0,+27
Luguentz,Dort,G,2,27,1,6,16.7,0,0,0,4,0,0,2,2,2,6,0,2,2,+9
Luguentz,Dort,G,5,25,2,5,40.0,0,1,1,3,33.3,1,1,2,0,3,0,1,0,-13
Luguentz,Dort,G,3,25,1,5,20.0,0,0,1,2,50.0,0,3,3,1,5,0,1,0,-6
Luguentz,Dort,G,12,28,5,9,55.6,0,0,2,5,40.0,3,4,7,3,2,2,0,1,+11
Luguentz,Dort,G,10,33,4,13,30.8,1,2,1,6,16.7,1,4,5,3,4,0,2,0,-10
Luguentz,Dort,G,4,15,0,5,0,4,4,0,3,0,2,1,3,0,1,0,1,0,-27
Luguentz,Dort,G,16,39,4,9,44.4,8,8,0,3,0,4,1,5,1,4,0,1,1,+6
Luguentz,Dort,G,17,32,5,8,62.5,4,5,3,5,60.0,2,2,4,0,4,3,1,2,+3
Luguentz,Dort,G,13,26,4,8,50.0,3,4,2,3,66.7,2,2,4,2,4,0,0,0,+5
Luguentz,Dort,G,11,21,4,7,57.1,0,0,3,6,50.0,0,2,2,2,2,0,0,1,+24
Luguentz,Dort,G,21,31,8,12,66.7,2,2,3,6,50.0,1,2,3,4,2,0,0,1,+20
Luguentz,Dort,G,8,30,3,9,33.3,0,0,2,6,33.3,1,4,5,0,2,0,2,1,-18
Luguentz,Dort,G,20,33,7,9,77.8,1,2,5,6,83.3,0,4,4,0,4,2,2,2,+14
Luguentz,Dort,G,5,27,2,9,22.2,0,0,1,4,25.0,0,2,2,2,4,0,0,0,+13
