player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Josh,Giddey,SG,10,18,5,12,41.7,0,0,0,0,0,0,1,1,5,1,0,2,0,0
Josh,Giddey,SG,5,22,2,5,40.0,1,2,0,1,0,1,6,7,4,0,0,4,0,+16
Josh,Giddey,SG,19,24,9,12,75.0,1,1,0,1,0,0,7,7,5,0,0,2,0,+12
Josh,Giddey,SG,14,25,5,12,41.7,4,8,0,2,0,1,6,7,7,2,2,3,0,-12
Josh,Giddey,SG,16,32,7,14,50.0,0,0,2,3,66.7,1,5,6,6,1,0,3,0,+19
Josh,Giddey,SG,2,28,1,8,12.5,0,0,0,1,0,0,6,6,6,1,0,3,0,-12
Josh,Giddey,SG,9,22,4,13,30.8,0,0,1,2,50.0,1,1,2,3,0,1,2,0,-18
Josh,Giddey,SG,21,28,9,18,50.0,3,5,0,2,0,3,4,7,3,1,1,1,1,+10
Josh,Giddey,SG,15,31,6,16,37.5,2,2,1,4,25.0,0,9,9,4,1,1,2,1,-6
Josh,Giddey,SG,18,31,8,15,53.3,2,2,0,3,0,0,5,5,4,2,0,6,0,+4
Josh,Giddey,SG,8,27,4,13,30.8,0,0,0,0,0,3,4,7,4,3,0,4,0,+7
Josh,Giddey,SG,8,25,4,11,36.4,0,0,0,2,0,1,4,5,6,0,2,1,1,+2
Josh,Giddey,SG,13,27,6,10,60.0,1,1,0,1,0,1,3,4,5,1,0,4,0,-19
Josh,Giddey,SG,10,32,5,12,41.7,0,0,0,1,0,3,3,6,10,1,2,4,2,+17
Josh,Giddey,SG,18,25,7,11,63.6,4,5,0,2,0,1,6,7,7,0,0,3,2,+20
Josh,Giddey,SG,19,26,8,14,57.1,0,0,3,3,100.0,2,4,6,1,1,2,3,0,-3
Josh,Giddey,SG,11,22,4,10,40.0,2,2,1,2,50.0,2,3,5,2,2,1,0,2,+4
Josh,Giddey,SG,6,23,3,6,50.0,0,0,0,0,0,0,4,4,5,1,1,4,0,+12
Josh,Giddey,SG,10,29,4,13,30.8,1,2,1,3,33.3,1,5,6,2,1,2,2,0,+3
Josh,Giddey,SG,10,26,4,12,33.3,2,2,0,1,0,3,4,7,8,4,0,1,0,-13
Josh,Giddey,SG,10,28,4,8,50.0,2,4,0,1,0,3,3,6,1,1,0,2,0,-10
Josh,Giddey,SG,14,21,5,10,50.0,2,2,2,5,40.0,2,6,8,1,2,1,4,0,+6
Josh,Giddey,SG,10,17,4,13,30.8,0,0,2,6,33.3,2,1,3,1,1,0,2,0,+1
Josh,Giddey,SG,8,25,3,11,27.3,0,0,2,5,40.0,1,3,4,6,3,1,0,0,-11
Josh,Giddey,SG,9,25,4,12,33.3,0,0,1,6,16.7,1,8,9,4,2,3,1,0,-10
Josh,Giddey,SG,12,24,5,11,45.5,0,0,2,3,66.7,2,8,10,8,1,1,3,1,+17
