player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Chet,Holmgren,PF,21,16,7,10,70.0,5,7,2,2,100.0,2,7,9,1,1,0,0,1,0
Chet,Holmgren,PF,16,21,4,11,36.4,7,7,1,4,25.0,1,3,4,0,2,1,0,3,+4
Chet,Holmgren,PF,18,26,7,8,87.5,2,5,2,3,66.7,0,3,3,3,2,0,5,1,+7
Chet,Holmgren,PF,10,14,4,9,44.4,1,1,1,3,33.3,1,3,4,1,2,0,1,3,+7
Chet,Holmgren,PF,11,25,4,7,57.1,1,3,2,3,66.7,0,4,4,3,3,1,1,0,+14
Chet,Holmgren,PF,16,31,5,9,55.6,3,4,3,4,75.0,1,12,13,2,3,1,1,7,+6
Chet,Holmgren,PF,19,26,7,12,58.3,4,4,1,4,25.0,2,2,4,0,2,0,1,0,-23
Chet,Holmgren,PF,14,24,4,5,80.0,2,2,4,5,80.0,0,4,4,3,5,2,3,4,+9
Chet,Holmgren,PF,19,37,8,14,57.1,2,2,1,5,20.0,3,8,11,3,4,1,5,2,-1
Chet,Holmgren,PF,24,32,7,9,77.8,8,8,2,2,100.0,3,5,8,5,4,1,2,1,-1
Chet,Holmgren,PF,16,34,4,14,28.6,7,7,1,3,33.3,3,9,12,3,3,1,1,3,+3
Chet,Holmgren,PF,15,29,7,10,70.0,0,0,1,1,100.0,3,4,7,2,4,1,2,3,+3
Chet,Holmgren,PF,12,30,5,12,41.7,2,3,0,3,0,1,6,7,1,2,1,4,1,-13
Chet,Holmgren,PF,18,33,5,10,50.0,5,5,3,6,50.0,0,6,6,4,3,0,0,2,+27
Chet,Holmgren,PF,9,30,3,10,30.0,2,2,1,5,20.0,0,7,7,3,2,2,2,1,+30
Chet,Holmgren,PF,13,27,4,7,57.1,5,5,0,2,0,1,9,10,2,2,0,4,2,-1
Chet,Holmgren,PF,36,37,14,22,63.6,6,7,2,5,40.0,4,6,10,5,2,2,4,2,+9
Chet,Holmgren,PF,16,20,6,6,100.0,2,2,2,2,100.0,0,6,6,0,1,0,0,2,+10
Chet,Holmgren,PF,18,32,5,11,45.5,8,11,0,3,0,5,8,13,2,3,1,2,4,+18
Chet,Holmgren,PF,33,32,13,21,61.9,2,2,5,11,45.5,1,5,6,2,3,0,1,3,+4
Chet,Holmgren,PF,16,34,6,20,30.0,1,2,3,8,37.5,2,6,8,6,2,1,0,1,-4
Chet,Holmgren,PF,18,28,8,15,53.3,1,1,1,6,16.7,1,4,5,1,3,2,2,0,+16
Chet,Holmgren,PF,11,30,4,10,40.0,3,4,0,3,0,3,8,11,3,3,1,2,4,+4
Chet,Holmgren,PF,4,26,2,9,22.2,0,0,0,4,0,1,4,5,2,2,1,1,6,-16
Chet,Holmgren,PF,21,35,6,12,50.0,8,8,1,4,25.0,2,5,7,1,4,0,3,3,-3
Chet,Holmgren,PF,16,25,6,9,66.7,2,2,2,3,66.7,2,6,8,2,2,1,3,2,+24
Chet,Holmgren,PF,14,30,6,12,50.0,2,2,0,2,0,2,9,11,1,4,0,1,3,-10
Chet,Holmgren,PF,17,32,6,12,50.0,4,6,1,4,25.0,1,10,11,1,3,0,1,9,+10
Chet,Holmgren,PF,17,25,7,14,50.0,1,1,2,4,50.0,2,4,6,2,2,1,2,7,+13
Chet,Holmgren,PF,23,30,9,11,81.8,3,3,2,3,66.7,0,6,6,7,1,0,1,0,+17
Chet,Holmgren,PF,19,34,8,18,44.4,2,5,1,6,16.7,4,6,10,0,1,1,0,3,-7
