player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jalen,Williams,F,12,18,4,12,33.3,3,7,1,4,25.0,2,2,4,2,2,1,2,1,-10
Jalen,Williams,F,17,23,6,11,54.5,4,6,1,3,33.3,1,0,1,2,1,3,1,0,+18
Jalen,Williams,F,18,25,6,10,60.0,4,5,2,4,50.0,1,5,6,3,1,2,2,0,+15
Jalen,Williams,F,20,26,7,15,46.7,5,5,1,3,33.3,0,0,0,5,3,1,2,0,+3
Jalen,Williams,F,16,32,5,11,45.5,4,4,2,6,33.3,0,3,3,5,3,1,2,0,+8
Jalen,Williams,F,14,35,4,14,28.6,4,4,2,4,50.0,0,5,5,2,2,1,4,0,+5
Jalen,Williams,F,13,28,6,9,66.7,1,1,0,1,0,0,3,3,5,2,0,0,1,-21
Jalen,Williams,F,19,31,8,14,57.1,2,2,1,3,33.3,0,7,7,6,2,1,2,1,+13
Jalen,Williams,F,18,38,5,13,38.5,8,9,0,3,0,1,7,8,3,3,0,1,0,-6
Jalen,Williams,F,18,35,8,12,66.7,2,5,0,0,0,1,2,3,8,6,1,6,0,0
Jalen,Williams,F,21,36,8,13,61.5,3,3,2,5,40.0,0,3,3,2,5,0,2,1,+4
Jalen,Williams,F,15,33,5,10,50.0,4,4,1,1,100.0,1,3,4,2,3,1,1,0,-2
Jalen,Williams,F,14,31,6,14,42.9,2,2,0,3,0,0,5,5,1,1,1,3,0,-14
Jalen,Williams,F,31,38,11,16,68.8,6,8,3,4,75.0,0,1,1,1,4,2,1,0,+23
Jalen,Williams,F,11,23,5,9,55.6,0,0,1,3,33.3,0,2,2,3,3,0,3,0,+23
Jalen,Williams,F,16,29,6,13,46.2,2,2,2,3,66.7,0,3,3,5,3,2,2,0,+7
Jalen,Williams,F,22,41,8,16,50.0,6,6,0,2,0,0,6,6,3,2,1,1,0,+6
Jalen,Williams,F,10,34,2,10,20.0,6,7,0,3,0,0,3,3,3,4,0,1,1,-15
Jalen,Williams,F,21,29,8,13,61.5,4,5,1,4,25.0,0,5,5,7,3,0,0,1,0
Jalen,Williams,F,23,30,9,19,47.4,2,2,3,5,60.0,2,3,5,5,3,1,1,0,-2
Jalen,Williams,F,13,33,5,13,38.5,3,3,0,1,0,0,5,5,3,2,1,2,0,-6
