player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Jaylin,Williams,F,5,16,1,2,50.0,2,2,1,1,100.0,3,4,7,2,0,0,0,0,-1
Jaylin,Williams,F,18,23,7,10,70.0,2,3,2,4,50.0,4,5,9,3,1,0,1,1,-9
Jaylin,Williams,F,6,15,2,5,40.0,2,2,0,3,0,0,5,5,3,1,0,1,0,-2
Jaylin,Williams,F,6,13,2,5,40.0,2,2,0,1,0,0,2,2,2,3,1,0,1,+2
Jaylin,Williams,F,6,10,2,2,100.0,0,0,2,2,100.0,1,2,3,0,4,0,1,0,+1
Jaylin,Williams,F,1,18,0,2,0,1,2,0,2,0,0,4,4,2,3,1,0,0,+6
Jaylin,Williams,F,3,13,1,3,33.3,0,0,1,3,33.3,1,3,4,0,0,0,1,1,-11
Jaylin,Williams,F,3,18,1,7,14.3,0,0,1,4,25.0,0,4,4,2,2,2,0,0,+6
Jaylin,Williams,F,2,4,1,2,50.0,0,0,0,1,0,0,3,3,1,0,0,0,0,+1
Jaylin,Williams,F,2,6,1,1,100.0,0,0,0,0,0,0,2,2,0,0,0,0,0,-9
Jaylin,Williams,F,6,18,3,5,60.0,0,0,0,1,0,3,4,7,3,3,1,1,0,+23
Jaylin,Williams,F,0,15,0,2,0,0,0,0,1,0,1,3,4,0,3,0,0,0,-2
Jaylin,Williams,F,8,26,3,9,33.3,0,0,2,5,40.0,1,5,6,5,4,0,0,0,-1
Jaylin,Williams,F,3,11,1,6,16.7,0,0,1,3,33.3,1,4,5,3,1,0,1,0,+8
Jaylin,Williams,F,3,7,1,2,50.0,0,0,1,2,50.0,0,2,2,1,0,0,0,0,-4
Jaylin,Williams,F,14,15,4,6,66.7,2,2,4,5,80.0,1,2,3,0,1,0,1,0,+16
Jaylin,Williams,F,2,12,0,4,0,2,2,0,2,0,0,0,0,0,1,0,0,0,+5
Jaylin,Williams,F,0,6,0,2,0,0,0,0,2,0,0,1,1,0,1,0,1,0,-4
Jaylin,Williams,F,7,10,2,2,100.0,2,2,1,1,100.0,0,1,1,1,0,1,1,0,+4
Jaylin,Williams,F,3,15,1,3,33.3,0,0,1,3,33.3,1,5,6,3,2,0,0,0,+7
Jaylin,Williams,F,11,22,3,4,75.0,2,2,3,4,75.0,1,3,4,1,4,0,0,0,-6
