player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Isaiah,Joe,SG,14,16,2,6,33.3,9,10,1,4,25.0,1,0,1,0,2,0,1,0,-7
Isaiah,Joe,SG,10,17,2,7,28.6,4,4,2,5,40.0,1,1,2,1,3,1,1,0,-6
Isaiah,Joe,SG,11,15,4,6,66.7,0,0,3,5,60.0,0,2,2,0,0,0,0,0,+15
Isaiah,Joe,SG,10,18,4,7,57.1,0,0,2,5,40.0,0,2,2,2,1,1,0,0,+11
Isaiah,Joe,SG,14,22,4,8,50.0,3,4,3,6,50.0,1,4,5,2,2,1,2,0,+14
Isaiah,Joe,SG,5,22,2,10,20.0,0,1,1,7,14.3,0,3,3,2,1,0,1,0,+12
Isaiah,Joe,SG,5,17,2,7,28.6,0,0,1,4,25.0,0,2,2,1,3,4,1,0,-5
Isaiah,Joe,SG,9,20,3,6,50.0,0,0,3,5,60.0,0,0,0,0,1,0,1,0,+2
Isaiah,Joe,SG,9,14,2,7,28.6,3,3,2,7,28.6,0,1,1,1,0,0,0,0,-4
Isaiah,Joe,SG,16,26,4,6,66.7,5,6,3,5,60.0,0,0,0,1,0,0,1,0,-2
Isaiah,Joe,SG,12,20,4,8,50.0,0,0,4,8,50.0,0,3,3,3,1,0,0,0,+6
Isaiah,Joe,SG,6,18,2,7,28.6,0,0,2,6,33.3,0,3,3,0,4,0,1,0,+8
Isaiah,Joe,SG,9,20,3,9,33.3,0,0,3,8,37.5,0,1,1,0,0,1,1,0,+13
Isaiah,Joe,SG,3,16,1,3,33.3,0,0,1,2,50.0,0,1,1,1,1,1,0,1,-13
Isaiah,Joe,SG,8,14,3,5,60.0,0,0,2,3,66.7,0,2,2,1,1,2,0,0,+12
Isaiah,Joe,SG,23,25,7,7,100.0,2,3,7,7,100.0,0,5,5,0,1,1,0,0,+21
Isaiah,Joe,SG,10,27,4,9,44.4,0,0,2,4,50.0,0,4,4,3,2,1,0,1,+17
Isaiah,Joe,SG,15,14,5,6,83.3,0,0,5,6,83.3,0,1,1,1,0,1,1,0,+20
Isaiah,Joe,SG,20,27,6,9,66.7,3,3,5,7,71.4,0,1,1,0,0,0,0,1,+11
Isaiah,Joe,SG,13,26,4,14,28.6,2,2,3,12,25.0,0,3,3,2,3,0,0,0,+3
Isaiah,Joe,SG,9,24,3,7,42.9,2,2,1,5,20.0,0,1,1,3,2,3,0,0,+11
Isaiah,Joe,SG,10,20,4,8,50.0,0,0,2,6,33.3,0,5,5,0,0,1,0,3,+19
Isaiah,Joe,SG,6,25,2,6,33.3,0,0,2,5,40.0,1,6,7,2,1,0,0,0,+10
Isaiah,Joe,SG,3,14,1,5,20.0,0,0,1,4,25.0,0,1,1,0,1,0,1,0,+3
Isaiah,Joe,SG,5,23,1,4,25.0,3,3,0,3,0,0,1,1,1,1,3,0,0,+28
Isaiah,Joe,SG,9,15,3,8,37.5,0,0,3,7,42.9,0,0,0,1,1,0,0,1,+18
Isaiah,Joe,SG,6,15,2,7,28.6,1,1,1,5,20.0,0,1,1,0,1,0,0,0,-6
Isaiah,Joe,SG,12,27,4,7,57.1,3,4,1,4,25.0,0,2,2,1,1,1,3,1,+12
Isaiah,Joe,SG,5,19,2,5,40.0,0,0,1,3,33.3,1,3,4,3,1,1,0,0,+11
Isaiah,Joe,SG,11,25,4,8,50.0,0,0,3,7,42.9,1,1,2,0,2,0,0,1,-11
Isaiah,Joe,SG,7,20,3,11,27.3,0,0,1,6,16.7,1,4,5,1,1,0,2,2,-20
Isaiah,Joe,SG,8,16,3,4,75.0,0,0,2,3,66.7,1,1,2,2,3,0,0,0,+9
Isaiah,Joe,SG,8,16,3,6,50.0,0,0,2,4,50.0,0,2,2,0,1,0,0,0,+3
Isaiah,Joe,SG,5,13,2,6,33.3,0,0,1,5,20.0,0,1,1,1,0,0,0,0,+11
Isaiah,Joe,SG,7,16,2,2,100.0,1,2,2,2,100.0,0,1,1,0,1,0,2,0,+7
Isaiah,Joe,SG,10,13,4,5,80.0,0,0,2,3,66.7,0,3,3,0,1,0,1,0,-4
Isaiah,Joe,SG,9,18,4,8,50.0,0,0,1,5,20.0,1,0,1,1,2,1,2,0,-3
Isaiah,Joe,SG,3,20,1,5,20.0,0,0,1,3,33.3,0,1,1,1,1,0,1,1,+3
Isaiah,Joe,SG,16,21,6,10,60.0,0,0,4,7,57.1,1,3,4,3,0,0,1,0,-5
Isaiah,Joe,SG,11,22,4,7,57.1,0,0,3,6,50.0,1,1,2,0,1,0,1,0,-4
Isaiah,Joe,SG,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,+10
Isaiah,Joe,SG,9,16,4,8,50.0,0,0,1,4,25.0,0,2,2,1,1,0,1,0,+1
Isaiah,Joe,SG,4,20,2,10,20.0,0,0,0,6,0,2,5,7,1,1,2,1,0,+4
Isaiah,Joe,SG,15,23,5,7,71.4,0,0,5,6,83.3,3,3,6,3,2,2,0,0,-12
Isaiah,Joe,SG,6,12,2,4,50.0,0,0,2,4,50.0,1,1,2,1,1,0,0,0,-9
Isaiah,Joe,SG,5,22,1,3,33.3,2,2,1,2,50.0,0,5,5,5,4,1,0,0,+12
Isaiah,Joe,SG,9,20,4,5,80.0,0,0,1,2,50.0,0,1,1,2,2,0,0,0,+3
Isaiah,Joe,SG,9,13,3,5,60.0,0,0,3,5,60.0,1,0,1,0,0,0,0,1,+17
Isaiah,Joe,SG,2,13,0,3,0,2,2,0,2,0,1,0,1,0,0,1,1,0,+7
Isaiah,Joe,SG,4,11,2,4,50.0,0,0,0,2,0,0,1,1,0,1,0,1,0,-5
Isaiah,Joe,SG,5,16,2,2,100.0,0,0,1,1,100.0,2,2,4,0,1,0,1,0,+16
Isaiah,Joe,SG,6,16,2,6,33.3,0,0,2,4,50.0,0,1,1,1,0,0,0,0,-12
Isaiah,Joe,SG,3,16,1,1,100.0,0,0,1,1,100.0,1,2,3,2,2,1,0,0,-11
Isaiah,Joe,SG,10,13,4,6,66.7,1,1,1,3,33.3,0,1,1,1,2,0,2,0,+10
Isaiah,Joe,SG,9,19,4,5,80.0,0,0,1,2,50.0,0,2,2,1,2,0,1,0,+9
Isaiah,Joe,SG,8,20,3,6,50.0,0,0,2,5,40.0,0,2,2,5,1,1,0,1,+34
Isaiah,Joe,SG,5,17,2,5,40.0,0,0,1,3,33.3,0,3,3,0,3,3,1,0,+11
Isaiah,Joe,SG,2,16,1,2,50.0,0,0,0,0,0,1,1,2,1,0,0,2,0,+14
Isaiah,Joe,SG,15,23,5,8,62.5,1,1,4,7,57.1,1,0,1,0,0,0,1,0,-1
Isaiah,Joe,SG,8,15,3,9,33.3,0,0,2,8,25.0,0,1,1,0,0,0,0,1,+6
Isaiah,Joe,SG,0,14,0,4,0,0,0,0,3,0,0,2,2,0,0,0,0,1,-16
Isaiah,Joe,SG,0,16,0,1,0,0,0,0,1,0,0,1,1,2,2,1,0,1,-8
Isaiah,Joe,SG,10,19,4,10,40.0,0,0,2,6,33.3,2,2,4,1,0,0,1,0,+14
Isaiah,Joe,SG,7,16,3,6,50.0,0,0,1,4,25.0,0,1,1,0,2,0,0,0,+10
Isaiah,Joe,SG,6,19,2,8,25.0,0,0,2,5,40.0,0,3,3,1,1,1,1,0,-18
Isaiah,Joe,SG,8,19,3,7,42.9,0,0,2,5,40.0,1,1,2,2,0,1,1,0,+7
Isaiah,Joe,SG,10,20,4,8,50.0,0,0,2,5,40.0,0,2,2,1,2,0,0,1,+1
Isaiah,Joe,SG,0,14,0,4,0,0,0,0,3,0,0,1,1,0,1,0,0,0,-9
Isaiah,Joe,SG,8,17,2,5,40.0,3,3,1,4,25.0,0,1,1,2,3,0,0,0,+11
Isaiah,Joe,SG,6,8,2,5,40.0,0,0,2,4,50.0,1,0,1,0,0,0,0,0,-13
Isaiah,Joe,SG,6,16,2,4,50.0,0,0,2,4,50.0,0,3,3,2,1,1,0,0,+3
Isaiah,Joe,SG,17,33,6,10,60.0,1,1,4,6,66.7,0,3,3,6,1,0,1,0,+11
Isaiah,Joe,SG,14,22,5,11,45.5,0,0,4,7,57.1,0,3,3,1,2,0,1,0,+10
Isaiah,Joe,SG,6,16,2,3,66.7,0,0,2,3,66.7,0,2,2,0,0,0,1,0,+4
Isaiah,Joe,SG,14,28,4,13,30.8,2,2,4,11,36.4,1,3,4,7,0,2,2,1,-3
Isaiah,Joe,SG,13,20,4,5,80.0,3,4,2,3,66.7,0,3,3,0,0,1,0,1,-4
Isaiah,Joe,SG,10,32,3,8,37.5,2,2,2,5,40.0,2,2,4,3,0,1,0,0,+3
Isaiah,Joe,SG,10,21,4,6,66.7,0,0,2,4,50.0,0,1,1,3,0,1,0,0,-6
Isaiah,Joe,SG,10,20,4,7,57.1,0,0,2,5,40.0,0,4,4,1,3,2,1,0,+7
Isaiah,Joe,SG,8,12,3,6,50.0,0,0,2,4,50.0,1,2,3,0,2,0,1,2,+9
Isaiah,Joe,SG,0,14,0,2,0,0,0,0,2,0,1,1,2,3,2,0,1,0,+2
Isaiah,Joe,SG,2,10,1,3,33.3,0,0,0,2,0,1,1,2,1,0,1,1,0,+27
Isaiah,Joe,SG,5,15,2,5,40.0,0,0,1,3,33.3,0,2,2,1,1,0,1,0,+7
Isaiah,Joe,SG,8,17,3,4,75.0,0,0,2,2,100.0,0,2,2,1,1,1,0,0,+3
Isaiah,Joe,SG,6,9,2,5,40.0,0,0,2,5,40.0,0,2,2,0,1,1,0,0,+15
Isaiah,Joe,SG,2,14,1,5,20.0,0,0,0,4,0,0,1,1,0,0,0,1,0,-4
Isaiah,Joe,SG,6,15,2,4,50.0,0,0,2,3,66.7,1,2,3,2,2,1,0,0,+12
Isaiah,Joe,SG,7,19,3,5,60.0,0,0,1,3,33.3,0,1,1,0,0,0,1,0,-9
Isaiah,Joe,SG,13,19,5,7,71.4,0,0,3,4,75.0,0,2,2,2,1,1,1,0,+2
