player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Cason,Wallace,G,2,25,1,3,33.3,0,0,0,1,0,3,2,5,2,2,3,2,0,+19
Cason,Wallace,G,9,20,2,7,28.6,3,4,2,3,66.7,3,0,3,4,2,0,2,0,-9
Cason,Wallace,G,5,8,2,3,66.7,1,2,0,0,0,0,0,0,0,0,0,0,0,-4
Cason,Wallace,G,13,26,6,9,66.7,0,0,1,3,33.3,0,3,3,2,2,3,1,0,+1
Cason,Wallace,G,13,19,5,5,100.0,0,0,3,3,100.0,0,2,2,1,3,0,1,1,+9
Cason,Wallace,G,9,19,3,4,75.0,2,2,1,1,100.0,1,1,2,0,0,0,0,0,+3
Cason,Wallace,G,7,22,3,3,100.0,0,0,1,1,100.0,1,2,3,1,1,1,0,1,-11
Cason,Wallace,G,4,22,1,2,50.0,2,2,0,1,0,0,4,4,2,2,0,1,0,-2
Cason,Wallace,G,4,18,1,2,50.0,2,2,0,0,0,0,2,2,1,4,0,0,0,-4
Cason,Wallace,G,13,36,6,10,60.0,0,0,1,2,50.0,1,1,2,1,1,0,1,0,+4
Cason,Wallace,G,6,24,3,6,50.0,0,0,0,3,0,0,2,2,4,1,4,1,0,+4
Cason,Wallace,G,14,24,5,7,71.4,2,2,2,3,66.7,1,2,3,2,3,0,2,0,+6
Cason,Wallace,G,8,24,3,7,42.9,0,0,2,5,40.0,1,2,3,2,1,0,0,1,+3
Cason,Wallace,G,0,17,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,+2
Cason,Wallace,G,9,21,4,5,80.0,0,0,1,1,100.0,1,4,5,3,1,2,1,2,+8
Cason,Wallace,G,10,26,4,7,57.1,0,0,2,2,100.0,1,1,2,4,1,1,0,0,+22
Cason,Wallace,G,3,28,1,3,33.3,1,1,0,2,0,0,1,1,2,3,0,0,0,+4
Cason,Wallace,G,2,21,1,2,50.0,0,0,0,0,0,0,1,1,0,1,1,1,0,+19
Cason,Wallace,G,5,24,2,3,66.7,0,0,1,2,50.0,1,2,3,0,1,0,1,1,-2
Cason,Wallace,G,0,14,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-15
Cason,Wallace,G,10,17,3,4,75.0,1,2,3,3,100.0,0,0,0,0,0,1,0,0,+5
Cason,Wallace,G,10,22,4,7,57.1,0,0,2,4,50.0,0,3,3,1,1,0,1,1,+19
Cason,Wallace,G,15,20,6,12,50.0,1,2,2,7,28.6,2,4,6,0,3,0,0,0,0
Cason,Wallace,G,5,25,2,5,40.0,0,0,1,2,50.0,0,3,3,0,3,2,0,1,+12
Cason,Wallace,G,10,24,4,5,80.0,1,2,1,2,50.0,0,1,1,0,0,1,1,1,+1
Cason,Wallace,G,10,25,4,8,50.0,0,0,2,4,50.0,0,3,3,2,4,1,0,2,+17
Cason,Wallace,G,3,19,1,3,33.3,0,0,1,2,50.0,0,0,0,4,3,0,0,0,-18
Cason,Wallace,G,2,18,1,2,50.0,0,0,0,0,0,1,1,2,1,0,0,1,0,-7
Cason,Wallace,G,7,17,3,6,50.0,0,0,1,4,25.0,0,2,2,2,1,0,1,0,+12
Cason,Wallace,G,2,20,1,4,25.0,0,0,0,2,0,0,0,0,3,2,0,1,1,-5
Cason,Wallace,G,5,24,2,6,33.3,0,0,1,4,25.0,1,2,3,4,2,1,0,0,-5
Cason,Wallace,G,5,24,2,5,40.0,0,0,1,4,25.0,1,0,1,1,0,2,1,0,+4
Cason,Wallace,G,4,22,2,6,33.3,0,0,0,2,0,0,1,1,0,1,1,1,0,+6
Cason,Wallace,G,4,18,2,5,40.0,0,0,0,2,0,0,3,3,2,1,0,0,1,-2
Cason,Wallace,G,10,23,3,7,42.9,2,2,2,4,50.0,1,2,3,1,5,0,0,1,+9
Cason,Wallace,G,5,17,2,3,66.7,0,0,1,2,50.0,1,0,1,3,3,1,0,0,-14
Cason,Wallace,G,15,20,5,9,55.6,2,2,3,7,42.9,0,1,1,2,2,1,0,0,-16
Cason,Wallace,G,8,23,3,7,42.9,0,0,2,4,50.0,1,1,2,0,1,1,0,0,-5
Cason,Wallace,G,5,24,2,7,28.6,0,0,1,4,25.0,1,1,2,2,1,2,1,3,-4
Cason,Wallace,G,8,18,3,5,60.0,0,0,2,4,50.0,1,1,2,1,2,0,1,0,+9
Cason,Wallace,G,4,17,1,5,20.0,2,2,0,3,0,1,5,6,2,0,0,0,0,+17
Cason,Wallace,G,1,20,0,5,0,1,2,0,4,0,2,1,3,0,3,0,0,0,+5
Cason,Wallace,G,5,20,2,6,33.3,0,0,1,4,25.0,0,0,0,1,0,2,1,1,-7
Cason,Wallace,G,5,15,2,4,50.0,0,0,1,2,50.0,2,0,2,1,1,1,0,1,-1
Cason,Wallace,G,16,32,6,7,85.7,0,0,4,5,80.0,2,2,4,1,3,1,1,1,-1
Cason,Wallace,G,0,13,0,1,0,0,0,0,0,0,1,2,3,0,2,1,1,0,-15
Cason,Wallace,G,3,12,1,2,50.0,0,0,1,2,50.0,0,4,4,0,0,0,2,0,-4
Cason,Wallace,G,13,23,5,7,71.4,1,1,2,3,66.7,1,2,3,4,4,1,0,0,+14
Cason,Wallace,G,12,21,5,10,50.0,0,0,2,5,40.0,1,1,2,1,1,4,0,0,+18
Cason,Wallace,G,4,21,2,4,50.0,0,0,0,1,0,1,3,4,1,1,2,0,0,-13
Cason,Wallace,G,3,20,1,1,100.0,0,0,1,1,100.0,0,2,2,2,6,0,0,1,-10
Cason,Wallace,G,5,20,2,7,28.6,0,0,1,3,33.3,1,1,2,1,3,0,0,0,0
Cason,Wallace,G,12,25,5,7,71.4,0,0,2,4,50.0,0,2,2,1,1,1,1,0,+22
Cason,Wallace,G,8,18,3,8,37.5,0,0,2,7,28.6,0,1,1,2,1,0,0,1,-10
Cason,Wallace,G,3,16,1,2,50.0,0,0,1,2,50.0,0,0,0,0,1,0,0,0,-1
Cason,Wallace,G,15,25,5,11,45.5,2,2,3,7,42.9,0,2,2,0,2,1,1,0,-18
Cason,Wallace,G,0,10,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-13
Cason,Wallace,G,8,16,3,5,60.0,0,0,2,4,50.0,0,2,2,1,0,0,0,1,+16
Cason,Wallace,G,7,19,3,3,100.0,0,0,1,1,100.0,2,2,4,3,1,4,0,0,+20
Cason,Wallace,G,13,22,5,7,71.4,0,0,3,5,60.0,2,3,5,1,2,0,1,0,+12
Cason,Wallace,G,6,19,2,7,28.6,0,0,2,5,40.0,1,1,2,1,0,0,0,2,0
Cason,Wallace,G,2,14,1,3,33.3,0,2,0,2,0,0,2,2,1,0,1,0,0,+8
Cason,Wallace,G,3,15,1,3,33.3,1,1,0,1,0,1,2,3,3,1,4,0,0,+3
Cason,Wallace,G,5,18,2,3,66.7,0,0,1,1,100.0,0,2,2,1,1,0,0,0,+7
Cason,Wallace,G,7,22,3,8,37.5,0,0,1,4,25.0,2,2,4,1,1,3,1,0,-13
Cason,Wallace,G,2,17,1,3,33.3,0,0,0,1,0,1,1,2,0,0,0,1,1,+4
Cason,Wallace,G,3,14,1,4,25.0,0,0,1,3,33.3,0,0,0,1,1,0,2,1,-14
Cason,Wallace,G,22,27,9,14,64.3,0,0,4,6,66.7,0,2,2,4,3,0,0,1,+6
Cason,Wallace,G,11,23,4,7,57.1,0,0,3,4,75.0,0,3,3,0,2,0,3,1,-5
Cason,Wallace,G,3,18,1,2,50.0,0,0,1,2,50.0,1,1,2,3,2,2,2,1,-3
Cason,Wallace,G,4,24,2,5,40.0,0,0,0,3,0,0,2,2,4,2,3,0,0,+3
Cason,Wallace,G,5,22,2,4,50.0,1,2,0,2,0,2,2,4,2,2,2,0,1,-6
Cason,Wallace,G,12,24,4,10,40.0,1,2,3,5,60.0,3,1,4,1,0,2,0,0,+14
Cason,Wallace,G,5,24,2,9,22.2,0,0,1,7,14.3,1,1,2,0,3,2,1,0,-9
Cason,Wallace,G,7,13,3,4,75.0,0,0,1,1,100.0,0,1,1,0,1,0,0,0,0
Cason,Wallace,G,4,25,2,5,40.0,0,0,0,1,0,0,2,2,1,2,0,1,0,-4
Cason,Wallace,G,16,32,6,9,66.7,0,0,4,4,100.0,0,4,4,3,2,0,1,1,+23
Cason,Wallace,G,6,16,2,3,66.7,0,0,2,2,100.0,0,2,2,0,1,0,0,0,-3
Cason,Wallace,G,6,14,3,8,37.5,0,0,0,1,0,1,2,3,1,1,1,1,0,-7
Cason,Wallace,G,12,28,4,9,44.4,4,4,0,3,0,0,1,1,5,1,4,4,1,-16
Cason,Wallace,G,2,21,1,5,20.0,0,0,0,1,0,0,1,1,1,3,3,2,1,-29
Cason,Wallace,G,10,24,4,6,66.7,0,0,2,4,50.0,3,1,4,3,3,2,0,0,-2
Cason,Wallace,G,3,18,1,5,20.0,0,0,1,2,50.0,0,2,2,2,0,1,0,1,+9
Cason,Wallace,G,0,25,0,5,0,0,0,0,4,0,0,4,4,3,1,3,0,1,+24
Cason,Wallace,G,6,19,2,5,40.0,0,0,2,4,50.0,0,1,1,2,1,2,0,0,+5
Cason,Wallace,G,12,15,5,6,83.3,0,0,2,2,100.0,1,1,2,1,1,0,0,1,+34
Cason,Wallace,G,5,19,2,3,66.7,0,0,1,2,50.0,1,0,1,1,1,0,0,0,-4
Cason,Wallace,G,2,19,1,2,50.0,0,0,0,1,0,2,1,3,3,2,0,0,0,+19
Cason,Wallace,G,5,18,2,4,50.0,0,0,1,2,50.0,1,1,2,1,0,3,0,0,+9
Cason,Wallace,G,0,14,0,2,0,0,0,0,2,0,0,0,0,0,1,2,1,0,+3
Cason,Wallace,G,7,23,2,5,40.0,1,2,2,4,50.0,1,2,3,3,1,1,0,0,+13
Cason,Wallace,G,6,22,3,5,60.0,0,0,0,1,0,1,2,3,1,1,2,0,0,-8
Cason,Wallace,G,3,14,1,3,33.3,0,0,1,3,33.3,1,0,1,0,1,0,0,0,0
